step,r_alive,r_linvel,r_yaw,r_feet_air_time,r_cmd_vel_error,r_orientation,r_lin_vel_z,r_ang_vel_xy,r_height,r_torque,r_smooth,r_joint_acc,r_joint_limit,r_crouch_penalty,r_power,r_stand_still,r_gait_phase,r_foot_clearance,r_posture,r_foot_strike_vel,r_body_acc,r_action_jerk,r_jump_phase,r_body_height,r_abduction,r_hip_excess,r_dof_vel,r_total
10000,0.20000000000000176,1.0960697450462555,0.2895773344182152,-0.01155000698417426,-1.2786149077916673,-0.31087998489858537,-0.3951666290963571,-0.6852053747488056,-0.01734204505610607,-0.046734938821046824,-1.037586121508181,-0.3960623714791524,-0.005478257958956473,-1.3697220897161587e-05,-0.0375204436631182,-0.7390460630242458,0.25934999999999997,0.3927695983029382,-1.5979481262548376,-0.008264079361913222,-1.6041681877730938,-0.20254020900905145,0.0,-0.261860503641214,-1.0993398677289066,-0.007950793379680408,-186.65757659014855,0.0
20000,0.20000000000000176,1.1190985940257256,0.29288999525380116,-0.013974006649851796,-1.2809808273819965,-0.3125563309528302,-0.41556387954725255,-0.6666660648024318,-0.02060204223064849,-0.046663571998436265,-1.032015843890012,-0.3932803742202896,-0.005005525293941609,-1.2621133057817295e-05,-0.03742184151407409,-0.8606381450505974,0.2362499999999998,0.3746801857773452,-1.8053585539473864,-0.008323984462833004,-1.5913995551940041,-0.20137888600766685,0.0,-0.2996503384317291,-1.0992832887095587,-0.007167705639807781,-185.83977664044917,0.0
30000,0.20000000000000176,1.0303820538202546,0.28851334773817205,-0.015344006815552707,-1.262896839634921,-0.3172593047059279,-0.3819781407936361,-0.7164883869924834,-0.020629748303906285,-0.0465358539034756,-1.033343693199456,-0.3948589100040177,-0.00452301721354068,-3.765728181679067e-06,-0.037425190727845156,-0.46352485858902337,0.2490000000000001,0.3856946517766709,-1.831796879242107,-0.008644395947683266,-1.5699867166983466,-0.20175385069441804,0.0,-0.3020526131345136,-1.0825210751477816,-0.006752166572771004,-186.22438264211357,0.0
40000,0.20000000000000176,0.9736617421666134,0.2789425103337598,-0.013566007317602637,-1.275675694307615,-0.314957001373507,-0.38251918931229684,-0.6992943122854871,-0.01726469398421484,-0.046681468473239694,-1.0418951469790938,-0.39844092234699335,-0.005108849464258854,-1.0747890811511025e-05,-0.037557871738361004,-0.695375756984844,0.2516249999999999,0.3970148574354892,-1.6463121843593378,-0.00793484008470947,-1.5766992180656043,-0.20399205429756628,0.0,-0.2615825273074268,-1.0900667198912304,-0.007420970964859151,-187.02729384560752,0.0
50000,0.20000000000000176,1.0520242693455313,0.2843499097403595,-0.0136920072644949,-1.2774835549486698,-0.3055101666477242,-0.415005517000215,-0.6987630375233879,-0.021587633187724258,-0.046717961908582115,-1.0399462707334752,-0.3994605119387378,-0.004667903537281117,-9.533147595235015e-06,-0.0377447906676131,-0.5181030858551898,0.2452500000000001,0.3944026670498402,-1.910385716557422,-0.008393098722301187,-1.598510305923655,-0.20363021480464932,0.0,-0.31748925974848174,-1.0827846743718563,-0.006882861386433852,-188.0973627800213,0.0
60000,0.20000000000000176,1.0267364684837297,0.2820334497188226,-0.01499000662565231,-1.3314412510883031,-0.3230476393380293,-0.40527176201085197,-0.6961135618775149,-0.021470587659697237,-0.04662002911419482,-1.040309747872353,-0.39391232054566283,-0.0047109486069013135,-5.326548746272654e-06,-0.03750281172817022,-0.7874904160094793,0.24832499999999996,0.38585830828991624,-1.8845268727139106,-0.008045332462636858,-1.5978688198015085,-0.20327873231720917,0.0,-0.31104427008420454,-1.1080714914702976,-0.007002163326208126,-186.53553160527775,0.0
70000,0.20000000000000176,1.1068252759071417,0.2908824230534164,-0.012926007038354871,-1.2474310171414953,-0.3125768739945304,-0.4102462793684287,-0.6918084868679386,-0.022236981806373006,-0.04671422962493358,-1.0413373881250627,-0.39655420820682785,-0.004421268201141572,-7.133496844866649e-06,-0.037612665837686035,-0.5370679387849687,0.2547750000000001,0.3903271133143719,-1.9492856731021255,-0.00821292917370223,-1.6096686492426537,-0.203639193932891,0.0,-0.3268911209512716,-1.1002447736471617,-0.0070377431891647585,-187.28652588662843,0.0
80000,0.20000000000000176,1.1245081053134247,0.28320620802001806,-0.013244006945192812,-1.1980998400547458,-0.306408724552251,-0.3856801795946868,-0.6950435579189199,-0.019848820324349464,-0.046551856066712645,-1.0355670273095365,-0.39530417586320044,-0.004899653207550451,-9.110516333057265e-06,-0.03745675168190325,-0.6922604567598608,0.25439999999999996,0.38450099210015243,-1.7890425887783725,-0.008595742783810856,-1.5805678589792842,-0.202690943213105,0.0,-0.29193581040978617,-1.0935398100042433,-0.007252270283766776,-186.52003565602453,0.0
90000,0.20000000000000176,1.0190106618450656,0.2894084573939911,-0.015244006724655623,-1.2875037886182945,-0.3192683210510331,-0.37913726443492474,-0.7007226666789418,-0.019727211374329878,-0.04667360556337806,-1.0383085845762492,-0.39663511319578915,-0.00474638236972603,-8.204318001825774e-06,-0.0376219989659038,-0.5912818602292454,0.25177499999999997,0.3860514610464475,-1.7853213508423733,-0.008334186913220248,-1.560886375600101,-0.20339856490421288,0.0,-0.28988433059384017,-1.1156019249209754,-0.007348216955037418,-187.81424957325643,0.0
100000,0.20000000000000176,1.0743972755296043,0.29980804674935896,-0.014214007131755343,-1.2842813703869518,-0.31588705359913216,-0.3891864665415307,-0.7271565609057871,-0.019342502009419622,-0.04666325026654188,-1.0417876257607341,-0.3964419265686222,-0.004551429329274735,-1.0332294885085799e-05,-0.03758724262205183,-0.6168435739841602,0.25124999999999975,0.3963866378105506,-1.833122059518416,-0.008526144911672149,-1.5911030796430694,-0.2035079685139656,0.0,-0.288886652987774,-1.0901843318619606,-0.007561484795298572,-187.0148230332597,0.0
