#{"t_start": 1775240096.3207197, "env_id": "None"}
r,l,t
0.0,8,0.605064
0.0,9,0.611291
0.0,11,0.623894
0.0,12,0.629267
0.0,12,0.629306
0.0,14,0.640972
0.0,15,0.647109
0.0,15,0.647147
0.0,16,0.653689
0.0,17,0.660546
0.0,18,0.667248
0.0,9,0.678677
0.0,20,0.678714
0.0,12,0.67872
0.0,12,0.682955
0.0,22,0.686731
0.0,25,0.70429
0.0,25,0.704334
0.0,14,0.709504
0.0,12,0.713688
0.0,27,0.713729
0.0,14,0.724464
0.0,29,0.724507
0.0,6,0.737864
0.0,14,0.743383
0.0,9,0.754135
0.0,36,0.763051
0.0,11,0.777901
0.0,21,0.784151
0.0,13,0.791206
0.0,22,0.791243
0.0,43,0.796683
0.0,23,0.801622
0.0,26,0.809221
0.0,34,0.80926
0.0,30,0.809271
0.0,13,0.815683
0.0,7,0.821538
0.0,24,0.836057
0.0,6,0.841497
0.0,28,0.852865
0.0,11,0.852907
0.0,8,0.852917
0.0,14,0.852925
0.0,8,0.858279
0.0,34,0.865429
0.0,40,0.872553
0.0,27,0.884765
0.0,10,0.903186
0.0,21,0.90795
0.0,9,0.907985
0.0,28,0.913924
0.0,11,0.932682
0.0,68,0.932761
0.0,6,0.93786
0.0,11,0.942227
0.0,10,0.95631
0.0,19,0.9698
0.0,11,0.969839
0.0,45,0.975147
0.0,62,0.975182
0.0,25,0.991069
0.0,34,0.996099
0.0,18,0.996137
0.0,13,1.001695
0.0,33,1.001735
0.0,13,1.007091
0.0,38,1.007118
0.0,31,1.031773
0.0,60,1.037216
0.0,12,1.037256
0.0,14,1.046816
0.0,13,1.046855
0.0,36,1.053624
0.0,41,1.065722
0.0,13,1.072471
0.0,13,1.072503
0.0,11,1.072512
0.0,39,1.072519
0.0,24,1.07845
0.0,7,1.078484
0.0,54,1.090044
0.0,15,1.090078
0.0,21,1.095377
0.0,12,1.100587
0.0,10,1.106274
0.0,20,1.1063
0.0,8,1.121316
0.0,16,1.126252
0.0,6,1.131346
0.0,8,1.136571
0.0,11,1.146997
0.0,12,1.152524
0.0,17,1.169043
0.0,15,1.185444
0.0,8,1.1975
0.0,44,1.203436
0.0,16,1.209296
0.0,31,1.21934
0.0,16,1.223588
0.0,29,1.229766
0.0,40,1.229803
0.0,41,1.229814
0.0,19,1.235754
0.0,34,1.240791
0.0,32,1.245391
0.0,9,1.251885
0.0,59,1.257017
0.0,9,1.257051
0.0,21,1.262063
0.0,8,1.266659
0.0,36,1.266692
0.0,9,1.283607
0.0,13,1.299163
0.0,36,1.299203
0.0,14,1.305154
0.0,35,1.314544
0.0,12,1.318549
0.0,24,1.323862
0.0,29,1.338546
0.0,18,1.33859
0.0,16,1.343894
0.0,17,1.343925
0.0,52,1.34393
0.0,54,1.36002
0.0,18,1.360063
0.0,7,1.360072
0.0,28,1.365352
0.0,24,1.376392
0.0,22,1.38252
0.0,9,1.388159
0.0,18,1.393517
0.0,11,1.398784
0.0,33,1.402918
0.0,23,1.402946
0.0,20,1.408293
0.0,9,1.408324
0.0,10,1.413831
0.0,9,1.413867
0.0,11,1.419128
0.0,24,1.425676
0.0,12,1.44666
0.0,8,1.446703
0.0,14,1.451699
0.0,12,1.451737
0.0,13,1.467281
0.0,11,1.483283
0.0,32,1.48332
0.0,26,1.48333
0.0,8,1.488443
0.0,16,1.493371
0.0,63,1.503536
0.0,33,1.518129
0.0,13,1.518165
0.0,14,1.522235
0.0,8,1.522263
0.0,15,1.522268
0.0,42,1.534454
0.0,14,1.534498
0.0,28,1.534508
0.0,25,1.544365
0.0,16,1.559196
0.0,11,1.574183
0.0,19,1.574221
0.0,11,1.574227
0.0,10,1.583722
0.0,21,1.597199
0.0,71,1.607238
0.0,19,1.612106
0.0,25,1.612138
0.0,19,1.612143
0.0,22,1.612146
0.0,15,1.612149
0.0,42,1.626429
0.0,8,1.636741
0.0,21,1.642478
0.0,9,1.657587
0.0,16,1.657629
0.0,11,1.667555
0.0,18,1.667597
0.0,31,1.676933
0.0,26,1.676975
0.0,21,1.694563
0.0,12,1.698997
0.0,7,1.705134
0.0,12,1.705169
0.0,26,1.71099
0.0,59,1.711025
0.0,12,1.721516
0.0,33,1.733632
0.0,10,1.733673
0.0,8,1.739776
0.0,76,1.739813
0.0,12,1.745756
0.0,17,1.751202
0.0,12,1.765694
0.0,7,1.77092
0.0,30,1.770952
0.0,34,1.785015
0.0,30,1.785229
0.0,15,1.791655
0.0,11,1.791699
0.0,15,1.791709
0.0,12,1.801372
0.0,16,1.806403
0.0,9,1.815446
0.0,29,1.819921
0.0,83,1.837797
0.0,9,1.846556
0.0,18,1.852157
0.0,14,1.857552
0.0,22,1.85758
0.0,15,1.857584
0.0,14,1.857588
0.0,31,1.862561
0.0,8,1.896978
0.0,16,1.897022
0.0,14,1.931288
0.0,16,1.931335
0.0,30,1.93825
0.0,36,1.954066
0.0,42,1.974189
0.0,30,1.984478
0.0,13,1.98452
0.0,8,1.990322
0.0,36,1.994331
0.0,71,1.999295
0.0,38,2.011849
0.0,9,2.016928
0.0,28,2.016964
0.0,14,2.022343
0.0,9,2.032541
0.0,32,2.043605
0.0,63,2.049416
0.0,10,2.04945
0.0,12,2.055553
0.0,26,2.055581
0.0,36,2.06617
0.0,17,2.06621
0.0,19,2.085973
0.0,7,2.086009
0.0,28,2.103208
0.0,17,2.107949
0.0,16,2.126104
0.0,97,2.130702
0.0,54,2.135564
0.0,16,2.135594
0.0,140,2.141093
0.0,25,2.146404
0.0,26,2.146436
0.0,19,2.146446
0.0,22,2.146454
0.0,18,2.155024
0.0,32,2.155058
0.0,15,2.160719
0.0,80,2.166236
0.0,17,2.171545
0.0,7,2.171583
0.0,24,2.176603
0.0,6,2.176636
0.0,59,2.185737
0.0,25,2.189736
0.0,10,2.19455
0.0,18,2.19458
0.0,14,2.199051
0.0,38,2.212958
0.0,13,2.217825
0.0,9,2.217854
0.0,15,2.21786
0.0,11,2.222971
0.0,7,2.228029
0.0,9,2.238949
0.0,23,2.238991
0.0,7,2.25423
0.0,24,2.259217
0.0,33,2.264449
0.0,26,2.264483
0.0,10,2.278097
0.0,12,2.282619
0.0,14,2.282655
0.0,26,2.28774
0.0,26,2.304253
0.0,33,2.308242
0.0,24,2.319968
0.0,8,2.324864
0.0,22,2.329291
0.0,28,2.329327
0.0,14,2.334189
0.0,14,2.349442
0.0,7,2.354697
0.0,28,2.360297
0.0,25,2.365704
0.0,40,2.365743
0.0,23,2.370819
0.0,9,2.37558
0.0,12,2.389144
0.0,26,2.393338
0.0,20,2.402809
0.0,25,2.411683
0.0,10,2.411725
0.0,13,2.416081
0.0,50,2.416115
0.0,17,2.416124
0.0,12,2.424565
0.0,49,2.424605
0.0,34,2.424614
0.0,10,2.436549
0.0,29,2.444893
0.0,8,2.449192
0.0,14,2.44923
0.0,36,2.454287
0.0,13,2.459215
0.0,10,2.468564
0.0,10,2.468604
0.0,12,2.468615
0.0,28,2.478191
0.0,15,2.478224
0.0,25,2.489142
0.0,70,2.494423
0.0,53,2.494458
0.0,22,2.529889
0.0,17,2.535124
0.0,18,2.535167
0.0,37,2.539807
0.0,47,2.549809
0.0,30,2.554804
0.0,19,2.565664
0.0,6,2.571186
0.0,23,2.571216
0.0,25,2.576229
0.0,45,2.576265
0.0,22,2.582285
0.0,17,2.58232
0.0,34,2.58233
0.0,20,2.582338
0.0,31,2.593128
0.0,12,2.599144
0.0,14,2.60539
0.0,9,2.605422
0.0,11,2.610417
0.0,8,2.623571
0.0,32,2.623613
0.0,12,2.632251
0.0,10,2.632292
0.0,8,2.632303
0.0,6,2.63644
0.0,6,2.651653
0.0,11,2.659048
0.0,33,2.659086
0.0,17,2.664653
0.0,16,2.664684
0.0,16,2.66469
0.0,19,2.668591
0.0,21,2.675095
0.0,27,2.675129
0.0,17,2.691976
0.0,23,2.697142
0.0,20,2.70079
0.0,15,2.709876
0.0,45,2.709909
0.0,11,2.722652
0.0,11,2.727521
0.0,20,2.732385
0.0,52,2.732417
0.0,49,2.741796
0.0,10,2.747056
0.0,19,2.752387
0.0,15,2.768904
0.0,29,2.768945
0.0,9,2.778341
0.0,23,2.778383
0.0,19,2.782916
0.0,16,2.787416
0.0,6,2.79854
0.0,15,2.809617
0.0,35,2.809657
0.0,32,2.820615
0.0,23,2.825719
0.0,11,2.839095
0.0,8,2.852536
0.0,40,2.857367
0.0,27,2.863826
0.0,28,2.87388
0.0,13,2.890029
0.0,6,2.907149
0.0,11,2.92338
0.0,14,2.936565
0.0,27,2.936606
0.0,30,2.942676
0.0,53,2.942717
0.0,55,2.952528
0.0,38,2.957102
0.0,54,2.957138
0.0,30,2.972187
0.0,28,2.976643
0.0,34,2.981797
0.0,66,2.981834
0.0,8,2.981844
0.0,28,2.987328
0.0,41,2.987365
0.0,25,2.987371
0.0,13,2.991551
0.0,39,2.991586
0.0,48,2.99584
0.0,14,3.005802
0.0,19,3.005832
0.0,12,3.017232
0.0,7,3.032268
0.0,10,3.032312
0.0,21,3.041426
0.0,11,3.045472
0.0,57,3.045503
