#{"t_start": 1775313046.1322768, "env_id": "None"}
r,l,t
172.71938,51,1.686054
-95.329285,51,1.6861
84.29983,51,1.686108
30.452333,51,1.686112
75.87604,51,1.686116
81.75094,51,1.68612
89.92615,51,1.686123
41.414978,51,1.686127
143.43336,51,1.851203
-138.71082,51,1.851247
123.64506,51,1.851254
73.866974,51,1.851259
127.072945,51,1.851264
-101.63332,51,1.851267
57.31939,51,1.851271
103.00046,51,1.851275
78.08431,51,2.030159
52.49692,51,2.030195
101.96947,51,2.030201
54.967197,51,2.030205
104.614494,51,2.03022
66.330505,51,2.030224
