#{"t_start": 1775281353.8126144, "env_id": "None"}
r,l,t
3.1408968,7,0.602751
40.536896,7,0.602813
29.119259,8,0.610319
30.331444,9,0.617554
29.101494,10,0.625287
24.161518,10,0.625335
1.0229951,11,0.6325
53.779823,11,0.632543
26.295828,11,0.632554
52.617435,14,0.654104
15.786178,15,0.661572
-14.697519,16,0.667964
43.042923,16,0.668006
17.458574,17,0.674407
28.640182,8,0.674449
69.06431,18,0.681376
34.486645,8,0.681415
69.76685,18,0.681425
75.80844,19,0.687573
-19.129461,14,0.70081
26.59154,12,0.707799
38.434395,14,0.72782
19.553917,9,0.73371
67.130295,27,0.74039
64.508,29,0.75281
40.1394,16,0.761333
31.796213,15,0.761377
72.588234,19,0.761388
38.538616,12,0.761396
3.8055854,30,0.761403
80.950554,22,0.76141
54.18331,30,0.761417
90.62013,34,0.785934
73.431625,23,0.785987
124.80016,35,0.793108
29.198362,10,0.79315
182.71625,37,0.805789
27.900227,12,0.813056
155.29163,38,0.813102
47.771305,21,0.81943
82.45827,39,0.819473
13.490651,10,0.825534
96.954895,41,0.831945
55.049686,12,0.837289
10.779009,12,0.837325
18.315182,7,0.837331
56.503273,27,0.842211
101.062355,43,0.842253
90.93369,22,0.842265
56.470745,15,0.849845
36.550175,14,0.849891
78.229614,37,0.849902
61.40713,26,0.855342
-28.634361,28,0.855378
149.18321,45,0.855384
22.626335,10,0.855388
-15.619309,12,0.861668
25.223822,10,0.878163
58.626724,10,0.878211
32.78557,19,0.878221
7.1864944,49,0.878229
21.764214,16,0.883879
51.005886,13,0.889923
-2.1634963,8,0.889965
39.15598,36,0.895404
101.66873,33,0.911457
9.046726,8,0.923688
9.926016,14,0.934741
69.603195,29,0.934788
79.306755,16,0.940749
42.430653,17,0.948077
42.807312,24,0.953981
-21.950342,13,0.95402
53.619186,17,0.954031
2.75995,22,0.966858
48.226864,12,0.966899
-12.636303,16,0.974279
101.90008,24,0.980264
71.37389,27,0.98535
18.801702,8,0.985385
-24.788965,41,0.989881
20.180902,6,1.000767
37.53619,25,1.006191
-19.071596,26,1.006227
45.6656,12,1.012472
46.92259,16,1.019058
26.495699,10,1.02575
116.59718,30,1.03297
137.88573,31,1.03301
44.899017,9,1.038677
40.849514,17,1.038715
89.88066,39,1.038726
44.09618,11,1.052973
-3.5826817,13,1.059677
-108.54741,49,1.059718
110.40751,24,1.059728
61.130116,12,1.068841
77.39288,31,1.068888
162.31491,40,1.081594
-35.177948,39,1.081632
-40.047142,22,1.092738
77.044876,34,1.099272
54.875362,11,1.105594
56.313343,24,1.105633
17.717117,7,1.111615
16.88111,5,1.111655
89.15522,23,1.118241
190.49744,37,1.11828
235.76584,70,1.118291
51.33342,12,1.118299
20.920725,9,1.124663
27.875233,13,1.14425
28.291204,11,1.149807
37.639145,15,1.156385
55.608383,45,1.163534
43.7789,18,1.177638
21.166502,10,1.177694
40.840992,11,1.190185
99.57065,37,1.190235
73.26936,16,1.197368
52.24778,24,1.197405
18.410748,14,1.197411
161.88681,59,1.197415
6.3721156,7,1.197419
12.876767,24,1.197422
102.49088,41,1.209751
82.75285,32,1.217019
145.95755,60,1.217062
-33.221786,31,1.229264
44.346622,19,1.240823
40.72021,7,1.240872
23.296465,6,1.246743
10.449983,11,1.257326
70.44596,18,1.257365
48.599186,11,1.264897
75.09989,39,1.264937
73.56085,23,1.264947
47.141365,23,1.270702
36.873882,15,1.270736
27.450531,13,1.277348
77.16244,43,1.277387
26.991705,18,1.277397
-32.698742,30,1.289119
30.150023,13,1.296676
146.79184,45,1.309991
121.18986,31,1.310036
78.77754,32,1.310046
5.9721375,6,1.310055
91.810196,41,1.316016
93.71107,21,1.329648
74.59033,23,1.341898
36.075207,15,1.341942
-5.0873485,10,1.355282
15.389678,12,1.35533
108.4718,55,1.361508
89.88615,26,1.366352
-2.0349462,14,1.366396
38.64288,23,1.366405
10.751962,9,1.372483
52.023964,17,1.378994
80.9068,23,1.379031
71.11431,22,1.385992
103.104004,41,1.386031
-23.011114,12,1.393204
18.203,19,1.405359
58.05314,16,1.417445
85.92464,28,1.422559
67.72912,17,1.427871
-28.771435,15,1.427913
48.91735,11,1.433516
12.809551,9,1.440282
60.737713,13,1.440326
42.474335,20,1.440337
55.153843,13,1.440344
91.75208,46,1.453722
52.24131,14,1.453766
-0.6202482,8,1.464225
164.46115,45,1.464263
46.941372,19,1.464269
100.97999,26,1.464273
42.427452,18,1.477912
80.31195,34,1.477959
18.332542,8,1.484564
-29.2306,37,1.503481
15.420134,6,1.503526
102.582596,22,1.515832
49.72223,14,1.515878
165.77187,52,1.521691
50.93742,13,1.521732
4.1734467,8,1.528088
149.38553,42,1.52813
31.30734,11,1.535256
73.62759,19,1.541302
10.844907,11,1.548718
51.94137,15,1.548759
-86.02859,46,1.560958
55.399124,15,1.561002
38.25733,29,1.566644
68.354095,18,1.566683
17.662157,11,1.573578
11.407734,11,1.573623
33.517178,18,1.580805
33.770256,8,1.602715
42.195957,32,1.608757
83.65348,34,1.608797
53.921505,13,1.616434
35.36636,15,1.616474
-10.448263,9,1.62284
26.08476,9,1.622878
50.80458,28,1.622889
52.833607,16,1.628619
40.377914,8,1.634419
65.98712,30,1.634452
36.513714,14,1.64119
31.693565,13,1.653627
233.64894,59,1.661107
35.58581,14,1.66115
148.76326,46,1.66116
83.02668,21,1.666813
-6.0063677,6,1.666848
161.48514,46,1.673853
80.33728,23,1.673893
66.49745,16,1.67976
33.350876,10,1.679887
26.435652,12,1.687992
82.52658,22,1.688032
118.29996,50,1.693673
44.902588,15,1.700961
26.896065,12,1.701002
105.0903,44,1.712714
-10.508647,12,1.712761
8.92394,7,1.718324
310.15915,106,1.718361
22.627323,10,1.72544
-13.719395,18,1.731818
1.8467673,10,1.731852
12.027436,9,1.739118
15.133503,10,1.751811
69.61085,16,1.759259
38.98948,20,1.765171
6.393805,7,1.772374
58.709187,26,1.780729
41.79501,10,1.780769
111.669556,37,1.780779
85.44656,22,1.78796
86.85211,26,1.795272
182.72455,56,1.808553
11.408647,11,1.808599
5.6808434,5,1.820743
106.568756,38,1.827997
49.81,16,1.82804
85.63511,24,1.83668
32.702724,26,1.836721
56.27188,23,1.857464
31.987207,12,1.857511
9.985076,7,1.857522
106.4985,23,1.876423
-27.615936,17,1.882593
144.98747,55,1.882634
36.016216,9,1.889595
98.28887,28,1.889635
12.122339,16,1.889645
57.954,11,1.896919
37.375362,13,1.896959
8.648989,7,1.90437
81.23187,22,1.911269
74.0403,32,1.911309
116.99193,37,1.918323
57.3556,12,1.918364
-60.296078,47,1.93536
307.88757,92,1.947888
61.337246,32,1.954981
-22.933413,15,1.955024
50.30531,18,1.955034
72.72251,19,1.955043
12.667774,11,1.95505
21.871178,10,1.97774
19.13284,4,1.977783
119.64791,46,1.991671
-39.332146,35,1.991718
19.018854,14,2.013092
180.02306,49,2.018678
65.54147,21,2.026196
11.968863,10,2.026238
13.083795,15,2.037688
33.884228,7,2.037733
74.74845,28,2.043761
130.16489,48,2.056571
92.58899,26,2.064248
22.867064,7,2.064292
264.36066,61,2.070591
34.323204,15,2.077426
49.52474,14,2.084481
8.2443075,10,2.090695
78.172226,23,2.110667
8.381823,8,2.117009
43.74043,12,2.117049
119.96142,32,2.123425
42.899498,10,2.123465
97.88412,25,2.123475
82.74504,35,2.129255
-9.511338,14,2.129293
73.56094,19,2.136345
179.41185,53,2.136383
70.91418,34,2.141523
171.34227,100,2.146714
96.94555,26,2.146753
116.56524,38,2.153408
-30.905487,17,2.153449
-11.2711735,21,2.158821
119.68024,68,2.16676
6.7707677,5,2.166801
146.47493,43,2.172842
-58.43861,46,2.178162
-1.3339815,5,2.186807
21.2074,12,2.197747
57.089745,13,2.197784
-23.676687,18,2.19779
39.047287,9,2.197795
64.50504,23,2.212751
18.682467,10,2.2128
180.78079,48,2.21281
112.19053,49,2.212824
25.600597,18,2.224298
49.50006,10,2.231224
37.259033,13,2.231267
94.78045,26,2.238619
0.56647724,17,2.23866
46.209885,11,2.245575
-4.6369305,7,2.258829
34.956406,15,2.265645
61.803097,17,2.27104
20.760279,16,2.28312
-83.86408,74,2.283163
164.74019,51,2.289728
82.537476,33,2.289765
30.301672,15,2.296564
99.42802,25,2.296606
20.078306,24,2.307945
-7.381958,14,2.320522
227.2035,82,2.320561
45.687916,13,2.320567
126.71082,57,2.326996
87.73033,20,2.338174
25.820322,34,2.344954
-14.214068,13,2.344994
10.690075,16,2.345004
9.779079,12,2.359064
81.24094,24,2.365684
98.33134,39,2.371312
195.69826,44,2.371341
43.25889,18,2.371345
67.70763,28,2.376214
56.41557,11,2.376242
120.72068,28,2.376246
51.199432,13,2.37625
11.231076,10,2.381312
-7.9996586,16,2.381478
109.951164,26,2.389082
-6.9546776,31,2.395594
22.352533,17,2.395625
48.474617,12,2.421262
46.033714,14,2.428686
20.15532,8,2.428729
60.15984,24,2.442057
27.83572,11,2.442103
-11.118946,28,2.448343
28.737999,11,2.448385
173.73186,53,2.456017
55.938324,15,2.46192
77.40143,13,2.4699
170.5651,45,2.476669
54.747448,24,2.47671
32.695934,16,2.483396
81.24073,21,2.483435
38.020763,16,2.491657
-24.226349,15,2.491706
98.536156,31,2.498521
17.196877,18,2.498557
32.499687,8,2.498568
104.898605,40,2.498576
101.02242,45,2.504678
135.40024,43,2.510489
70.84101,22,2.517742
13.486392,12,2.529159
26.347805,12,2.529204
14.919322,10,2.535466
140.98056,31,2.549939
10.817511,9,2.557471
89.26356,36,2.564102
52.716736,11,2.570945
22.677473,10,2.570986
14.497232,10,2.576657
-32.257435,15,2.576697
-12.563874,34,2.582899
16.223667,15,2.582939
71.400246,29,2.590845
18.567905,14,2.590882
60.69006,17,2.604673
41.29798,13,2.604716
68.03397,17,2.610383
52.58311,24,2.616908
79.75883,36,2.636977
-6.2447295,8,2.637021
18.836264,26,2.637033
17.729637,11,2.644192
-14.358508,10,2.644233
7.119573,6,2.650918
84.353424,34,2.650957
44.740406,19,2.662405
78.547714,22,2.673375
11.177018,15,2.673422
86.85655,29,2.680849
39.57346,31,2.680893
9.948859,8,2.687902
69.84276,22,2.70034
41.337982,18,2.706871
38.447384,10,2.712456
58.06556,13,2.719965
70.64898,18,2.720008
16.098438,14,2.725155
34.478165,18,2.734008
33.222607,14,2.734047
-6.4710135,10,2.741497
93.95982,27,2.741535
229.3973,97,2.753401
