step,r_alive,r_linvel,r_yaw,r_gait,r_posture,r_body_height,r_stillness,r_jump_phase,r_orientation,r_torque,r_smooth,r_joint_limit,r_lin_vel_z,r_dof_vel,r_total
10020,2.0,0.40445911092623316,0.12388136233831704,0.3695339034167968,0.7372663950356402,-0.6680831342393039,0.0296546438584694,0.13712754132840693,-0.15768195977014227,-0.046709479262271945,-0.13420787807271448,-0.0021123211838136374,-0.07290315687373844,-0.37289717058831306,2.3473278569135676
20040,2.0,0.4384658374425429,0.12753139611884634,0.36871063369852397,0.7672434693593455,-0.7051062479039222,0.03174720435998473,0.13260091871790156,-0.15849899031026388,-0.046687964830066875,-0.13795156856881688,-0.002022271082173272,-0.07569020282136028,-0.3747178631404108,2.365624351040131
30060,2.0,0.44554176025496,0.1262150804141079,0.37084073268935475,0.7932628871603165,-0.6706198037919546,0.032265495822176755,0.12444049896030875,-0.1603210312957626,-0.04672005008302522,-0.13484691124302356,-0.0021371242449421644,-0.07655068889593006,-0.37474268853212517,2.426628157214464
40080,2.0,0.46413614108907975,0.13055822027549155,0.37471966167925475,0.7611570713894239,-0.6458377638461741,0.029047132816097845,0.14795942350987062,-0.1533925936797141,-0.046701983153115634,-0.13360701968501604,-0.0020970501259308296,-0.07626483647082444,-0.374481054968507,2.475195348829937
50100,2.0,0.4538356402406783,0.13064992120044136,0.3845847072937668,0.7875786243210242,-0.5981576646392821,0.02917230296081783,0.15632748250283582,-0.156259827789439,-0.046719228378460716,-0.1364081065746804,-0.002021869931629197,-0.07483100661684287,-0.3734140109103239,2.554336963678906
60120,2.0,0.47161732457170125,0.12944924034667746,0.3969316137290127,0.7411092218736035,-0.6494628213843193,0.030100971493626394,0.15143213305222913,-0.15337230044879913,-0.04676892107378409,-0.13892795126510876,-0.0020537457844730816,-0.07709138837065245,-0.37313432666593227,2.479829050073782
70140,2.0,0.42490012182966974,0.12281535349274159,0.3827373693338591,0.7223819936469467,-0.6672729577097597,0.03038018570298937,0.14577088072596636,-0.15438844744602603,-0.04678398872114914,-0.1331831489497026,-0.0020566039804797384,-0.07684804214186206,-0.37470808246359444,2.373744633319602
80160,2.0,0.49484358457847155,0.11837524356060365,0.3522644530653086,0.7885460259862881,-0.6940767118665545,0.03571555561966217,0.15148413784598863,-0.15658482285226924,-0.04672053105311307,-0.13997817461840897,-0.002097906595336296,-0.07751792632542248,-0.37413223010233926,2.450120697242877
90180,2.0,0.47198130152614687,0.12697805611255913,0.39742062172448583,0.718478125906901,-0.6598412453241942,0.029427550604109853,0.1614005686846335,-0.15528863107659163,-0.046704910435527866,-0.1365592390570005,-0.0019963472492984563,-0.07558843359246231,-0.3729134319178087,2.456793985905953
100200,2.0,0.465080980636706,0.1280685960430894,0.39818773330291324,0.7537226347359535,-0.639995343396279,0.029157147782357676,0.16367068205200475,-0.15198266429958096,-0.04674166108924516,-0.13851842434549339,-0.0020759087840309057,-0.07578799377080002,-0.37448586725540367,2.50829991161219
