step,r_alive,r_linvel,r_yaw,r_feet_air_time,r_cmd_vel_error,r_orientation,r_lin_vel_z,r_ang_vel_xy,r_height,r_torque,r_smooth,r_joint_acc,r_joint_limit,r_crouch_penalty,r_power,r_stand_still,r_gait_phase,r_foot_clearance,r_posture,r_foot_strike_vel,r_body_acc,r_action_jerk,r_jump_phase,r_body_height,r_abduction,r_hip_excess,r_total
450560,0.19999999999999282,0.9191691648559093,0.26339178885583936,-0.01740235243778443,-1.1277425924999491,-0.316661809911821,-0.33223541294574904,-0.6619138049182002,-0.0057046365542795345,-0.0463986627138575,-0.17610398951583206,-0.40529909161082883,-0.0030966862758697545,-6.722012921891722e-06,-0.037202133768003645,0.0,0.2900390625,0.46113451175297615,0.10852914389501624,-0.008466978673137487,-0.16018657160327704,-0.05189063006080694,0.0,1.6868913923540763,-0.9998232075764105,-0.015270276494690597,0.874182455819708
491520,0.19999999999999282,0.6808390301583614,0.31950496108185544,-0.015849618292122614,-1.473884704472752,-0.2807254391170062,-0.360020571542227,-0.6548832780097594,-0.005552556825365014,-0.04679930570636339,-0.17907597591911356,-0.41039815092080456,-0.004254262904717828,-9.223807635349782e-06,-0.03736466687645941,0.0,0.2867431640625,0.46057739482553833,0.10978121451357048,-0.009047716513139365,-0.16151220476627345,-0.05329756870371056,0.0,1.6833458526539216,-1.0110589224492088,-0.013745599898046669,0.6975633716977281
532480,0.19999999999999282,0.8502763138327022,0.29391437664570824,-0.017783211813366506,-1.32981531901396,-0.2776841907754055,-0.3695099879963709,-0.6477850817032133,-0.005366837663731937,-0.04637798798701776,-0.17986055710061938,-0.40757811602187993,-0.002701989930155861,-9.232067655485829e-06,-0.036859038840096545,0.0,0.287841796875,0.45443718570141706,0.10779775737715085,-0.008631165133440076,-0.1547989257495503,-0.053653833274293045,0.0,1.6796172396403088,-0.980427974509581,-0.012878324971637866,0.802184728761887
573440,0.19999999999999282,1.076059483169973,0.2650617922934327,-0.017958993434149306,-1.0491104614109634,-0.2810790783004169,-0.32555145315430417,-0.6404814421392667,-0.005250226717747036,-0.04654105130585767,-0.18073970028490277,-0.4139951112107101,-0.0028764801045921898,-8.092451051569097e-06,-0.03739203902030479,0.0,0.2823486328125,0.4604768786487849,0.1067364365481397,-0.009152933036323446,-0.16175750302894457,-0.0537043106817874,0.0,1.6919185120069935,-1.0012600321064022,-0.011939943912285365,1.0154655099370868
614400,0.19999999999999282,0.8906521714386594,0.28921776112530084,-0.01700196102319751,-1.1443839216999692,-0.29386834689177377,-0.3170526919014576,-0.6299595068165041,-0.004587996373827715,-0.04621460427929156,-0.17915344656357732,-0.40622460352772277,-0.002921759619531852,-1.4449588124852879e-05,-0.03684171260341943,0.0,0.29443359375,0.45369689197647217,0.10335434114696244,-0.009269854240036762,-0.15382665782018737,-0.053210977471317276,0.0,1.7244584567674073,-0.9580323515880645,-0.016078237896340886,0.8920005094707207
655360,0.19999999999999282,0.6936627281696393,0.29235636771551227,-0.014531259053910617,-1.4057159131608614,-0.284248694470115,-0.3534219681170563,-0.6352152986158214,-0.0049557355750665605,-0.04650049850205861,-0.180875260659377,-0.40951054047787727,-0.0020958599116538794,-2.279072377912328e-05,-0.03685382245198257,0.0,0.292236328125,0.45257276936579,0.10661015732903734,-0.008775511080530195,-0.16066174429701652,-0.05376979772874622,0.0,1.69759302124114,-0.9778449171988342,-0.013337912710731419,0.6754254245521111
696320,0.19999999999999282,0.8969265297089993,0.30068877245221975,-0.010195321316132322,-1.1351893545368767,-0.2817631987130119,-0.29033561930774865,-0.6198776593916429,-0.004199866006242974,-0.04595467175671962,-0.1798828117607628,-0.4084513889358873,-0.0033128458309593252,-1.1696894835244667e-07,-0.03649446241336746,0.0,0.2999267578125,0.451558732679683,0.10351210407645849,-0.00889559532814478,-0.15070510823217081,-0.05388833785080348,0.0,1.7377968268332453,-0.9734428239059869,-0.015400156912338937,0.9072254721461566
737280,0.19999999999999282,1.0893924246808366,0.2978599324873983,-0.010791024476930033,-0.8953801023753201,-0.2760140090308383,-0.3384038612274305,-0.6449855952511122,-0.005132472654114648,-0.04624385725421055,-0.17774495846388133,-0.40879487666897457,-0.0022657645981096924,-5.408976974518907e-06,-0.03682159292271609,0.0,0.2940673828125,0.43237824016153853,0.10006881436282379,-0.009261744749930963,-0.1525945071182214,-0.05284960390388733,0.0,1.7079700416727392,-0.9556283830315511,-0.02021739001417003,1.0921550525613903
778240,0.19999999999999282,0.7686408220891222,0.2962393772898702,-0.017285164882196113,-1.1034624774738404,-0.28636176367792965,-0.30364414844366067,-0.5953027709583039,-0.0041601467232234065,-0.046006858472407174,-0.18048314885818406,-0.41245097370534284,-0.002059554154403371,-5.301125316273477e-06,-0.036651326983874646,0.0,0.2947998046875,0.4456291149730376,0.09942032720359313,-0.008546635071279987,-0.15437411709211285,-0.05371120527881438,0.0,1.7435420617694553,-0.9109753760845108,-0.020003457907422716,0.804886265162315
819200,0.19999999999999282,0.6639012017234829,0.2785626639147332,-0.014697274964419194,-1.37206172871214,-0.28099016029218227,-0.2774541422598246,-0.6413720873092466,-0.003764722644854899,-0.04605980870395447,-0.1820640243808154,-0.4175211490681634,-0.003171767803041148,-1.4955504674671368e-05,-0.036870280292185365,0.0,0.3087158203125,0.45918537374947693,0.10193305040631002,-0.009405477343020323,-0.15036461863209843,-0.05466930142589264,0.0,1.763466309683705,-0.9485570812743397,-0.01951159645140691,0.7389115730940863
860160,0.19999999999999282,1.1984974825445813,0.312162179669088,-0.015195321393548511,-0.8572773385724162,-0.28023146510317565,-0.2784943680904226,-0.6045911613715096,-0.003921647240322539,-0.04589245445550156,-0.18173962219989345,-0.4120973269149217,-0.0019391764039666487,-1.112123164821294e-05,-0.036454116633477564,0.0,0.3006591796875,0.45426135389187333,0.09963668217545343,-0.009497923071603763,-0.14567139132514426,-0.05454380292401783,0.0,1.749346737062768,-0.9291407560389268,-0.022400607756809365,1.2541877375145432
901120,0.19999999999999282,1.1157662176497531,0.27198598925993495,-0.012275399662030395,-1.166007541046497,-0.282860480215426,-0.31278054358903573,-0.6118760590989495,-0.004126070812202521,-0.046185099381582426,-0.18151470263401281,-0.4158296948512842,-0.001977142393422588,-1.7242841489172978e-05,-0.03666571614775327,0.0,0.2926025390625,0.4538223969063109,0.09746203568404094,-0.009117987765207206,-0.15476862200815247,-0.054282532597717266,0.0,1.747432524177579,-0.9000688766079716,-0.025822912699870696,1.1540686543136087
942080,0.19999999999999282,1.0788683043483078,0.25751386961402417,-0.011210946220671758,-0.7580382477241585,-0.28500556359622564,-0.2846086932664851,-0.6165160107957226,-0.004052021394871783,-0.04598545273452607,-0.1832642151450271,-0.41033991928222274,-0.002621923816623522,-1.1797187799504198e-05,-0.036312113640444454,0.0,0.30322265625,0.4631160449212975,0.09600309306333948,-0.009183785433930844,-0.14746469443957894,-0.055018166732479445,0.0,1.7457404103549878,-0.9158363272764873,-0.022138989170252463,1.1395771732280227
983040,0.19999999999999282,1.1044828428422675,0.30353272222374517,-0.008125008185743354,-0.9188231212285114,-0.2848529196257772,-0.3184280936232539,-0.5968241606845908,-0.004028181850090165,-0.04603443264245741,-0.18301094861089995,-0.41319250055360873,-0.0029693720960491474,-2.943829459006817e-06,-0.03656990528284038,-0.04883354413984115,0.2607421875,0.4245723276204059,0.09810046728984084,-0.008996343253768902,-0.16029043413401844,-0.05471518978883971,0.0,1.7478510548839747,-0.9501764470481082,-0.022570935079995018,1.0213553439125165
1024000,0.19999999999999282,1.1019411140116264,0.27710861091265404,-0.01421875868254574,-0.7959298076540549,-0.28302035291420324,-0.2751522887299048,-0.6079031630892141,-0.004065007278987633,-0.045787318096463844,-0.18231169437640327,-0.4194867715291282,-0.0016091295808094092,-3.978267158198266e-05,-0.03653681911701456,0.0,0.3094482421875,0.45415439827188353,0.09740416418273509,-0.008308353839966686,-0.1545601300785779,-0.05457591762955403,0.0,1.747476117632979,-0.910350909041044,-0.02481625930603117,1.1478913284242613
1064960,0.19999999999999282,1.3104997542247454,0.29999315801562615,-0.010683602718927432,-0.8624459903517874,-0.2759071863013576,-0.277605731916116,-0.5909725377117139,-0.0037780278076973437,-0.045666142028596604,-0.18125093357957633,-0.4116522663487466,-0.0020061693043096104,-8.023141222755359e-06,-0.03609466285186995,0.0,0.302490234375,0.4610099065084554,0.09672789537043146,-0.008330455569579705,-0.14882152594497358,-0.05425300557937584,0.0,1.7593692668886267,-0.9002576265296542,-0.0226217149483863,1.4056960050644594
1105920,0.19999999999999282,1.147132313955449,0.2822134017128798,-0.016142586668138392,-0.7535760368319018,-0.27536863911665965,-0.3189761087869928,-0.5931499055555841,-0.003646102734320622,-0.045891199157858296,-0.18148149358385104,-0.41396544714333755,-0.002069538830881038,-1.3404005984623364e-05,-0.036417018280625685,0.0,0.271728515625,0.4277664755512627,0.09420756837707854,-0.008826028159802914,-0.15670043906674241,-0.054152893278514934,0.0,1.7665431325361476,-0.9142960909168417,-0.024584892846529347,1.1416629660732713
1146880,0.19999999999999282,1.2114046447671944,0.3030424855831687,-0.011162119408254512,-0.7195955217706143,-0.279486598346598,-0.2777753422070254,-0.5737382113637146,-0.003690911060662694,-0.04598513090077397,-0.18197420778742573,-0.41202581310645786,-0.0018552854046549076,-2.2210441258059418e-05,-0.03625468990555764,0.0,0.283447265625,0.4629113253576267,0.09521118950942954,-0.00903462310398102,-0.1515906216112782,-0.054521746802784044,0.0,1.7678594792100282,-0.9285392780634936,-0.02535069900434293,1.2958572112571611
1187840,0.19999999999999282,1.0251759275026673,0.29594164069152334,-0.014199226941855159,-0.8432140061712232,-0.2993086455023253,-0.3093033374987837,-0.5718766289725064,-0.004204539255339608,-0.046016764344769465,-0.18295627536863332,-0.4200585338880313,-0.0014259967116150164,-3.210822400021546e-05,-0.036468880961098564,0.0,0.29443359375,0.46476413103408487,0.09383591437165777,-0.00813690145610102,-0.16052003374414206,-0.05475862020801284,0.0,1.7371598929518584,-0.8758818569238249,-0.03207556546824717,1.0948598824117663
1228800,0.19999999999999282,1.2729933965303586,0.27784031865723613,-0.012021493319480214,-0.698777596373318,-0.2762140804857296,-0.31512527203717966,-0.6109977419024837,-0.005046748100009323,-0.04573743083074835,-0.18326612039672896,-0.4233996484702979,-0.000998643782332131,-2.2248548561960506e-05,-0.036445559458844236,0.0,0.29296875,0.4515129579267816,0.09386187313110542,-0.009578619202997038,-0.1561772168303429,-0.0548928410150984,0.0,1.698736192477887,-0.8691070460094321,-0.026577443867403946,1.2919441710816928
1269760,0.19999999999999282,1.1421412870315375,0.293830903411052,-0.012412118288921192,-0.8007425232130299,-0.2656308488482111,-0.2876982685863214,-0.6312039564953197,-0.004098212359851577,-0.045789439712710496,-0.1841620548453649,-0.42202679089206463,-0.0016225977018141558,-5.750511392063016e-06,-0.03628652788375917,-0.027277276576827224,0.30908203125,0.45842397791341294,0.09529237811582106,-0.008128284145538041,-0.1605689325212156,-0.05523573139915241,0.0,1.7603021097822795,-0.8574091311811637,-0.026444563584432958,1.2279555396788104
1310720,0.19999999999999282,1.0087510517178355,0.2931482998263822,-0.014560556504875422,-0.9369992186820504,-0.27074057415012476,-0.2598342162821803,-0.6100502456287352,-0.003556655339007449,-0.04581119705106476,-0.18292972609051503,-0.42137165084734424,-0.0016446055586850589,-2.402259597945028e-05,-0.03625094519191304,0.0,0.30322265625,0.46186795294419325,0.09264043764166058,-0.008453640789574193,-0.1469309905254631,-0.05491130447800968,0.0,1.77576869152594,-0.8977561026122893,-0.031925706388525835,1.1005308892635979
1351680,0.19999999999999282,1.410671517833426,0.2919477875260553,-0.011611336798523553,-0.6667052710855899,-0.25841420316291774,-0.28106456826200976,-0.5748921061434303,-0.0032116455569978345,-0.04579098429274804,-0.18516420585437995,-0.41872210471153376,-0.0016194535697403294,-1.8733134344944578e-05,-0.03616608628224196,0.0,0.302490234375,0.46256149588142004,0.09207838245435061,-0.008443807537462832,-0.1531238042633628,-0.05578700237441816,0.0,1.7848241149326656,-0.9136809046179704,-0.028211961811908562,1.526771528890999
1392640,0.19999999999999282,1.0993676155801204,0.30356136299813313,-0.01542969681759132,-0.7862689922414745,-0.27196108603395075,-0.304748078576084,-0.5744592948579527,-0.0038702357412811615,-0.04541539412030988,-0.18538267152907775,-0.4195443636219274,-0.001729266547208566,-3.168174614949456e-05,-0.03592394042586373,0.0,0.2947998046875,0.4579663907060225,0.09166439345256543,-0.008542578853631196,-0.1544264014780056,-0.05589621173305195,0.0,1.754491929004003,-0.8640863673444643,-0.03407841801830242,1.1759576550420203
1433600,0.19999999999999282,1.3311204733471094,0.27347828536163366,-0.013183601993659977,-0.6329933752748715,-0.25325931038337046,-0.28800677279864234,-0.5828587294412324,-0.0036783175571822187,-0.04556361428062369,-0.1820032205010646,-0.41942207722160874,-0.0015181004099089253,-2.0093306139125703e-05,-0.035885660011507635,-0.07220195124967146,0.2607421875,0.4148864172243747,0.09295541691339043,-0.008432692326119921,-0.15623846942099026,-0.05475216093705982,0.0,1.7625841658616421,-0.8745542221221927,-0.029378271646785404,1.2744767008417146
1474560,0.19999999999999282,1.4699555794730734,0.2899018994134509,-0.011982430776697583,-0.5311645907598939,-0.24534840714742323,-0.27244700642652797,-0.5631598033852788,-0.003760563081373676,-0.045806519172873914,-0.18871407839033041,-0.42410004168312343,-0.0013745899813935288,-1.9229878256760444e-05,-0.03604828744522691,0.0,0.298095703125,0.464284678810717,0.092046653137571,-0.008731507992621861,-0.15427460203986254,-0.05719487374561132,0.0,1.760428603643269,-0.843607258378964,-0.029712183991693147,1.6034633108363971
1515520,0.19999999999999282,1.0676105337527473,0.32173873650731794,-0.012714853401121218,-0.8041740535008302,-0.2610079608494402,-0.2935250611786197,-0.5760210868530381,-0.003635129048118475,-0.04557998455372997,-0.18428346860455344,-0.41550087922557544,-0.0015668495689754238,-2.4683427142861883e-05,-0.035773902962534215,0.0,0.289306640625,0.4600810171134076,0.09242847042496853,-0.009363681932339135,-0.15287990904285081,-0.05525094574259128,0.0,1.7642710402241932,-0.8814148817710327,-0.02973155893108844,1.1812712505668224
1556480,0.19999999999999282,1.2868523118425077,0.27772175060144033,-0.010253915250359569,-0.6150543476378516,-0.2942023582698443,-0.2836489941726827,-0.5581916222338845,-0.0037594002365160762,-0.045424853260917865,-0.1855662043468328,-0.42229935125294726,-0.0012836955868648816,-5.7210617701880086e-05,-0.03574070204757092,0.0,0.30322265625,0.4652561218033828,0.08978575735391353,-0.007975554418681865,-0.14934109671041387,-0.055905186210584316,0.0,1.761204662515062,-0.8655970983220339,-0.03762272356921718,1.4009884455852404
1597440,0.19999999999999282,1.5797669811828192,0.2834091277810771,-0.01574219665781129,-0.4862838884339977,-0.22302621025463765,-0.25670191057631325,-0.5652672346271269,-0.003302814106049737,-0.04573306238419459,-0.1882433664562996,-0.41676865376360395,-0.0011166219604793952,-1.8101059021051665e-05,-0.03580899681166525,0.0,0.286376953125,0.45372494750139375,0.09554271112439161,-0.00960074900202653,-0.15560369488800643,-0.05710394711524708,0.0,1.7843562181400534,-0.8864076333099095,-0.02460183031724103,1.6992040227125282
1638400,0.19999999999999282,1.3086019871285142,0.305005387784748,-0.011171883721544873,-0.5210820817355994,-0.241901743654644,-0.2780045300118896,-0.5765114111762429,-0.004073657602988423,-0.04573401251924407,-0.1879213402629829,-0.4247749158143854,-0.0017646838677750254,-2.9468805869783624e-05,-0.03590672416555939,0.0,0.299560546875,0.4641420509446281,0.09258490252314933,-0.009110930441667454,-0.15825779910662086,-0.056861713326070464,0.0,1.7408976469091475,-0.8700240988647115,-0.029409044162722837,1.434793269482913
1679360,0.19999999999999282,1.4981182723987956,0.2886881005405697,-0.012548837599752005,-0.5832266020980121,-0.2487333699346519,-0.2840072820127717,-0.5683759218882769,-0.003385424936645837,-0.045453948033041106,-0.18855985822883653,-0.42043424368736937,-0.0017126919170740603,-2.3417402804787138e-05,-0.03560215414139096,0.0,0.2823486328125,0.4608531908108691,0.09124726873721095,-0.009322068068033014,-0.15290585694355807,-0.05712478313595062,0.0,1.77791625671238,-0.8829414020883476,-0.030091896371807886,1.5970983950374023
1720320,0.19999999999999282,1.274209240578186,0.2829498106002739,-0.01371094660134986,-0.7819963606324833,-0.24035309427394935,-0.2870654879178713,-0.5624424397422987,-0.0033780392435376703,-0.04536673313043491,-0.18583394451270593,-0.42592806499963937,-0.0012051178263819047,-1.0321605612874507e-05,-0.03576749456753142,0.0,0.308349609375,0.45964927975406744,0.08845798283515711,-0.008533276091335532,-0.16331210867056506,-0.056186098681791904,0.0,1.7898824091537953,-0.8553388943077913,-0.034879051634998715,1.397662048647679
1761280,0.19999999999999282,1.2294226219008975,0.2948242047809284,-0.016142587635840755,-0.580092927088117,-0.24006608819887232,-0.2702142081802184,-0.5877792003977965,-0.0032342876315703422,-0.0455810017410151,-0.191552983320435,-0.431870189908969,-0.0006614555693014621,-1.2124254442557851e-05,-0.03593648435172771,0.0,0.3087158203125,0.4610643994642113,0.09043484373305723,-0.008866673926739194,-0.15710721307160566,-0.05837340458354438,0.0,1.7927531701256676,-0.862431137768662,-0.03227848848236273,1.3462912072639142
1802240,0.19999999999999282,1.4267411591277037,0.3072846207636202,-0.013544931927754078,-0.48537789952567323,-0.2390820313848394,-0.26081638867575513,-0.5926425313042152,-0.0032790967933025742,-0.045600776382275596,-0.18820561621250806,-0.41968378074058355,-0.0012852194393244765,-3.139958218674379e-05,-0.03573301976416446,0.0,0.3145751953125,0.4548007047427813,0.09295231217245786,-0.010265162571907646,-0.15089606292913943,-0.05684605957882017,0.0,1.7857571560231218,-0.8855722742464893,-0.02646806043008957,1.576209960890231
1843200,0.19999999999999282,1.3631722959747163,0.2623759317720262,-0.01550782252161298,-0.6229010723100998,-0.2288706715908866,-0.26882028376817607,-0.532627475052313,-0.0037069604157972287,-0.04535613194137168,-0.18738165661488906,-0.42089943378075506,-0.001067832094546218,-3.8254646540690895e-05,-0.03550949586846742,0.0,0.2852783203125,0.4580091002032728,0.09060491540885869,-0.009230572355065702,-0.1550503082399376,-0.05685443561902504,0.0,1.7760925877361486,-0.8744148892258197,-0.03272117394838793,1.4942992752075193
1884160,0.19999999999999282,1.2157400679389967,0.2931721674790401,-0.013232431476353668,-0.6335631706728861,-0.22380429751135722,-0.28776085505557225,-0.5665574259010646,-0.00345044047670392,-0.045227511502142166,-0.18589160314877543,-0.42593764945775875,-0.0012967266322935842,-1.4864127217203853e-05,-0.03563716732888743,0.0,0.2933349609375,0.457093106520312,0.08763600683271948,-0.00858964977368036,-0.1584265273987841,-0.05626047111320067,0.0,1.7724650569324354,-0.8717866641877556,-0.03788789788745942,1.3432562210800165
1925120,0.19999999999999282,1.5252990440281902,0.3270801350939957,-0.010205086968198884,-0.5325556205022082,-0.23577266895283344,-0.2719633176647217,-0.5493800488940083,-0.0035291631234073023,-0.045255632494717146,-0.18766464295476856,-0.42371968918292113,-0.000771443635466092,-4.3590598449648386e-05,-0.035399851012344025,0.0,0.283447265625,0.4655732764054624,0.09061906818977487,-0.008326434312809782,-0.15672295850540116,-0.056842575047048746,0.0,1.7708623068005132,-0.8575668595602559,-0.03455478434338105,1.6677662302685072
1966080,0.19999999999999282,1.7926115152185225,0.30895233056566684,-0.013496103805664461,-0.39712115383488467,-0.23712653456658472,-0.23451507981329456,-0.5565757320276233,-0.003394802079779556,-0.04606349339350628,-0.1935465914117232,-0.43219960519734824,-0.0008024868140643492,-4.6701075682893e-05,-0.03582934051427456,0.0,0.2823486328125,0.46116101140693544,0.09405948673977224,-0.009465108116776956,-0.15162942483998965,-0.05893198127043438,0.0,1.778157574940327,-0.830116287763023,-0.03128237401154097,2.0165060320195964
2007040,0.19999999999999282,1.5703736594295559,0.3017609044844961,-0.012617196553037502,-0.4820441314012669,-0.24251043185032373,-0.2659713790543574,-0.5918748627576877,-0.0035725928365035343,-0.04565883991318729,-0.18937618795753197,-0.4308726417580234,-0.001650705014380542,-3.4370515491632986e-05,-0.03590575846906599,0.0,0.309814453125,0.4635794071563429,0.08886678298132407,-0.009168814860698952,-0.1537790902273263,-0.05738922480304608,0.0,1.7646775287821521,-0.8380427559330065,-0.039595506498961375,1.694651864922598
2048000,0.19999999999999282,1.6260532465474675,0.31111938666805905,-0.009667977734352462,-0.46484284973756473,-0.24886705689539745,-0.2761392766841166,-0.5653642207634215,-0.003971313027510136,-0.04536523175902515,-0.18967083958996223,-0.42721766583019605,-0.0011072307947116897,-2.3762772588526222e-05,-0.03569199085120904,0.0,0.2977294921875,0.46594951009390745,0.08732569668243416,-0.008836389365825531,-0.1540586601654068,-0.057559202740667406,0.0,1.7513807445347924,-0.8625280533830915,-0.040792443421047424,1.7461281879126416
2088960,0.19999999999999282,1.8295590763094671,0.3009338339891241,-0.012177743417851161,-0.3518572976358918,-0.22162132877345186,-0.2720505744809503,-0.574212066119602,-0.0037550719176592012,-0.04626668082350394,-0.19177283003882595,-0.4316451001485152,-0.0015867471851362396,-1.4815019263375127e-05,-0.036242134288890795,-0.06877248331189162,0.2794189453125,0.44283302302423744,0.09361843045742073,-0.009981184555897879,-0.16146468364176678,-0.057875146051228565,0.0,1.7699035977965913,-0.8789167504186427,-0.02604312036761553,1.858004947982333
2129920,0.19999999999999282,1.3876998012424924,0.3151947078917953,-0.010175790208450053,-0.5844531711351616,-0.22997446777817832,-0.25913969882511106,-0.5559485289195424,-0.003279428478156944,-0.04520163170381438,-0.18878753732569778,-0.4225253996708156,-0.0010058819781118777,-3.0170893817645106e-05,-0.03529537134141328,0.0,0.2750244140625,0.4645773880727835,0.08459412285706977,-0.008934124712377483,-0.16020770313784374,-0.057226185019244466,0.0,1.7811484500670505,-0.8450522021236564,-0.04138614688765252,1.5670647204283739
2170880,0.19999999999999282,1.6738814427926128,0.324018202598315,-0.01328125903091859,-0.4198247061346265,-0.2148395507314973,-0.26309889170728257,-0.538539631070844,-0.003816058031509353,-0.045330201126317485,-0.19152427006338274,-0.4253177144650887,-0.0011056025205936246,-5.462875712739357e-05,-0.03512344587695518,0.0,0.2449951171875,0.4007499856153192,0.08923199329432957,-0.009236292691015977,-0.15303014467097817,-0.05826447582512625,0.0,1.758813329220022,-0.8345198386514407,-0.02941509942993222,1.7904158821641805
