step,r_alive,r_linvel,r_yaw,r_feet_air_time,r_cmd_vel_error,r_orientation,r_lin_vel_z,r_ang_vel_xy,r_height,r_torque,r_smooth,r_joint_acc,r_joint_limit,r_crouch_penalty,r_power,r_stand_still,r_gait_phase,r_foot_clearance,r_posture,r_foot_strike_vel,r_body_acc,r_action_jerk,r_jump_phase,r_body_height,r_abduction,r_hip_excess,r_dof_vel,r_total
16384,0.19999999999999282,1.2519676245884583,0.2787679191574719,-0.01694336706714239,-0.8843606175008887,-0.2954162327761747,-0.3663483053134131,-0.7149447445154504,-0.027049205634706093,-0.04678884157990915,-1.0280593237403073,-0.3941135011014586,-0.00557450325196582,-2.240204425131201e-07,-0.03778232032510582,-0.4810687286482483,0.2391357421875,0.37730132709629643,-2.3542329514828224,-0.00885340121337106,-1.582000345956765,-0.20122453203075563,0.0,-0.37619599968178585,-1.1187561469060496,-0.005948807341351318,-189.02175674400448,0.0
32768,0.19999999999999282,0.9678639673535997,0.28506474712799873,-0.0128711002835189,-1.1761728983956417,-0.3234400726074753,-0.3821429941618384,-0.6882647798383904,-0.017467522492553726,-0.046754644255465945,-1.0165297638595807,-0.3920136564480472,-0.004560758447647451,-3.0710832365272783e-06,-0.037602647985745696,-0.6687921964905288,0.24609375,0.3775745575330812,-1.644957270071046,-0.008274183987162622,-1.6301446362333072,-0.19665013875230258,0.0,-0.2596709058934184,-1.046820512314034,-0.006208349156934234,-186.74135991075553,0.0
49152,0.19999999999999282,1.1977338313266486,0.28551017184646094,-0.016386726223572623,-1.011221420037332,-0.30426489675531165,-0.385629180461442,-0.6815996953779141,-0.02161539337253024,-0.04676418579891193,-1.0478719998471193,-0.3909225003087976,-0.004292386548580674,-1.4931624070320276e-05,-0.03705357171989374,-0.36947101602887567,0.258544921875,0.39669232964033735,-1.8926770381471156,-0.007610666366173202,-1.5791601262254704,-0.2051584489888043,0.0,-0.31959259549883784,-1.1025092370719751,-0.006071081922113537,-182.83197659193195,0.0
65536,0.19999999999999282,0.8998321099471412,0.3002641082968522,-0.012763678496412467,-1.274274847443678,-0.3133589123339391,-0.39288440504912203,-0.724899260854055,-0.02066340412893561,-0.046937045551719875,-1.0392068074259448,-0.39855248247604375,-0.005291278862768388,-7.067652714710966e-06,-0.03802150129449018,-0.4979341223980462,0.2493896484375,0.36680291522657527,-1.8614308926014655,-0.007618241758611909,-1.6102947976718147,-0.20303452067368222,0.0,-0.29985056563511947,-1.1228934558991603,-0.00782816700624858,-190.48229216148528,0.0
81920,0.19999999999999282,1.0488919677931008,0.28696074640926417,-0.017490241189079825,-1.0839469116936442,-0.312597853464176,-0.39632974176373675,-0.6911639198595136,-0.016985137829077634,-0.04641406701527604,-1.0328080163220874,-0.39321251621725267,-0.005294200884623543,-2.949137590281647e-06,-0.03723450180576993,-0.6752642024999601,0.2724609375,0.39370503112790867,-1.630387088479323,-0.00770068929902595,-1.578659181346885,-0.20216697463532937,0.0,-0.25569289935238265,-1.1324657573214958,-0.007367681616104321,-185.14350698448916,0.0
98304,0.19999999999999282,1.143910948323228,0.2671256160709318,-0.010019536770414561,-1.1488877056959694,-0.31066397286227243,-0.3595313283317192,-0.6899710723528502,-0.023635764002477563,-0.046791544158749365,-1.0326378184603524,-0.3908262006477605,-0.006626890810626914,-1.3249139501939468e-06,-0.037439445609304116,-0.9247159477551616,0.2274169921875,0.3490825716681448,-2.0604695412736853,-0.00816876236315415,-1.5606334294742554,-0.20142588856106167,0.0,-0.33213648924509115,-1.1406048175377024,-0.009275808352713773,-186.58677189700765,0.0
114688,0.19999999999999282,1.2836982095936558,0.29611159110719304,-0.010322271336917765,-1.1362013527954176,-0.3228827355450008,-0.394300874004356,-0.6802709718926697,-0.022479932971161735,-0.04663970982730214,-1.0492201385175568,-0.39837117265109817,-0.004706045246170537,-4.529751532869701e-06,-0.037482366090289466,-1.0663268306731453,0.2413330078125,0.36296144479802245,-1.946657461246212,-0.008060774465284665,-1.6272240152914983,-0.20593589119031117,0.0,-0.3240270914039828,-1.0887029901062784,-0.006783061394413832,-185.95462707471344,0.0
131072,0.19999999999999282,1.0203673814164655,0.29772939849587526,-0.012353522048215382,-1.1737749053335733,-0.3359031278652402,-0.3895495515784698,-0.6736994972733595,-0.018849422123826946,-0.04662177960363524,-1.0340269735199394,-0.39079664474511705,-0.0054327630603978995,-1.3531481312133702e-05,-0.037441432664860046,-0.6982011857753975,0.2471923828125,0.3894537758582643,-1.8096691735401398,-0.008566004184093224,-1.5639653648780927,-0.2007141846942253,0.0,-0.28745905210310274,-1.128276416911035,-0.007725082723408715,-186.21705749419849,0.0
147456,0.19999999999999282,1.2348587133830813,0.26880612296852624,-0.012148443645855878,-0.9657985667668338,-0.3142321400003496,-0.42455344557394614,-0.68796447279742,-0.028222096236122835,-0.046628294871276704,-1.036005761328851,-0.3917969692226698,-0.004816131868543957,-2.8607650994495858e-05,-0.037366643636410735,-0.7077120450251657,0.227783203125,0.35551905871883116,-2.3934334858308013,-0.008548175556859473,-1.586342106758422,-0.2022410143353047,0.0,-0.4104788063524897,-1.105845185394444,-0.0063468415068984405,-185.3649605660831,0.0
163840,0.19999999999999282,1.3364656589443964,0.29528073400012966,-0.012216802628245205,-1.014564528340543,-0.30196695209050173,-0.43437902119783856,-0.6632761166365345,-0.019830332430802546,-0.04696704480843808,-1.0416916556860087,-0.39296374299632064,-0.005389470177287857,-2.773897615957846e-05,-0.037591646707435596,-1.8749706578026764,0.2113037109375,0.3043927045511401,-1.7317561471123384,-0.008769628126577068,-1.5874134130289894,-0.20313213185640114,0.0,-0.28799289014730306,-1.091649258820374,-0.008800672172069616,-186.3371420110751,0.0
180224,0.19999999999999282,0.9402609589511431,0.2936774480966306,-0.01802735117234988,-1.4019949184968858,-0.30601616258508635,-0.38302823206226555,-0.718338825158016,-0.016772651204771574,-0.04672035150288919,-1.0576171677894326,-0.3959502531218213,-0.004237275189955919,-1.052647859136004e-05,-0.03763593772726695,-0.43280869968873004,0.274658203125,0.4036541425529446,-1.7199203283797124,-0.00992743655192519,-1.4619295915236563,-0.20816395343048497,0.0,-0.2545482383224614,-1.0801100636349388,-0.009744071564949589,-187.1626312593217,0.0
196608,0.19999999999999282,1.2491668116782906,0.2769645512730772,-0.012851567473262548,-1.0651385797153736,-0.3074786606742368,-0.38414660876828405,-0.7199680372702469,-0.02462580984391889,-0.04690852477829263,-1.0419884820497802,-0.39808615023165383,-0.005040294171905502,-1.3013709768170899e-05,-0.03774223442053577,-2.0741270639636156,0.1768798828125,0.27683139142178576,-2.2081104622692784,-0.008068464329807987,-1.5133662037427693,-0.20296721614140528,0.0,-0.3533625369562863,-1.1095191682753693,-0.0050164003225346525,-188.44867316781895,0.0
212992,0.19999999999999282,0.9071167210008629,0.27598624049866843,-0.014228523104975466,-1.3445451940035014,-0.3041875383900905,-0.37611149249333603,-0.7250290673662034,-0.01857253813740922,-0.04656060289092706,-1.0270363339193869,-0.39271916800308887,-0.00442419584520807,-1.0763091314543544e-05,-0.03763752813135979,-0.6073072568099719,0.258544921875,0.4000910418493494,-1.8413588214209544,-0.008796177326077995,-1.5374037122871949,-0.19945419228228276,0.0,-0.2723776038229418,-1.0908188202997546,-0.009506476069847286,-188.17035868950438,0.0
229376,0.19999999999999282,0.8161735341602027,0.2910129242149947,-0.016601569710473996,-1.6479189265072,-0.3180585014276751,-0.38451172992787097,-0.7243866513344036,-0.020940225672772744,-0.04654330305994473,-1.0471928229380862,-0.39556112893091694,-0.004371203042752042,-1.7437785328129234e-05,-0.037511889376381856,-0.31306990672630886,0.2559814453125,0.40166716716682666,-2.06576519322369,-0.008450884435725876,-1.5633174026207408,-0.2045597326423734,0.0,-0.31006438998475244,-1.0989039910603473,-0.009142998548339895,-186.485908176435,0.0
245760,0.19999999999999282,1.1365811259358354,0.2883951242774243,-0.01405274116405053,-0.912575460500733,-0.331157951483533,-0.3672202781862376,-0.6647207430217515,-0.02371649469599032,-0.04684006060934851,-1.0357405684422705,-0.39275069691191605,-0.005727248909427543,-1.6040398363682447e-05,-0.03767350953792631,-0.6114152276078656,0.2457275390625,0.3842361378816563,-2.122900541653015,-0.007889760881205169,-1.6131547846767327,-0.20114964008913389,0.0,-0.34512468144975633,-1.1195805974791089,-0.008015749479192974,-187.3643908508884,0.0
262144,0.19999999999999282,1.125433489195962,0.2987634062394009,-0.00987305353191914,-1.0674085588852193,-0.3034930192697374,-0.4052762061927864,-0.7311514271991104,-0.023724696483799563,-0.04685463213441109,-1.0457646351016592,-0.39817999271245214,-0.004196738694729843,-2.9586974325571907e-06,-0.03771672423820574,-0.6936625162626979,0.2310791015625,0.35457256007170274,-2.120723934323632,-0.008994080975465791,-1.616335717692563,-0.20347222048963906,0.0,-0.34792442465838214,-1.1190650941678846,-0.007822369875024349,-188.17284400210838,0.0
278528,0.19999999999999282,1.2253413499078782,0.3359640763342595,-0.016621101000055205,-1.020682514184415,-0.3143835099706598,-0.39613291326370537,-0.7260588279247548,-0.022014374934112936,-0.04683725278434291,-1.0485224063624619,-0.3984463922327534,-0.004336106183738399,-2.523340200620251e-05,-0.037894526471985594,-0.5155027900529704,0.2464599609375,0.38323263399513385,-2.0954273726936474,-0.008516382185220085,-1.5612415439654386,-0.2043753857514817,0.0,-0.32645155203600285,-1.125246186551171,-0.008230636003765026,-189.507712753167,0.0
294912,0.19999999999999282,1.3084265651103995,0.2999819537660289,-0.016914068575715646,-1.0685895182406568,-0.32397959816195865,-0.4196746770791455,-0.6566647998366567,-0.02489401134728647,-0.04653780623970736,-1.0319330955841006,-0.3844036091245092,-0.006274755487079173,-2.241839704902963e-06,-0.03735678086602815,-0.8240426288081316,0.232177734375,0.3567408408540672,-2.2538085206866065,-0.008046419032115965,-1.6057330773973035,-0.20037267071311377,0.0,-0.35728619151143604,-1.1467598771559777,-0.00919774084243305,-185.46697313719702,0.0
311296,0.19999999999999282,0.834185280680345,0.289067215611318,-0.015468757286726031,-1.6385801405020857,-0.3456085707467693,-0.3752075052382624,-0.6900508059814746,-0.02097391533473237,-0.04675648276114463,-1.0464190547761996,-0.3931763541449478,-0.005774095930323799,-2.2509570512132966e-05,-0.03766570512896452,-0.6491444144834643,0.2552490234375,0.41877637878868545,-1.7359707560647313,-0.008288545898137512,-1.6009458931526623,-0.20478076091967565,0.0,-0.28593387585019747,-1.1483300896415585,-0.008980674117632096,-187.70473968335568,0.0
327680,0.19999999999999282,1.3065570422760757,0.2769159196950283,-0.01409180331393145,-0.8689507688350879,-0.3343140100590656,-0.4353335714913121,-0.7133520888666678,-0.02394082410831281,-0.046930642855111525,-1.0354065647668875,-0.3975574476766194,-0.005788612499475695,-2.6965453429567853e-05,-0.03808403801355112,-0.8831448112874746,0.238037109375,0.37498783065141966,-1.9972010748030293,-0.00808302869080903,-1.6542178365611493,-0.20021193814347485,0.0,-0.33673402598140184,-1.148134195648106,-0.00877052920978092,-191.09353317107625,0.0
344064,0.19999999999999282,0.8960832664352606,0.27921037737286136,-0.016933601029450074,-1.2258866590509854,-0.3014599306534178,-0.4098641054893326,-0.6884522878289312,-0.017582225258772434,-0.0467784665236073,-1.0367443448762044,-0.3900065328945298,-0.005862533752040501,-1.0713669233687155e-05,-0.03736009156669927,-0.7854024985668551,0.264404296875,0.40479242201391885,-1.5481109382320712,-0.00807422569222689,-1.5647647710471921,-0.20123614600859582,0.0,-0.25501751449750426,-1.1389471853150284,-0.009784664137801505,-185.26238609722824,0.0
360448,0.19999999999999282,1.0831937012424564,0.30688806867259827,-0.01559570942481514,-1.2151718744446214,-0.31190876351699615,-0.4446157415620721,-0.7019245794934056,-0.021552379980421844,-0.04714471706438915,-1.0539844376791718,-0.4002205788022827,-0.00539863402302577,-1.6025730687610708e-05,-0.03829089761371402,-0.4978579431499231,0.242431640625,0.3821186437285215,-1.796279601110191,-0.008609723384292675,-1.6111931493214797,-0.20487446320417846,0.0,-0.3006531888997941,-1.1390956054252632,-0.01008525921438312,-191.531674877437,0.0
376832,0.19999999999999282,1.2052856573563646,0.30219887605571905,-0.019365241249033716,-1.0762087385285222,-0.3091319989966692,-0.3617138308136748,-0.6862410699025647,-0.02203794902436154,-0.04713513767451098,-1.0573291402106424,-0.39134593475331564,-0.005005166852894995,-6.760387649561217e-07,-0.037504100606953396,-0.5763811071729342,0.255615234375,0.3969609056132305,-1.9556994568068824,-0.008207910136021884,-1.5414694163086813,-0.20594424990937105,0.0,-0.3085488176482912,-1.1143545185824686,-0.00661853871610214,-184.82965796683257,0.0
393216,0.19999999999999282,1.1155005091056678,0.286755767395903,-0.015107428400369827,-1.1257256835238536,-0.29630557132761437,-0.3793476269094349,-0.6872604605014196,-0.019939960093217562,-0.04673604316489816,-1.0453913215402286,-0.39305363686970024,-0.005904609836545499,-1.589680953099991e-05,-0.037205693929595454,-0.9344530476476749,0.211669921875,0.33593516776951865,-1.9786034466459952,-0.008172383745480623,-1.5873893775550814,-0.2035689743759577,0.0,-0.29177587291768287,-1.1040194285709592,-0.007065102593843425,-184.50086793082514,0.0
409600,0.19999999999999282,1.0790045076181538,0.2824360090952908,-0.012714850185147952,-1.148155832304674,-0.3231561953976123,-0.4030101857203532,-0.6984425306874809,-0.02315402695649714,-0.04678936548905589,-1.055527520798206,-0.3995106847954697,-0.005066489845550533,-9.788633724058802e-06,-0.03778058184105378,-0.7158656973514106,0.234375,0.3622521895329006,-1.9951130518522133,-0.008160586752474344,-1.6224030603264696,-0.20676845535112126,0.0,-0.3268224611732819,-1.1168751323610338,-0.00853081379937099,-188.66643675665023,0.0
425984,0.19999999999999282,1.0378226322477766,0.3062444168139051,-0.014365241826453712,-1.19298335470868,-0.3062353529098729,-0.39101543913804404,-0.6739763373258748,-0.018413092751381876,-0.047014764058638726,-1.066871578282735,-0.3957740926994784,-0.0063158927440231495,-2.0186008370553697e-05,-0.037763791277536866,-0.4946696929413403,0.2669677734375,0.40907262905057096,-1.7838323026455851,-0.008569214049031049,-1.6121167186403147,-0.20933247128792584,0.0,-0.2798106069228997,-1.1620894000899344,-0.009883373867951033,-187.95522203796506,0.0
442368,0.19999999999999282,1.153362785641907,0.24790217522716637,-0.013193366838095244,-0.9576596511203093,-0.3038392214213488,-0.378559221076578,-0.7263154906614,-0.014369379206697138,-0.04679694296853493,-1.0497086417322874,-0.40021253627197695,-0.005740652345841285,-9.248231001526231e-07,-0.037788188818096424,-0.4015948650341829,0.2552490234375,0.4161858922249208,-1.540261211261194,-0.008923986043180144,-1.6547497014829429,-0.20595118981524113,0.0,-0.2201734477679811,-1.1170077936866878,-0.011012591132477536,-188.4886251886705,0.0
458752,0.19999999999999282,1.2193662916555676,0.30766980238986125,-0.015390631633636076,-1.148091042014812,-0.32523552890670615,-0.4169980114960661,-0.6727947065682933,-0.024927754632938646,-0.046809987578019,-1.0568123750301306,-0.389859092620432,-0.005113204268110515,-2.2956170382307874e-05,-0.0374398471818878,-1.0924264885881496,0.2255859375,0.3586166508257659,-2.322649063644701,-0.007477932459216151,-1.5917739682332437,-0.20572667986329213,0.0,-0.36657658171450574,-1.0738811546484195,-0.007558379903999799,-184.8883122238292,0.0
475136,0.19999999999999282,1.0398481120304122,0.2657594287154053,-0.015341803249611985,-1.310703281581624,-0.30439173233281025,-0.4263714162595989,-0.7166443402345521,-0.018288585344611027,-0.047133726697077695,-1.0563864801573803,-0.4008915515653188,-0.004421231636898306,-1.1761317710956483e-05,-0.03809606508403616,-0.8340964101185856,0.2281494140625,0.37838720053638647,-1.6882257033959456,-0.00907527863234349,-1.5841780298357486,-0.20526393309119115,0.0,-0.27301277439003935,-1.0694895084843703,-0.008512037535736679,-189.98125449274633,0.0
491520,0.19999999999999282,0.8608217203684521,0.2897581279446689,-0.011552741067134775,-1.334761738450938,-0.3129048999833586,-0.39626624573791014,-0.7118773113418589,-0.01735503801966458,-0.04721309792801778,-1.0728395941288913,-0.39679951296597166,-0.004818396300288469,-2.3026804208249574e-05,-0.03800770087501327,-0.49395870872163544,0.262939453125,0.3794107282094686,-1.688136217083342,-0.008921382968981066,-1.5818309336039227,-0.20896439062256872,0.0,-0.27292065972722923,-1.1256331596735647,-0.008279478291944779,-189.2938710609267,0.0
507904,0.19999999999999282,1.1658762056248395,0.32178894033506755,-0.018496100077754818,-1.0523157220471369,-0.32507981116698836,-0.3826488448374035,-0.7167337049335128,-0.023917445727464893,-0.047133921615942855,-1.0639950995449916,-0.40098137785563465,-0.004601385235225928,-8.243214082847128e-07,-0.03797192927067531,-0.5256771913702173,0.25927734375,0.38483675816548985,-2.0415607668327906,-0.008403968999235638,-1.5971939897170497,-0.20725288737739908,0.0,-0.3398867723322914,-1.0877956112456242,-0.008383819944668778,-188.98593933968965,0.0
524288,0.19999999999999282,1.1094723296800806,0.2828059577899232,-0.013818366460327525,-1.0974773693359623,-0.29975695425218873,-0.3679820949437372,-0.7231737364783505,-0.02409382648944851,-0.04685251749482867,-1.062629540791386,-0.40079244425359034,-0.005958942000450362,-9.025563906080235e-06,-0.03784655580912146,-0.22881322749754152,0.246826171875,0.3898609463162035,-2.2913677086916966,-0.008808128619639607,-1.5839790926026749,-0.20796455513278514,0.0,-0.3568090509419862,-1.1301495961719357,-0.006688011289609461,-189.182996874076,0.0
