#{"t_start": 1775235644.4895658, "env_id": "None"}
r,l,t
0.0,7,0.564057
0.0,9,0.567713
0.0,16,0.579676
0.0,17,0.581797
0.0,18,0.583686
0.0,20,0.587128
0.0,12,0.589072
0.0,14,0.589088
0.0,8,0.597363
0.0,10,0.605667
0.0,7,0.609126
0.0,16,0.616537
0.0,22,0.62067
0.0,39,0.62069
0.0,39,0.620695
0.0,15,0.635497
0.0,13,0.635522
0.0,8,0.638002
0.0,9,0.640154
0.0,35,0.64762
0.0,13,0.65165
0.0,6,0.651672
0.0,12,0.667461
0.0,22,0.669935
0.0,9,0.672563
0.0,15,0.676952
0.0,44,0.681351
0.0,14,0.6855
0.0,10,0.690151
0.0,24,0.708035
0.0,10,0.712255
0.0,13,0.714104
0.0,20,0.716143
0.0,21,0.716159
0.0,17,0.718508
0.0,39,0.730801
0.0,12,0.733126
0.0,12,0.741027
0.0,29,0.745382
0.0,11,0.745401
0.0,14,0.750602
0.0,7,0.763539
0.0,8,0.768507
0.0,20,0.770418
0.0,21,0.786638
0.0,30,0.793939
0.0,13,0.796694
0.0,13,0.799323
0.0,21,0.801435
0.0,9,0.807466
0.0,22,0.811415
0.0,7,0.811434
0.0,29,0.813275
0.0,10,0.821839
0.0,9,0.826493
0.0,11,0.834636
0.0,13,0.838749
0.0,14,0.85119
0.0,15,0.858835
0.0,10,0.86099
0.0,55,0.862956
0.0,13,0.862972
0.0,24,0.86475
0.0,6,0.874333
0.0,16,0.883406
0.0,14,0.888803
0.0,45,0.888823
0.0,55,0.912327
0.0,30,0.922579
0.0,29,0.922602
0.0,38,0.934883
0.0,9,0.94138
0.0,28,0.945031
0.0,18,0.948647
0.0,36,0.956409
0.0,12,0.95851
0.0,14,0.968673
0.0,49,0.972574
0.0,8,0.974601
0.0,50,0.988699
0.0,23,0.991088
0.0,29,1.006838
0.0,21,1.015507
0.0,24,1.020086
0.0,6,1.029112
0.0,27,1.044179
0.0,17,1.054534
0.0,66,1.054557
0.0,11,1.064913
0.0,20,1.069683
0.0,9,1.083893
0.0,46,1.100055
0.0,56,1.10474
0.0,67,1.104767
0.0,6,1.11326
0.0,79,1.117116
0.0,23,1.117135
0.0,32,1.121219
0.0,40,1.137495
0.0,31,1.148379
0.0,21,1.148408
0.0,7,1.164516
0.0,29,1.178229
0.0,33,1.182775
0.0,25,1.191499
0.0,37,1.195741
0.0,8,1.200149
0.0,38,1.202586
0.0,18,1.202603
0.0,15,1.211118
0.0,53,1.217381
0.0,12,1.221586
0.0,11,1.223498
0.0,9,1.229241
0.0,14,1.231236
0.0,8,1.2393
0.0,25,1.244186
0.0,23,1.250789
0.0,14,1.25969
0.0,9,1.259716
0.0,5,1.270521
0.0,10,1.273314
0.0,7,1.285298
0.0,33,1.287583
0.0,66,1.289534
0.0,28,1.291403
0.0,27,1.299947
0.0,10,1.319095
0.0,21,1.324585
0.0,19,1.326559
0.0,23,1.331838
0.0,27,1.337087
0.0,44,1.343951
0.0,10,1.34397
0.0,7,1.348881
0.0,22,1.35877
0.0,9,1.36634
0.0,74,1.36636
0.0,14,1.36978
0.0,29,1.376665
0.0,60,1.383224
0.0,18,1.389664
0.0,35,1.392934
0.0,10,1.392951
0.0,16,1.396728
0.0,33,1.401512
0.0,11,1.408458
0.0,30,1.418559
0.0,22,1.422062
0.0,14,1.42208
0.0,12,1.423917
0.0,12,1.430521
0.0,8,1.435125
0.0,43,1.43991
0.0,18,1.448339
0.0,33,1.449917
0.0,12,1.45495
0.0,23,1.462294
0.0,25,1.463841
0.0,22,1.467291
0.0,11,1.473898
0.0,5,1.475536
0.0,51,1.480225
0.0,15,1.487206
0.0,15,1.489326
0.0,24,1.492265
0.0,29,1.500122
0.0,10,1.511115
0.0,22,1.516941
0.0,7,1.525721
0.0,20,1.528407
0.0,14,1.528424
0.0,25,1.53066
0.0,10,1.538121
0.0,8,1.543221
0.0,7,1.55039
0.0,62,1.553975
0.0,19,1.560421
0.0,15,1.569074
0.0,26,1.574738
0.0,9,1.576539
0.0,27,1.57824
0.0,7,1.587655
0.0,9,1.589211
0.0,27,1.595458
0.0,6,1.597093
0.0,18,1.598853
0.0,62,1.602911
0.0,75,1.609263
0.0,13,1.611061
0.0,35,1.612688
0.0,6,1.620929
0.0,26,1.620947
0.0,7,1.620951
0.0,17,1.625938
0.0,17,1.627655
