#{"t_start": 1775210037.7118855, "env_id": "None"}
r,l,t
1.2028838,8,0.598873
10.516119,8,0.598913
71.42456,26,0.631969
3.4403222,33,0.645664
74.56763,27,0.649846
6.3284044,36,0.651872
11.280636,7,0.658998
1.6712195,48,0.673265
59.473995,52,0.681122
8.697294,15,0.686591
19.599304,24,0.694747
20.087757,7,0.701267
19.830822,55,0.703382
29.7613,15,0.710845
8.097067,31,0.71087
19.978312,12,0.71834
100.58876,72,0.720267
8.579007,26,0.72407
0.2126091,11,0.724092
27.750864,11,0.731875
2.6080084,18,0.735689
0.0,9,0.737573
14.170112,11,0.745014
9.792346,12,0.767964
8.58864,16,0.767992
16.208754,72,0.769982
8.142879,27,0.770003
48.422516,26,0.773726
35.901714,24,0.777412
33.844643,35,0.777433
4.874571,8,0.786929
9.967541,9,0.786954
37.082977,15,0.799343
27.07353,15,0.809245
1.595152,13,0.813182
17.564047,18,0.815135
7.364805,22,0.819339
5.3776026,7,0.828952
40.69627,29,0.82898
43.208134,22,0.831783
8.92986,16,0.831808
23.98639,10,0.839785
1.3484138,11,0.85151
14.70807,19,0.851536
37.883904,22,0.853976
5.7188735,12,0.8663
1.8610085,18,0.870071
0.7759383,10,0.874004
34.048027,22,0.877262
18.093359,69,0.877281
56.882458,23,0.88175
8.821878,7,0.881772
26.805481,13,0.883742
21.813938,9,0.895223
41.671673,18,0.927042
1.932244,21,0.932291
0.0,26,0.949136
26.60786,39,0.94917
45.327965,27,0.951571
6.3563256,21,0.953973
4.6331553,28,0.956313
2.2060745,13,0.956336
1.1662217,12,0.958673
5.280091,15,0.986373
6.289656,13,0.99228
0.22594264,51,1.000193
7.2998905,16,1.026726
8.517303,29,1.029669
5.733251,10,1.052141
1.9037192,25,1.058534
31.885859,50,1.069999
24.445303,10,1.084541
58.01087,25,1.087177
27.954521,59,1.098643
9.512499,13,1.105836
24.30674,12,1.117945
11.925245,26,1.117975
0.29944247,69,1.124732
1.6268687,56,1.129273
25.396576,15,1.140563
16.014856,11,1.142853
6.396688,28,1.153033
90.95517,83,1.159502
29.755102,27,1.161736
0.18524984,8,1.161758
27.089159,20,1.164711
17.960377,9,1.175663
15.042548,10,1.185426
8.742464,10,1.188092
33.883972,27,1.195605
13.705769,7,1.211938
8.724436,10,1.211974
10.88056,16,1.214299
4.0100775,41,1.223967
46.12903,36,1.229945
17.23488,8,1.232629
45.704685,31,1.242061
20.078903,9,1.257471
37.67556,18,1.266628
19.147472,12,1.281082
14.10285,36,1.283456
39.52363,27,1.289146
32.473682,22,1.296225
17.82962,54,1.31105
25.310738,16,1.314822
28.545996,11,1.317688
5.3197274,17,1.34017
0.0,10,1.340206
50.25457,40,1.345697
0.5524057,32,1.35715
3.1438107,6,1.360532
6.582569,7,1.363941
25.548578,20,1.377348
33.355442,34,1.382486
33.30958,15,1.387848
74.2683,25,1.387881
2.2639155,11,1.393027
38.528034,18,1.407215
10.985764,20,1.415164
29.310453,17,1.429785
31.768044,15,1.44205
20.839357,8,1.446936
3.0501316,29,1.470704
4.6223474,12,1.477996
47.88959,58,1.478033
63.735733,32,1.494043
1.129242,16,1.500031
4.7668276,11,1.505968
68.918526,39,1.515741
8.331546,15,1.521547
6.115204,9,1.529288
71.153366,29,1.531411
6.570927,12,1.531431
0.12810494,7,1.556988
30.514526,27,1.562653
13.319864,5,1.575926
1.8255953,17,1.58127
29.310162,27,1.581296
8.834127,53,1.586142
0.03297247,13,1.599167
20.873718,13,1.606859
39.912403,33,1.608814
52.83808,31,1.617898
33.62796,37,1.62694
9.3375435,8,1.632689
0.0,27,1.636392
86.226295,31,1.641586
32.57149,32,1.64349
13.308761,27,1.649359
7.807144,9,1.649388
1.3856314,24,1.65375
21.148102,19,1.665102
9.982004,9,1.674021
23.045021,17,1.680008
29.953318,15,1.68203
4.505151,8,1.691626
47.408665,19,1.691661
4.419661,27,1.694965
6.6971636,46,1.702709
37.473515,27,1.702739
43.01955,19,1.711227
0.106149055,14,1.718344
16.195885,13,1.725273
22.951843,13,1.736058
9.515127,12,1.741257
0.31128493,23,1.759236
0.17548648,8,1.759275
58.669773,33,1.761497
39.079678,21,1.768329
23.766045,19,1.771029
18.449144,16,1.773443
59.51873,38,1.785065
10.043605,15,1.794961
11.809104,9,1.80823
13.785863,16,1.813373
10.967198,24,1.818282
21.78051,10,1.820493
12.701387,25,1.82286
0.09652193,15,1.844104
9.970679,63,1.848917
45.90982,40,1.878024
6.271029,47,1.89543
0.14895579,28,1.897476
43.32428,21,1.908495
53.715355,37,1.911292
0.5604775,28,1.918639
27.550833,12,1.920425
23.26336,21,1.922158
15.934939,13,1.924227
5.3617244,9,1.925942
4.6663947,45,1.929292
0.15623473,12,1.932728
14.487415,10,1.936262
2.4656591,7,1.9417
41.304558,14,1.94511
31.197468,14,1.961851
59.477062,31,1.978438
30.05764,20,1.982591
12.417961,74,1.986295
5.525271,28,1.993173
33.90793,39,1.997034
2.7887957,10,1.997055
11.723458,27,2.011562
4.188566,18,2.019431
1.8522373,15,2.025011
6.1367908,8,2.039658
59.01293,60,2.043337
7.0626793,16,2.050862
52.907993,31,2.053567
11.977373,7,2.055929
153.78372,73,2.06228
54.503975,29,2.071824
22.066814,10,2.077091
1.3600932,40,2.079522
24.424397,13,2.092355
9.656807,8,2.094702
62.041,30,2.113619
1.8631206,64,2.116008
1.2010068,28,2.120419
36.325016,23,2.125379
55.62447,27,2.139675
17.946156,13,2.144247
54.72279,23,2.144274
13.97602,27,2.172295
38.456898,21,2.186621
12.381442,28,2.186654
30.371363,24,2.197637
2.151842,27,2.206095
4.8237953,9,2.208931
14.651942,9,2.208956
5.8682632,73,2.221338
4.1032233,55,2.223596
43.66025,20,2.223624
19.811771,11,2.239882
27.737103,51,2.242921
1.5855343,13,2.242945
1.7024868,10,2.251338
17.307062,11,2.269432
24.321255,13,2.273965
6.6231713,30,2.276381
5.05816,11,2.276404
39.680565,30,2.296757
8.374619,11,2.296791
8.314844,9,2.299337
67.40041,31,2.30166
34.840656,13,2.306064
74.7226,40,2.310176
3.6326141,6,2.313493
43.195396,34,2.322209
0.0,13,2.32723
0.48598027,24,2.336352
9.887719,9,2.345091
10.662129,15,2.347176
1.9904801,16,2.351388
5.3256125,20,2.353589
20.6631,25,2.355649
9.835792,13,2.365312
9.6435175,12,2.373664
14.457933,13,2.3786
61.03859,21,2.378626
0.54955375,17,2.391062
2.9038668,18,2.396088
14.312016,14,2.398505
34.273712,20,2.402765
23.300909,15,2.40773
0.03212021,58,2.441731
0.0,23,2.448189
57.52635,37,2.467262
13.888142,31,2.473432
39.217,16,2.481994
3.749101,35,2.48842
0.21142489,7,2.494335
33.85089,19,2.499762
11.808698,55,2.520745
4.49778,14,2.524287
44.189465,16,2.542066
19.66641,26,2.54561
15.387666,10,2.552412
6.74066,17,2.552446
20.43103,56,2.557539
9.327552,56,2.564147
0.0,7,2.564181
44.593296,27,2.570468
9.868296,7,2.587003
19.14785,13,2.593027
16.723555,15,2.599782
17.733612,24,2.599818
12.152335,17,2.599824
40.2651,15,2.610643
15.305984,15,2.615919
54.176434,22,2.625697
2.1059098,13,2.637192
0.106608175,16,2.645966
26.06132,11,2.64884
12.013214,23,2.654137
10.769709,19,2.664683
10.964071,24,2.667111
60.58021,29,2.676174
17.589853,18,2.676202
18.077946,16,2.690897
26.70679,19,2.702405
0.75317246,13,2.728879
13.934841,19,2.737888
6.024213,17,2.740053
7.396352,34,2.747105
9.5403,12,2.750369
11.480009,26,2.754489
0.51777804,31,2.756923
18.33101,9,2.781963
1.5497105,29,2.787231
13.106254,14,2.789533
32.916256,19,2.791769
15.191005,21,2.794795
2.1407197,22,2.808564
8.283989,9,2.812756
0.0,18,2.835668
1.6943003,15,2.835699
92.33768,39,2.842414
9.814729,32,2.847277
15.910322,12,2.84967
12.434389,5,2.8497
2.400657,20,2.855582
7.6527114,8,2.879505
7.0052795,17,2.896571
13.832223,17,2.906139
14.310106,10,2.935942
2.69919,14,2.939101
30.934278,32,2.947507
28.055746,42,2.965082
8.801999,12,2.97324
0.22606733,8,2.986445
106.44237,65,2.989244
12.074271,21,2.995221
50.89035,46,2.995254
8.537068,61,2.995263
7.244966,45,3.057957
1.2651439,12,3.098879
1.4911412,16,3.10276
50.22986,29,3.126877
6.007722,17,3.130907
9.5171175,12,3.138092
17.443264,26,3.138128
1.2279437,15,3.150675
44.388035,47,3.155382
4.938168,34,3.165264
12.0822315,10,3.165299
27.674955,10,3.165305
9.081597,41,3.183206
16.209812,12,3.194934
30.490688,18,3.199514
31.531796,34,3.215059
53.004295,37,3.224243
15.195506,14,3.226332
3.6761823,27,3.229027
34.600704,33,3.244318
21.899984,9,3.265223
3.7601895,16,3.265259
19.25217,23,3.270584
51.27137,44,3.285718
5.8720555,40,3.292445
77.91978,60,3.292477
2.932179,8,3.303359
64.72008,38,3.318988
17.46514,11,3.319029
0.0,13,3.324162
38.524178,28,3.331566
15.932954,7,3.338064
2.9170275,8,3.340441
12.923114,33,3.34984
13.080146,11,3.352032
0.96606624,12,3.360978
84.46358,58,3.363097
4.561959,27,3.369816
5.729887,15,3.372226
6.330735,10,3.374534
32.832,46,3.374559
2.304546,16,3.37709
3.5504715,7,3.379518
15.847685,15,3.384359
0.0,7,3.395199
5.8455005,11,3.395232
4.7049074,16,3.397376
36.503544,19,3.415794
39.613876,17,3.41583
29.916063,19,3.418099
8.089126,18,3.43799
8.451055,19,3.440893
70.308914,30,3.44562
4.4903116,20,3.445659
0.19158772,15,3.454844
15.980168,8,3.459551
3.5755894,11,3.472063
2.6054282,11,3.472093
4.832735,38,3.475444
61.257633,24,3.475467
39.161243,24,3.475472
17.038118,9,3.478543
3.6954288,7,3.489366
0.93003225,25,3.496923
11.3521185,10,3.496948
11.106412,15,3.505498
0.37314498,18,3.509093
28.890219,20,3.516353
3.8120391,6,3.516379
11.127691,15,3.524069
33.43024,15,3.537127
62.61064,29,3.543237
28.321053,11,3.544985
44.20168,28,3.548561
0.7280928,18,3.550426
101.744415,47,3.554055
29.038897,20,3.554074
17.144705,12,3.559129
27.280733,10,3.568084
18.0985,14,3.579185
21.944765,19,3.579214
0.017566819,8,3.582539
11.575635,58,3.58444
6.475597,23,3.58446
7.4530587,24,3.591381
17.094307,8,3.600332
2.5377533,9,3.602132
19.58174,15,3.607633
49.71484,30,3.616002
55.46672,34,3.617829
4.125089,15,3.621407
2.9390328,28,3.631974
0.9502628,16,3.632002
14.503869,9,3.633893
0.23710239,28,3.635721
10.636967,20,3.63823
7.8223815,13,3.644962
10.813539,9,3.648565
5.1308885,8,3.648588
31.884243,12,3.659122
4.1972475,10,3.663572
28.898214,12,3.671162
6.5517645,31,3.673011
9.589517,22,3.673031
5.6269035,8,3.674731
72.39384,40,3.682416
8.403823,13,3.696514
30.054136,18,3.696539
17.537916,14,3.696549
11.467637,7,3.708147
47.29849,41,3.709949
10.681128,22,3.711578
35.852276,25,3.719293
27.203852,14,3.721105
24.16873,42,3.724461
5.532613,16,3.724481
10.170888,10,3.729719
12.648625,12,3.741975
0.49556643,12,3.743927
11.241733,22,3.749416
4.5606685,40,3.755094
9.0988035,18,3.758565
13.542949,11,3.762068
0.40063465,21,3.763911
2.4757416,13,3.78219
57.264915,35,3.795467
23.85222,51,3.803987
17.681839,33,3.804014
0.8129399,8,3.818351
74.46071,30,3.818378
6.5574203,13,3.818383
34.696884,19,3.837824
2.7146263,13,3.842022
89.956314,48,3.842047
4.5628023,15,3.8459
45.795578,35,3.845923
5.712899,47,3.84765
1.103587,14,3.874673
40.786495,30,3.877194
4.6046896,15,3.879496
22.600613,11,3.901058
16.171898,87,3.914722
4.2559686,20,3.914749
84.744026,38,3.918308
54.290707,24,3.925199
0.65334886,10,3.934766
13.943491,8,3.950254
25.86162,15,3.954834
46.9925,58,3.960346
50.650345,25,3.965733
35.372974,34,3.969208
0.0,25,3.96923
4.3222995,11,3.973325
0.14343484,8,3.97501
37.438038,65,3.976762
0.98545516,8,3.980361
1.9176867,17,3.988238
6.2451777,10,3.988262
1.3131944,5,3.990077
112.3924,81,4.000181
7.979263,7,4.002554
28.181196,19,4.013597
30.949892,13,4.01598
4.287335,11,4.023435
3.3373299,7,4.029186
6.8186927,9,4.030833
1.5697638,29,4.034636
3.9645188,16,4.034658
3.8617883,9,4.04037
37.25727,37,4.043927
10.658535,38,4.049518
18.010017,11,4.051882
9.353514,17,4.076176
20.86736,13,4.076204
12.718315,21,4.078748
1.1266121,23,4.078772
64.45785,48,4.090115
40.457478,22,4.100396
33.413296,15,4.11136
10.619515,6,4.113754
23.252178,33,4.115917
7.2852936,21,4.125478
0.0,17,4.130068
35.079586,27,4.14061
14.621236,13,4.153916
12.899921,36,4.161054
2.2973664,59,4.166182
18.76244,26,4.171122
3.7615306,8,4.180422
0.6530367,10,4.189798
1.3777888,16,4.192189
20.630238,9,4.200598
43.288555,41,4.208213
47.54522,44,4.217588
2.2744572,7,4.224334
32.310154,11,4.227619
21.380726,16,4.227645
1.5461518,44,4.231796
34.049603,19,4.236223
63.389847,37,4.25649
7.710213,14,4.256524
77.650505,54,4.265342
23.515518,20,4.271696
9.248521,25,4.274145
0.48948124,8,4.274171
5.043375,29,4.292666
32.176727,12,4.299365
12.445677,32,4.308333
67.90694,31,4.325268
4.2736864,13,4.336537
22.681656,17,4.336567
10.956304,9,4.345289
8.363742,35,4.352436
5.113321,42,4.35761
0.0,10,4.357637
23.66531,62,4.36627
16.773085,44,4.368152
21.472635,9,4.368174
59.001087,39,4.373221
0.081417,9,4.383116
7.2361455,10,4.386904
16.871244,26,4.386926
0.9348145,16,4.3976
4.5018077,9,4.399576
39.525856,24,4.401245
19.642208,12,4.408601
45.51542,28,4.408625
3.690565,7,4.413888
8.607131,14,4.422365
11.41666,8,4.42239
77.147095,28,4.424176
9.856019,19,4.433635
36.256245,18,4.446103
0.40815863,16,4.45282
21.05021,10,4.452845
0.24599741,17,4.455036
17.37176,18,4.459414
53.916504,28,4.461666
98.665985,44,4.471522
46.905987,18,4.487739
4.847178,11,4.487777
1.1322658,19,4.498456
7.1167583,81,4.505153
2.8926985,9,4.507229
29.731855,22,4.509273
5.819598,17,4.509293
9.8118925,7,4.513639
28.549658,13,4.516177
3.5419474,29,4.51898
26.052465,12,4.536899
4.319248,12,4.546007
0.07193684,23,4.56148
48.701286,23,4.564007
0.55990064,29,4.573756
1.3435086,21,4.587842
12.606458,15,4.60886
4.9892125,44,4.618567
10.4502325,18,4.629748
18.492403,48,4.629783
41.144753,30,4.634254
17.582079,12,4.636511
43.661,81,4.641712
4.91677,11,4.643983
0.99576205,11,4.656168
0.91987586,42,4.660623
21.555603,13,4.668372
11.592632,7,4.685932
8.11617,17,4.685973
4.628942,14,4.690567
72.53926,64,4.699655
31.149206,30,4.705316
13.498978,9,4.705339
5.3337994,10,4.707712
4.765752,9,4.710458
8.256678,37,4.715953
8.606493,12,4.730156
9.082576,11,4.731986
43.268368,35,4.739014
0.44068983,19,4.739039
11.210971,19,4.745063
10.289832,53,4.761887
12.291124,12,4.765654
21.852846,25,4.768998
12.855813,7,4.775096
0.0,21,4.782453
0.77637076,24,4.792693
19.018782,30,4.792718
16.721148,13,4.792723
54.071438,45,4.797802
2.4634843,19,4.799809
7.4286,17,4.804993
6.5051713,9,4.808486
4.132967,12,4.819301
13.042154,11,4.824569
2.4094198,11,4.828202
25.943167,26,4.828223
8.790983,21,4.83008
37.510185,25,4.836923
11.336119,7,4.836946
1.2051462,10,4.885248
33.982872,15,4.885279
7.811352,12,4.957433
4.4412613,13,5.029508
100.33271,66,5.065364
17.463757,32,5.076912
16.85225,6,5.082063
1.7116652,14,5.095662
4.9395447,9,5.097941
14.189417,12,5.102919
19.967375,12,5.129511
7.2793474,35,5.132433
31.929745,22,5.132454
47.319935,23,5.144927
27.674328,37,5.144954
29.486595,43,5.146935
8.680264,24,5.148778
1.7166249,4,5.154492
16.291338,12,5.154514
0.79395306,8,5.161809
27.804657,16,5.161833
18.890839,15,5.161838
32.783756,11,5.172684
14.163177,47,5.17483
2.2335625,16,5.178668
12.052267,13,5.182281
13.729597,5,5.184186
29.353224,14,5.184207
9.326867,13,5.187651
0.073597595,9,5.194727
29.39606,11,5.204525
5.449388,10,5.206689
19.26072,18,5.216792
13.544964,32,5.224249
14.7170105,6,5.228149
20.712814,16,5.234955
1.4799283,34,5.23664
30.37309,36,5.249941
6.776733,34,5.258099
21.014544,19,5.258123
37.0771,18,5.268046
9.349868,21,5.274864
1.0978945,41,5.281933
20.668486,12,5.296705
75.34946,31,5.314504
19.480202,41,5.325444
10.401351,20,5.332411
1.8593287,43,5.335956
0.7602204,39,5.337616
18.277884,14,5.339349
0.0,8,5.346228
14.416485,66,5.346251
12.861033,6,5.348092
67.07487,39,5.35164
2.1252537,16,5.365342
0.0,14,5.365369
3.624214,22,5.365373
130.81075,111,5.36716
3.6697292,9,5.38309
4.2331853,27,5.395158
9.031313,26,5.39915
0.0,29,5.400916
8.266079,8,5.412285
18.227453,28,5.414036
58.77476,29,5.416037
13.948602,12,5.416057
56.814465,31,5.419791
2.6333826,9,5.432474
12.437153,12,5.435947
37.395023,37,5.448634
6.7566934,9,5.448662
12.964218,17,5.450428
26.182217,19,5.480425
54.93344,70,5.482418
15.10322,41,5.484204
15.367147,14,5.484224
1.6556287,5,5.493037
75.91687,38,5.495096
0.2527817,8,5.495116
3.4636126,10,5.511225
14.873284,17,5.513404
11.394039,18,5.516754
69.28158,34,5.52037
0.0,14,5.520391
15.670815,17,5.525476
1.5750762,9,5.527479
6.6946964,10,5.530985
6.963405,15,5.556365
22.633648,12,5.556397
42.664185,20,5.563836
8.840681,55,5.57212
32.419228,16,5.572146
11.8629055,76,5.572151
2.647573,14,5.589948
12.72887,15,5.598656
37.45181,34,5.601327
6.857547,7,5.604075
47.060474,18,5.606751
0.4313415,25,5.60678
9.179314,21,5.613413
0.0,10,5.624754
25.395672,8,5.624787
27.432806,17,5.642573
8.863334,17,5.650889
17.192394,13,5.653235
9.956156,14,5.655239
4.663914,6,5.655262
12.986089,64,5.659634
32.216015,28,5.662062
3.8203146,27,5.66724
15.066945,8,5.685605
90.41689,62,5.689826
2.0649178,15,5.694495
18.260267,21,5.699636
7.334826,21,5.703704
15.415575,13,5.715157
22.860361,26,5.715194
1.541014,25,5.720172
35.79327,19,5.737807
0.22039941,12,5.742584
7.4418073,19,5.742617
5.484183,18,5.775636
69.39613,32,5.777451
37.696167,29,5.78266
24.384604,53,5.786386
11.653998,20,5.79367
12.0048,14,5.802383
2.4920356,16,5.804266
15.711425,12,5.804286
24.273706,25,5.806177
15.44317,11,5.81368
6.0558205,12,5.82597
0.0857903,25,5.831309
1.1604943,16,5.834834
112.913536,54,5.836828
9.982937,12,5.851825
35.502228,23,5.853775
23.778185,34,5.86223
13.5815115,8,5.867849
0.47245994,20,5.870432
29.847486,39,5.874409
14.581062,8,5.877837
33.472393,71,5.888077
40.9039,29,5.888105
27.47552,15,5.894685
10.374249,41,5.898759
12.875905,21,5.914431
6.1011686,9,5.91446
11.020725,16,5.916621
28.11049,26,5.916641
8.093496,38,5.920081
24.190472,21,5.932254
3.7273161,13,5.937509
39.12273,37,5.939319
22.316973,15,5.941164
32.99274,14,5.941181
6.6940026,8,5.946199
1.3897706,4,5.948096
3.116589,19,5.94994
20.056585,8,5.954813
