#{"t_start": 1775240036.3834953, "env_id": "None"}
r,l,t
0.0,22,4.075772
0.0,8,4.08911
0.0,24,4.104213
0.0,26,4.137553
0.0,9,4.163491
0.0,83,4.170735
0.0,27,4.180403
0.0,6,4.189072
0.0,69,4.215524
0.0,9,4.232965
0.0,30,4.293005
0.0,38,4.39639
0.0,29,4.427219
0.0,23,4.427251
0.0,36,4.444657
0.0,55,4.543286
0.0,43,4.551415
0.0,20,4.571023
0.0,29,4.588811
0.0,56,4.619142
0.0,46,4.631233
0.0,8,4.631267
0.0,26,4.650127
0.0,17,4.687862
0.0,17,4.732348
0.0,12,4.739074
0.0,46,4.790475
0.0,20,4.79051
0.0,12,4.796463
0.0,8,4.796506
0.0,17,4.800666
0.0,8,4.800695
0.0,33,4.812619
0.0,22,4.81267
0.0,4,4.844852
0.0,10,4.890482
0.0,11,4.890558
0.0,14,4.931044
0.0,8,4.931106
0.0,15,4.958389
0.0,20,4.96946
0.0,12,5.032447
0.0,9,5.032493
0.0,19,5.056053
0.0,14,5.091375
0.0,35,5.101806
0.0,21,5.121715
0.0,25,5.121778
0.0,40,5.158669
0.0,14,5.16663
0.0,10,5.190176
0.0,16,5.190281
0.0,8,5.204579
0.0,15,5.247317
0.0,12,5.252218
0.0,25,5.263476
0.0,15,5.2737
0.0,15,5.276686
0.0,9,5.281836
0.0,21,5.296753
0.0,11,5.343377
0.0,13,5.353825
0.0,11,5.357359
0.0,39,5.357392
0.0,31,5.361409
0.0,26,5.387537
0.0,12,5.448178
0.0,31,5.456669
0.0,14,5.502143
0.0,22,5.516618
0.0,26,5.549906
0.0,35,5.581575
0.0,19,5.581613
0.0,35,5.607108
0.0,18,5.613904
0.0,16,5.651638
0.0,11,5.668483
0.0,29,5.680176
0.0,63,5.680197
0.0,13,5.680202
0.0,24,5.699821
0.0,17,5.745682
0.0,28,5.775777
0.0,21,5.777917
0.0,25,5.803729
0.0,6,5.814471
0.0,22,5.814545
0.0,11,5.85086
0.0,50,5.85092
0.0,8,5.879153
0.0,36,5.883652
0.0,24,5.892476
0.0,16,5.90641
0.0,7,5.915122
0.0,14,5.924328
0.0,10,5.92436
0.0,5,5.947582
0.0,6,5.952177
0.0,22,5.962333
0.0,30,5.978987
0.0,16,5.986184
0.0,13,6.020655
0.0,9,6.031393
0.0,32,6.040704
0.0,29,6.040745
0.0,24,6.061882
0.0,11,6.077273
0.0,27,6.083579
0.0,11,6.099479
0.0,14,6.103789
0.0,14,6.111387
0.0,9,6.122805
0.0,130,6.155665
0.0,20,6.19848
0.0,46,6.20379
0.0,12,6.215045
0.0,25,6.233266
0.0,7,6.233307
0.0,33,6.25023
0.0,28,6.271915
0.0,39,6.32703
0.0,20,6.367851
0.0,54,6.395592
0.0,25,6.395667
0.0,18,6.407107
0.0,10,6.416427
0.0,7,6.432898
0.0,22,6.467342
0.0,13,6.503282
0.0,16,6.52047
0.0,8,6.552897
0.0,14,6.557244
0.0,21,6.562587
0.0,42,6.562622
0.0,24,6.573105
0.0,6,6.589452
0.0,50,6.602567
0.0,35,6.642444
0.0,17,6.6466
0.0,17,6.68173
0.0,35,6.700723
0.0,13,6.70976
0.0,32,6.709813
0.0,15,6.716138
0.0,32,6.720901
0.0,8,6.761662
0.0,11,6.764313
0.0,13,6.764334
0.0,12,6.767016
0.0,23,6.782782
0.0,11,6.795755
0.0,11,6.804574
0.0,50,6.814206
0.0,59,6.845568
0.0,15,6.880679
0.0,26,6.89098
0.0,38,6.912209
0.0,31,6.938735
0.0,19,6.938812
0.0,9,6.963853
0.0,15,6.9731
0.0,6,6.986893
0.0,32,6.999411
0.0,21,7.05011
0.0,39,7.070858
0.0,26,7.088751
0.0,11,7.10964
0.0,24,7.11737
0.0,36,7.127691
0.0,25,7.146355
0.0,14,7.17639
0.0,10,7.203411
0.0,14,7.26281
0.0,19,7.286779
0.0,21,7.292704
0.0,14,7.306739
0.0,28,7.312503
0.0,20,7.322434
0.0,12,7.348191
0.0,59,7.353277
0.0,7,7.35332
0.0,12,7.367722
0.0,17,7.395308
0.0,23,7.410866
0.0,8,7.420413
0.0,16,7.485107
0.0,13,7.506393
0.0,15,7.506433
0.0,19,7.511355
0.0,32,7.571497
0.0,94,7.590417
0.0,6,7.605354
0.0,18,7.622997
0.0,49,7.632677
0.0,8,7.648754
0.0,27,7.685582
0.0,12,7.718906
0.0,13,7.732877
0.0,46,7.739875
0.0,12,7.773478
0.0,25,7.800725
0.0,22,7.812457
0.0,17,7.840479
0.0,18,7.870621
0.0,64,7.951314
0.0,15,7.983724
0.0,64,7.991153
0.0,24,8.001972
0.0,30,8.030896
0.0,26,8.099881
0.0,34,8.104476
0.0,45,8.108664
0.0,16,8.11252
0.0,17,8.112553
0.0,11,8.112562
0.0,14,8.112569
0.0,25,8.132279
0.0,11,8.175454
0.0,10,8.203591
0.0,18,8.228228
0.0,9,8.245608
0.0,8,8.280124
0.0,30,8.342136
0.0,35,8.364438
0.0,39,8.379496
0.0,42,8.402405
0.0,17,8.402448
0.0,21,8.409204
0.0,12,8.482919
0.0,20,8.487243
0.0,18,8.48726
0.0,39,8.498075
0.0,13,8.534662
0.0,42,8.568209
0.0,19,8.576399
0.0,35,8.593001
0.0,8,8.638657
0.0,82,8.643867
0.0,26,8.649806
0.0,8,8.64984
0.0,43,8.649849
0.0,21,8.678702
0.0,18,8.68739
0.0,8,8.690747
0.0,10,8.69933
0.0,13,8.706258
0.0,13,8.70879
0.0,46,8.714573
0.0,12,8.720141
0.0,12,8.721708
0.0,9,8.723457
0.0,20,8.729255
0.0,9,8.729268
0.0,34,8.739297
0.0,21,8.767931
0.0,11,8.776843
0.0,24,8.814167
0.0,39,8.814243
0.0,29,8.867063
0.0,15,8.877984
0.0,37,8.878048
0.0,17,8.899547
0.0,47,8.899585
0.0,43,8.920924
0.0,19,8.953577
0.0,10,8.97086
0.0,17,8.998818
0.0,25,9.008514
0.0,10,9.008631
0.0,21,9.018672
0.0,21,9.039589
0.0,11,9.058273
0.0,11,9.110222
0.0,15,9.122521
0.0,19,9.122554
0.0,17,9.128583
0.0,15,9.132221
0.0,34,9.141806
0.0,9,9.146079
0.0,22,9.146111
0.0,12,9.192908
0.0,25,9.275626
0.0,26,9.275653
0.0,19,9.275663
0.0,32,9.317153
0.0,39,9.340878
0.0,41,9.345376
0.0,15,9.369276
0.0,10,9.418394
0.0,53,9.429374
0.0,64,9.443057
0.0,10,9.527416
0.0,23,9.554732
0.0,20,9.554813
0.0,36,9.565555
0.0,16,9.575885
0.0,5,9.575994
0.0,8,9.625167
0.0,9,9.632994
0.0,11,9.654681
0.0,49,9.671623
0.0,13,9.728232
0.0,12,9.728306
0.0,11,9.755746
0.0,5,9.760217
0.0,15,9.763861
0.0,63,9.780517
0.0,13,9.791169
0.0,38,9.796601
0.0,17,9.816265
0.0,56,9.84166
0.0,47,9.886654
0.0,14,9.923236
0.0,12,9.934577
0.0,9,9.971101
0.0,14,9.971135
0.0,18,9.971144
0.0,31,10.014404
0.0,12,10.03672
0.0,16,10.058396
0.0,24,10.118331
0.0,13,10.157117
0.0,62,10.175717
0.0,25,10.189062
0.0,74,10.221754
0.0,47,10.266651
0.0,18,10.266712
0.0,48,10.281112
0.0,11,10.365087
0.0,29,10.405765
0.0,29,10.425327
0.0,52,10.452572
0.0,23,10.459838
0.0,32,10.488483
0.0,5,10.497579
0.0,12,10.515687
0.0,9,10.524679
0.0,31,10.541385
0.0,21,10.578058
0.0,7,10.57811
0.0,48,10.590547
0.0,13,10.597455
0.0,31,10.623142
0.0,16,10.673048
0.0,10,10.673131
0.0,10,10.691165
0.0,23,10.704624
0.0,13,10.71746
0.0,14,10.740653
0.0,20,10.748003
0.0,15,10.794255
0.0,6,10.809453
0.0,9,10.829523
0.0,17,10.838233
0.0,19,10.868726
0.0,23,10.868805
0.0,18,10.882131
0.0,11,10.89873
0.0,41,10.906764
0.0,12,10.9296
0.0,22,11.003907
0.0,15,11.003967
0.0,18,11.031048
0.0,17,11.031152
0.0,11,11.031195
0.0,12,11.120407
0.0,12,11.150501
0.0,20,11.185927
0.0,18,11.193621
0.0,26,11.329982
0.0,24,11.363221
0.0,66,11.377275
0.0,34,11.388885
0.0,63,11.399586
0.0,9,11.449565
0.0,14,11.449628
0.0,23,11.469835
0.0,74,11.489495
0.0,42,11.489572
0.0,7,11.510354
0.0,12,11.544546
0.0,19,11.588355
0.0,24,11.60501
0.0,28,11.627135
0.0,16,11.645225
0.0,54,11.655585
0.0,11,11.672796
0.0,52,11.739602
0.0,12,11.739712
0.0,65,11.766345
0.0,32,11.788401
0.0,8,11.798839
0.0,29,11.845169
0.0,8,11.865364
0.0,27,11.880064
0.0,132,11.920329
0.0,65,11.920352
0.0,21,11.975653
0.0,27,11.975747
0.0,25,11.987289
0.0,16,12.00013
0.0,12,12.029871
0.0,15,12.055232
0.0,21,12.070138
0.0,11,12.082241
0.0,30,12.146543
0.0,19,12.14662
0.0,21,12.168487
0.0,7,12.236235
0.0,24,12.261908
0.0,13,12.269185
0.0,19,12.279423
0.0,23,12.30336
0.0,10,12.333099
0.0,29,12.341944
0.0,10,12.415694
0.0,13,12.455163
0.0,19,12.455248
0.0,57,12.514284
0.0,9,12.538862
0.0,31,12.563324
0.0,16,12.570805
0.0,34,12.577741
0.0,17,12.615837
0.0,10,12.660653
0.0,12,12.692308
0.0,43,12.697702
0.0,11,12.714578
0.0,6,12.732096
