step,r_linvel,r_yaw,r_gait,r_posture,r_body_height,r_stillness,r_jump_phase,r_orientation,r_torque,r_smooth,r_joint_limit,r_lin_vel_z,r_dof_vel,survival_mult,r_total
10020,0.4931590453085964,0.13389657681758982,0.9141136571652725,1.0335454528208174,-0.8550417880658295,0.03943580882246123,0.10531060412814242,-0.2876268557218814,-0.04109832090176643,-0.036754899470332614,-0.000979389429648698,-0.11065663484520531,-0.17338814358016302,1.2250307967891403,1.4441509101202206
20040,0.563117696610176,0.12023204142842765,0.8420618466677846,1.0059605984429874,-0.8825318059706193,0.03822240244232953,0.13515649940635485,-0.30643719491490323,-0.04104006725978568,-0.038058741461078315,-0.0010086207089307839,-0.1060029607966026,-0.1733184133778347,1.2302714654530194,1.3852040310289109
30060,0.6020963775599792,0.13345862684695145,0.8910179864136512,0.9519887916915224,-0.8741375025732169,0.03551017246982026,0.16301052465777574,-0.2834175894235704,-0.04107349614212552,-0.038800910110394174,-0.0009693951473717325,-0.1048771682508832,-0.1732416962840834,1.2325820654989696,1.5260351679332373
40080,0.5742228489870355,0.13543779874438444,0.9386569020152445,1.032539761505747,-0.8282266906589113,0.03327797294085077,0.17052867174767672,-0.3051889371150101,-0.04113314520213301,-0.03939927102239928,-0.0010189342489419682,-0.09950826014695181,-0.1740109909128353,1.2293729599190117,1.682137072000061
50100,0.5522124137863791,0.12832322522858075,0.9155307500610868,1.0421015695510023,-0.8408867987738551,0.03294804479905931,0.15870298722503706,-0.30301554946451137,-0.04108953293551076,-0.03903121465516091,-0.0008663951568697407,-0.09545363189731748,-0.1739941837622062,1.2276578290897089,1.6088525355553864
60120,0.558843561920651,0.11973845928671331,0.8172520199765209,0.9604343985858573,-0.8726132379049767,0.033508494196286626,0.18170560254059892,-0.3034415268350043,-0.04103689021571175,-0.0381010394166708,-0.0009610439867707679,-0.09206334699399912,-0.1737669532540839,1.2297527053958035,1.382632398988228
70140,0.5564136606088187,0.12720267066260846,0.8500086800120775,0.9963703881200493,-0.8564858982458775,0.03679719394919378,0.14571129809825464,-0.30401359469138645,-0.04109700935144743,-0.03812350658500195,-0.0009288934461800739,-0.10102719883425297,-0.17407889874117222,1.2298385038885864,1.4361876785468533
80160,0.5352129447950374,0.12873262946215966,0.8556297296933847,0.9593085431781663,-0.8477855515493039,0.0376983114278446,0.14834625727944348,-0.28838766978286257,-0.04102986477660184,-0.03825773491982619,-0.0008986965596647216,-0.10232235323825783,-0.17288267417624723,1.2302548610821586,1.408110925305715
90180,0.5532222583213221,0.12312044837676042,0.8455216113601933,1.0007399687569452,-0.83779884603227,0.03654403974230703,0.1789167094429823,-0.278605008636894,-0.041114431392503904,-0.03898774622782071,-0.001071744201847345,-0.09331317354733151,-0.17295255654739944,1.2334258684441255,1.54463443867395
100200,0.5255552332725918,0.12541422028329147,0.8689110862983331,0.9322646857642526,-0.845765514326738,0.031089794790271907,0.21105164363449785,-0.2845200793475498,-0.041069897441006226,-0.038607415161291764,-0.0010407089136927551,-0.0865429582596249,-0.17286880356329887,1.2340660969553896,1.4892296181520546
110220,0.5266370342394372,0.13033879822912126,0.8865672888464722,0.8775413303840298,-0.9140641813840252,0.030801427389628263,0.1672457653122055,-0.30123031910317666,-0.04108608033248361,-0.0384035031119188,-0.000992959114723681,-0.09597421496336629,-0.17352605487691022,1.2294491757391703,1.2672323748086403
120240,0.6104134126758926,0.13980815077920522,0.9797006174351981,0.9326147730943881,-0.8892200447088584,0.032268290382521464,0.13774262927477154,-0.2878426033934935,-0.0410730417585964,-0.03843317363397282,-0.0009126109995517861,-0.09641898573439095,-0.17350416645712757,1.228022422071616,1.5704784952300697
130260,0.6273705830817395,0.1247113034137917,0.8448098551411459,0.9269393230247736,-0.9726758808753888,0.03678655382203567,0.1496285783485648,-0.2766916451934047,-0.04112886221392227,-0.03935559842475256,-0.0010446277175700852,-0.09479261709648229,-0.17358704908610217,1.230680495761003,1.3306777209847331
140280,0.5551472439266628,0.12098443885834499,0.7534102667541224,0.9744551625329081,-0.9710560429238423,0.03991455188612158,0.15597642615847793,-0.2852081510810687,-0.04113667134670864,-0.038868865854303,-0.0009706656947343627,-0.08963113548781042,-0.17323183263408443,1.230979914526148,1.1954527089263403
150300,0.5623011578808463,0.12085880890959003,0.8045028732316699,0.9360995532953816,-0.9546718299705722,0.03696329153233322,0.13988219667349258,-0.29990756378289346,-0.041282471973863664,-0.03853867837397257,-0.00093988063801168,-0.09952258152645714,-0.1743073750276546,1.2282826592461542,1.1860491406544285
160320,0.548302779859989,0.11890008558605372,0.7743650681126057,1.0112666993526636,-0.9541376627474996,0.04160768426213185,0.16115769216114217,-0.29428604308249295,-0.04123468081437599,-0.03867732640639941,-0.0010031733792090322,-0.10378772755895993,-0.17399284523880243,1.2301566654110272,1.2562665129356776
170340,0.5656981868344395,0.11909172011772556,0.8343377792314298,0.9403432575368248,-0.9310179179895425,0.039162109702384255,0.13296526716600063,-0.29600630497213226,-0.041309748316742265,-0.03812068152006463,-0.0010004021276425502,-0.1037033821635301,-0.1740807041020806,1.2312340529774557,1.2571350883625165
180360,0.6052711291043906,0.12363531224274976,0.8022079625019809,0.9481954328650768,-0.9579225234124313,0.03927764330220675,0.16284978141923787,-0.27988217680520616,-0.04110942801927,-0.03895958379054071,-0.0008922784264994238,-0.0919255975366808,-0.17280959745273788,1.2335761761324266,1.3208508288716205
190380,0.5910465596300218,0.12260200335311865,0.7670853818532719,0.9928755103806962,-0.9567642007471556,0.03930538915076837,0.1678361806182797,-0.28328461847408853,-0.04114686360388435,-0.0395278089896441,-0.0009317019993672932,-0.09261455603089001,-0.17307262892398342,1.2346434574523728,1.3218286607992804
200400,0.554477147711825,0.12331065778322074,0.8326863589969601,1.0149203452383926,-0.9287666267027286,0.03907537232843444,0.13568424812216562,-0.29349197670343885,-0.041243147024961443,-0.03937439870933692,-0.0010094703961575295,-0.10004892304419499,-0.17371196196389893,1.230220210104318,1.3440919044499515
210420,0.55187647183616,0.12343356257166758,0.7654121004364295,0.9437411909621384,-0.9696894548411713,0.04091950760379452,0.15372332127912608,-0.2911810817010001,-0.041241478547534,-0.038506657578349125,-0.000947468140056541,-0.0973980205726894,-0.1742643863875549,1.232775825635657,1.1566530774757169
220440,0.6001482143115946,0.12308903784903076,0.7951315134629169,1.0217825507409537,-0.9130595476216667,0.04136095619089543,0.15435654090285603,-0.28420337744490193,-0.04123144708908593,-0.03925989758384226,-0.0009617605818855476,-0.09526470123935019,-0.17353746257878483,1.2337381358611055,1.4409203904313803
230460,0.6065785245357441,0.1283867275169022,0.8591907375550237,1.016654332954637,-0.9480105912210974,0.04071280468872925,0.11983460452479885,-0.2947018306209916,-0.04110441147537367,-0.03922742002936203,-0.0008613172039151293,-0.10292523734867258,-0.1729964879553534,1.23051349180416,1.4073269354471474
240480,0.5827432411888596,0.12417402378018991,0.8139928604398287,1.047551486676309,-0.8712894053234609,0.04092861553858971,0.15806663289929163,-0.2922057208188328,-0.041141974000188326,-0.039152209353049576,-0.0010202485367615212,-0.09887083355864103,-0.172239908423177,1.232395609915096,1.5110108872020258
250500,0.6288110723358111,0.12860363474117645,0.8718351920343321,1.0081137909589053,-0.9081422333420798,0.039175202220588956,0.14740901359926736,-0.29246423871788135,-0.041115646804806914,-0.03912159018079444,-0.0009548652730618825,-0.0960917453651525,-0.17266123966777805,1.2319834350342926,1.5275236894948498
260520,0.6578361016674285,0.12930461171356175,0.9314637477326212,0.9473933644798491,-0.888767991336062,0.03633291395694546,0.12507472924695695,-0.27608484320741905,-0.04120525789484005,-0.038495854044397655,-0.000978377993201334,-0.10215709640404845,-0.17256293783508117,1.233838441459797,1.5812692036219356
270540,0.5789191580309635,0.13315816161180027,1.009747621097312,1.0038846065178193,-0.783226932515629,0.035011560240848054,0.12915601431426427,-0.289171807035167,-0.041280494656522386,-0.03866972265160088,-0.0009573927556385454,-0.10030722230827928,-0.17242000126573634,1.2330050897379703,1.7792151956256668
280560,0.5674882751902978,0.12675420301802467,0.9800549562471377,1.0336389439952531,-0.8284465099518584,0.0350126785356492,0.1379987231494843,-0.28646774855021834,-0.04134042308756237,-0.03901248323448497,-0.0009474154155606401,-0.10265051213020872,-0.17314189361007423,1.2372635934264844,1.7079208185887362
290580,0.5653600947832234,0.12772066519230266,0.9695926907706147,1.001084311139884,-0.8173391671923496,0.034756826172012374,0.13625647916771327,-0.2912885947138763,-0.0415102096092121,-0.03941389294906451,-0.0010288634072607536,-0.09844137480473027,-0.1731140080152372,1.2324931014573621,1.6563047724993603
300600,0.5383037842591452,0.12529894412480927,0.8678240327897422,0.9707008933300656,-0.8762304433711308,0.03394591828794699,0.16951459686202505,-0.2938749974762059,-0.04137661897806135,-0.039112413271586106,-0.0010286065098094703,-0.0945330651588471,-0.17272333428966521,1.2299428649451687,1.434386313195304
310620,0.5567949530045466,0.12374818594494635,0.8880623353084096,0.9618945317640805,-0.8178151342334175,0.03513818170947915,0.17269253130572843,-0.27304833900373715,-0.04127312675504072,-0.03854004680526258,-0.0010262505003289057,-0.0935914828522184,-0.1721249441051066,1.2321973600334486,1.5732998071664857
320640,0.5481873290802894,0.13130143115981144,0.939719515775423,1.1083525985530247,-0.7916086435483165,0.04116373908344978,0.12319243341715784,-0.2926919096593029,-0.04119703153397234,-0.038415031996925655,-0.001101715876987418,-0.09843194669075399,-0.1729722580426825,1.229298693200156,1.7503656051170349
330660,0.5715054518428765,0.12363287343085368,0.8712034142778399,1.1503791657175748,-0.8376788403363706,0.04318694539064034,0.11584316434349347,-0.28229687046872926,-0.041210917297241134,-0.03905315963224573,-0.0010116142272195454,-0.10004734159793362,-0.17319083594731227,1.2307655624271912,1.685656624235388
340680,0.5274549058319657,0.13429992196149299,0.9107952516854211,0.9227459112628239,-0.8857435894910772,0.03805405905540037,0.12394393274746394,-0.2733172298379713,-0.04123215990197491,-0.03833287671307721,-0.0009163449898004189,-0.10059280152387999,-0.17308347938185625,1.234557854855341,1.3856760983708563
350700,0.5027211787065468,0.13442159275352725,0.9506659845387869,0.9870575833261805,-0.8158916848520543,0.03728130999414814,0.12749809413035013,-0.28943097308315413,-0.041291575002218577,-0.037970270536502204,-0.0011615553259969559,-0.10134079781092134,-0.1732812115168665,1.232300370734069,1.5470249699844911
360720,0.5713832770193091,0.1297858928682072,0.9135364853318317,1.1168483779975025,-0.8340602295402584,0.03902605044215407,0.12094892852300437,-0.2932428318832886,-0.041285201371348564,-0.0391589921718836,-0.0011466173201005842,-0.10412532722412686,-0.1733311475728269,1.230448716880597,1.6930432915513847
370740,0.5673652143934038,0.12798609826818075,0.8839510207610926,1.1193201492187115,-0.869662890142335,0.03828026439665325,0.15526956051676424,-0.29972116612141086,-0.041308883800735004,-0.039582426733891195,-0.0010026950007407743,-0.10459083765130223,-0.17408607117648553,1.2295256421622378,1.635894677913957
380760,0.5607169864872171,0.1318602406608015,0.9480808797742758,0.915576057841468,-0.8607459439735619,0.03211779701418071,0.1722255907090934,-0.29503369412420655,-0.041385491441455965,-0.03887319716413812,-0.0009257226404274844,-0.10029675485143921,-0.17344032418093352,1.232193684708561,1.509970263074182
390780,0.5685379400576129,0.14024775986712562,1.0233263456796207,0.9444605146472663,-0.7921416405328745,0.03167412276258419,0.1478828637192905,-0.3034203152374229,-0.04146060372510504,-0.03888797698005041,-0.0008921007464032708,-0.10385902278873187,-0.1739471442551605,1.2313506252664392,1.69466030174748
400800,0.618570947122037,0.12627091398525023,0.918973911207297,1.059742702133721,-0.7624761027301561,0.03663710168572355,0.16257832053705495,-0.2814384921579776,-0.041360718674457356,-0.03912326673539479,-0.0008922995386475536,-0.09179311305701406,-0.17198497985037997,1.2383503496475095,1.8829888400467496
410820,0.6341577811557024,0.1109597724108945,0.7782310769000048,1.110241854678755,-0.8575711186163284,0.04388751613651229,0.171740419075198,-0.27660325297199745,-0.04123806961076939,-0.039695800240914035,-0.0009500306488392579,-0.09174845356656149,-0.17164251720967058,1.237741353949922,1.6656829611297992
420840,0.6337957992105051,0.116730561270784,0.8255813868718858,1.1132058228769584,-0.8647091586246598,0.04487949557427719,0.158436777306713,-0.2866435737408344,-0.04125563557943484,-0.04018106866383552,-0.0009169904493710688,-0.09808545005188496,-0.1718509133504008,1.2336411043248852,1.6727419642774406
430860,0.5856523458644739,0.13210300807998177,0.9670328995702053,0.9891080391872309,-0.7761493236330161,0.03517220968928291,0.159969145888056,-0.27058953648607464,-0.0413357878187438,-0.03925406434889636,-0.000886993940957434,-0.09642516383312197,-0.17147196318680963,1.2349540783817394,1.785803768029219
440880,0.5413829513594236,0.13436054888031537,0.9871403366112281,0.92282249725175,-0.8033622107994974,0.030600533172015075,0.18592458182802313,-0.2688570066594108,-0.04138891193808415,-0.03946140372550487,-0.0009223581125331531,-0.09466362041174714,-0.17234847320800697,1.2360263250516181,1.67937393984804
450900,0.5074951699694037,0.13319469958906266,0.9355026791214955,0.8412223766114881,-0.8355222543614342,0.033634805848243333,0.16540826409114323,-0.2723192900569084,-0.04134039544031161,-0.03801329142435391,-0.0008512222424648362,-0.10119342790467753,-0.17293303161216989,1.2378117482752446,1.4134999964441533
