#{"t_start": 1775328521.19852, "env_id": "None"}
r,l,t
-50.186417,51,0.856271
-264.27136,51,0.856327
63.174465,51,0.856338
-115.60692,51,0.856348
-107.35203,51,0.856355
-8.277212,51,0.856363
-81.67494,51,0.856371
-274.76477,51,0.85638
-121.2508,51,0.856389
29.753792,51,0.856399
-272.6558,51,0.856406
-279.11807,51,0.856413
-81.900024,51,0.856421
-56.27591,51,0.856428
-146.94574,51,0.856435
-113.92919,51,0.856443
-69.44692,51,0.85645
-67.46242,51,0.856457
-35.837276,51,0.856464
-147.05101,51,0.85647
-88.75298,51,0.856477
-408.3938,51,0.856483
-409.10162,58,0.896201
-30.625847,60,0.90464
-249.81216,51,1.124519
-259.81973,51,1.124565
-48.74634,51,1.124576
-273.89328,51,1.124585
-573.23773,51,1.124592
-6.488989,51,1.124599
-248.54707,51,1.124606
-92.891426,51,1.124613
-72.384995,51,1.124619
-84.397865,51,1.124625
-226.03453,51,1.124632
-361.93378,51,1.124639
-83.91355,51,1.124645
-290.3782,51,1.124652
-325.15384,51,1.124659
-192.6638,51,1.124666
-79.532295,51,1.124672
-201.16653,53,1.135401
-176.93376,56,1.153262
-31.047413,57,1.158402
40.671524,52,1.168347
5.024134,52,1.177723
-33.9419,62,1.184496
112.77183,94,1.354846
-240.65913,51,1.393849
-100.50969,51,1.393896
-44.302246,51,1.393907
-305.64224,51,1.393921
-309.01657,51,1.393929
-67.71157,51,1.393936
-124.88091,51,1.393944
-72.7169,51,1.393951
-146.32056,51,1.393958
-85.72157,51,1.393965
-86.524315,51,1.393973
35.70019,52,1.399117
52.347687,51,1.402911
-398.57193,54,1.407148
-63.757633,51,1.415336
-62.23993,51,1.419461
-86.484116,51,1.429632
-60.804634,61,1.441242
-46.195023,51,1.441287
-20.585712,61,1.441297
-110.16858,51,1.446132
46.71843,63,1.451264
-270.75333,51,1.622512
-376.0203,51,1.663523
-12.652395,51,1.663573
-394.99805,51,1.663584
-257.4228,51,1.663593
-62.422577,51,1.6636
-78.085335,51,1.663608
-238.50699,51,1.663615
-269.3382,51,1.663622
-102.84568,51,1.663628
-128.97652,51,1.663635
-260.3192,51,1.669563
-60.896103,51,1.67468
-122.90386,51,1.680514
-620.5335,106,1.685759
-76.658356,51,1.692083
-102.2574,51,1.697433
-66.52952,51,1.707581
10.835513,51,1.718934
-151.55498,51,1.718979
-59.055103,51,1.729903
-84.725426,66,1.743997
-71.2786,67,1.804685
-318.0102,55,1.919265
-310.53,51,1.937826
-25.71559,51,1.937866
-117.69604,51,1.937872
-71.99707,51,1.937876
-67.03485,51,1.93788
-246.19115,51,1.937884
-244.42044,52,1.942792
-121.77986,52,1.942833
-252.97583,51,1.942844
-215.46999,51,1.952986
-98.595695,51,1.958657
-139.66261,53,1.958692
-130.1433,51,1.963818
-128.15732,51,1.969481
-397.26987,51,1.98018
-185.25851,60,1.986965
-242.07695,51,1.992162
-229.1767,51,1.992201
-243.12138,51,2.002395
69.5441,63,2.00244
-76.386536,51,2.018543
-243.90466,51,2.074579
-38.53123,121,2.095588
-38.685005,51,2.177198
-412.8786,51,2.199737
-92.778015,51,2.199786
17.520218,51,2.199797
-317.2075,51,2.199805
-45.724945,51,2.199812
-264.8037,51,2.205012
-142.91284,51,2.21441
-252.42166,51,2.222343
-58.76925,51,2.227852
-43.935074,51,2.243611
-49.102997,51,2.255499
-216.86699,51,2.255546
-57.818665,58,2.260558
-247.2861,51,2.267339
-177.11293,51,2.267377
-138.00237,51,2.282716
-45.294704,59,2.293824
-45.771294,69,2.304425
-335.1235,73,2.320408
-25.182987,51,2.33957
-58.553276,82,2.373037
-163.5158,69,2.455799
-302.3882,51,2.471779
-120.30727,51,2.471825
-380.66025,51,2.471836
-6.8011336,51,2.471845
-326.37787,51,2.471856
-8.494077,98,2.486582
-204.51416,51,2.49783
-164.62175,51,2.525566
-62.30408,51,2.532643
-55.052494,51,2.538957
-129.20229,51,2.538995
-97.41689,51,2.56474
-55.446106,51,2.575401
-54.121967,65,2.575442
0.7609343,72,2.591532
-362.2732,51,2.591575
-66.4811,51,2.613611
-318.86862,86,2.644191
-236.4176,51,2.649388
-76.70488,81,2.65629
-294.87842,51,2.735214
-68.11762,51,2.751654
-49.35102,51,2.751699
-243.61075,51,2.751709
-122.76905,96,2.764926
-50.672977,51,2.776134
-31.906301,56,2.78274
-467.30566,101,2.807979
30.304441,51,2.816856
-250.69763,51,2.822211
-220.34091,51,2.826893
-82.976875,51,2.826933
-41.068214,65,2.850746
-88.63791,51,2.868662
-196.25824,53,2.880328
-65.94226,51,2.886145
-63.230957,51,2.886184
-226.7829,51,2.910234
-33.035236,65,2.93879
-394.01828,51,2.938836
-191.97444,51,2.944642
-359.92703,89,2.977343
-278.49585,51,3.030271
-413.93295,51,3.043489
-94.923775,138,3.043528
-55.634377,51,3.043533
-50.6227,51,3.052691
-23.418676,51,3.063673
-340.30548,51,3.069743
-430.72498,59,3.084836
-90.01766,51,3.089969
-87.82774,51,3.095417
-46.923355,51,3.106355
-236.55046,51,3.128859
-45.334675,51,3.145841
-360.35178,51,3.16012
-282.20267,51,3.165683
-29.717089,51,3.189341
-23.424791,69,3.208729
-50.024673,51,3.218407
-98.7768,51,3.218446
-68.669495,51,3.223025
31.23599,51,3.253325
-523.0172,79,3.265306
-16.427944,72,3.282493
-265.1209,51,3.307148
-298.66736,51,3.322434
16.20581,51,3.322475
-131.03358,51,3.334286
-86.89615,53,3.334332
-269.25775,51,3.347334
-51.601818,51,3.354789
-78.11979,51,3.377415
-239.45715,51,3.382622
-26.45237,54,3.388626
-118.32529,51,3.394918
-367.37537,51,3.416225
-60.70269,51,3.434608
-47.39297,51,3.445622
-64.5202,51,3.471691
-7.6384306,51,3.491269
-249.69176,51,3.504062
-44.034374,51,3.504102
-74.928276,51,3.50937
123.70993,152,3.509403
-148.53577,51,3.546123
45.55276,68,3.553401
-285.299,51,3.558572
-160.98207,51,3.571636
-485.57983,51,3.596577
-130.64456,51,3.614763
-83.973465,53,3.625981
-132.83824,51,3.638413
-2.7605903,55,3.656789
-276.796,51,3.666818
-71.84995,60,3.672872
-133.27641,51,3.672916
-6.0965075,54,3.67819
-151.49586,61,3.678222
-62.05215,51,3.678228
-86.85162,51,3.699326
-272.2808,51,3.718321
-171.00446,51,3.728205
-305.59573,51,3.756818
-66.33762,51,3.773611
-269.80008,51,3.785624
-325.64636,51,3.790149
-43.528732,51,3.790184
-223.87154,52,3.79019
-87.151596,51,3.822121
-44.491417,51,3.825807
-365.03378,51,3.831361
-95.371956,51,3.876594
-33.164265,59,3.895656
-117.79507,51,3.895704
-32.292625,51,3.907609
-99.812256,53,3.93643
-75.72679,51,3.941035
-114.84731,51,3.952204
-30.314657,51,3.956244
-129.0753,51,3.956277
-309.9406,51,3.96183
-121.75396,53,3.971017
-289.53665,51,3.980322
-130.97778,51,3.997151
-24.998522,51,4.006011
-303.20078,51,4.031226
-67.18925,51,4.05533
-85.837425,51,4.059599
-108.37405,51,4.059634
-160.73795,51,4.093422
-65.80231,51,4.099002
-249.96481,51,4.103732
60.144043,61,4.116266
-70.26284,51,4.149456
-480.26846,51,4.166193
-65.73566,51,4.176204
-56.81048,51,4.200677
-95.57126,51,4.213948
-186.95714,51,4.218642
-80.6916,51,4.223453
-23.460392,55,4.240563
-22.898901,51,4.246453
-101.57139,107,4.252525
-45.74845,51,4.263951
-282.85117,72,4.275533
-257.0313,51,4.301681
83.50174,72,4.317904
-77.147255,67,4.323644
-152.05229,51,4.329666
-69.61102,51,4.369179
-264.45764,51,4.374063
-206.19601,59,4.378289
-3.612588,51,4.37832
-30.944635,70,4.378326
-58.758297,51,4.389874
-109.63554,51,4.426868
-621.1763,123,4.438394
-46.55761,70,4.445254
-21.59549,51,4.458438
-104.87945,51,4.486918
-117.9202,51,4.503695
-309.15918,51,4.50961
-26.376862,51,4.515271
-229.24397,51,4.531458
-34.43975,51,4.537688
-288.81256,51,4.543476
-79.85629,51,4.555713
-47.940987,51,4.568946
-342.481,51,4.598891
-69.79926,51,4.611614
-105.56601,51,4.616441
-67.49889,51,4.623118
-197.42096,51,4.664442
-188.1409,51,4.670473
-45.045013,51,4.677663
-5.8483605,51,4.677702
-41.498314,51,4.677712
-322.82672,51,4.691369
-785.0244,97,4.711577
-129.29602,51,4.73712
-165.9876,51,4.743087
-30.81405,51,4.755871
-267.8077,60,4.774331
-108.08138,51,4.7993
-456.8409,51,4.820596
-72.95227,56,4.83336
-282.25488,52,4.839375
-40.916965,51,4.844352
-61.95821,51,4.855273
-35.291733,51,4.881269
-234.41801,53,4.90819
-53.326263,51,4.908236
-89.38312,51,4.949184
-44.510777,51,4.954732
-89.329124,51,4.960314
-156.93657,51,4.960348
-5.515386,85,4.965618
-56.80212,51,4.970177
-290.783,51,4.990479
-439.43643,89,5.000435
-90.479645,51,5.011745
-48.993687,51,5.017632
-38.555325,51,5.029559
-345.59366,76,5.04053
-292.83875,51,5.078253
-235.26237,51,5.100526
59.73002,61,5.107303
5.638938,51,5.112834
-289.0931,51,5.119871
-82.15922,51,5.130084
-229.71527,84,5.14808
-62.460865,51,5.171182
-70.86376,51,5.199868
-92.649086,51,5.199919
-423.15393,120,5.21484
-286.40634,51,5.232946
-123.57378,51,5.240789
-39.77354,51,5.255633
