#{"t_start": 1775303544.2621834, "env_id": "None"}
r,l,t
5.20852,14,1.99802
48.582417,15,2.00232
87.791756,20,2.023259
59.63044,27,2.052319
100.462135,29,2.060593
-2.119048,8,2.08003
107.812744,25,2.092744
89.58738,47,2.116488
-29.153347,13,2.119669
103.69286,22,2.130057
48.398373,52,2.133198
25.32754,55,2.142645
56.87845,12,2.158177
-40.33903,22,2.162148
273.45703,43,2.169476
-13.831283,10,2.177105
33.537083,17,2.189893
-8.371264,19,2.193209
-164.37915,59,2.206162
60.905457,32,2.222129
-7.4287457,13,2.232488
91.25824,20,2.23697
-8.813691,20,2.26348
62.98595,18,2.271548
76.50007,35,2.281627
-22.131578,15,2.288811
61.574764,16,2.296093
21.913555,44,2.317708
87.23994,19,2.358683
40.950836,22,2.363581
-83.45426,28,2.375477
20.77341,28,2.40161
102.00405,50,2.407619
28.342855,13,2.40765
109.6094,25,2.411058
61.21768,14,2.413979
164.9736,43,2.420432
44.487415,15,2.42645
88.16122,70,2.426481
-3.7959998,11,2.436449
1.451342,10,2.445682
-7.4852138,10,2.451849
34.138245,15,2.458253
51.035023,24,2.486807
64.207054,17,2.494309
34.510918,17,2.504168
72.9427,20,2.519156
37.440617,11,2.536998
37.683807,35,2.540745
74.14602,36,2.543998
-7.0277157,12,2.555861
-78.28157,28,2.576578
-168.49034,55,2.587119
-6.4260902,15,2.59316
71.63816,19,2.604125
61.55729,41,2.627955
17.632061,26,2.642561
27.938597,34,2.648541
122.89972,27,2.676309
107.24384,33,2.686313
-67.81405,28,2.69575
189.09837,26,2.711418
82.13051,24,2.72745
136.3788,31,2.743855
56.97388,16,2.747076
-292.86325,90,2.753645
41.719967,49,2.753677
45.77955,14,2.759003
53.22233,8,2.779765
116.43181,33,2.800578
50.046486,15,2.800611
101.96378,22,2.833605
187.52704,47,2.836959
57.690353,30,2.860814
246.06018,39,2.864261
206.94157,32,2.871514
42.61716,28,2.875374
164.00919,27,2.892071
87.312294,20,2.904946
61.909843,13,2.91799
116.1309,35,2.918024
-5.6666074,18,2.930825
-85.50491,39,2.963943
60.118683,32,2.968027
65.12927,15,2.981609
175.2454,43,3.011205
145.96071,36,3.014724
-38.899624,13,3.028222
101.4777,36,3.028254
-99.73222,33,3.031738
87.11731,25,3.051173
165.28496,25,3.055464
85.024734,42,3.062896
54.5948,11,3.066022
35.672867,16,3.069422
-10.334378,13,3.072885
63.84901,14,3.080378
-7.666964,15,3.108413
40.813984,13,3.125275
82.2724,18,3.128962
14.769755,20,3.141868
-119.363625,39,3.145077
22.892254,28,3.148483
45.27511,19,3.172833
-2.2746975,33,3.177053
-51.751293,19,3.19404
45.17971,14,3.194072
60.94602,16,3.202916
-20.642275,9,3.202946
-10.123504,23,3.219599
24.766357,9,3.223761
60.526245,14,3.241452
-67.51909,26,3.267429
15.515947,21,3.295514
161.10841,70,3.31041
42.903675,9,3.324034
77.69233,40,3.33905
-70.99551,35,3.342849
49.73163,12,3.379802
177.88237,21,3.379837
64.90006,17,3.379852
49.349,14,3.390686
192.39641,47,3.401472
447.17084,66,3.428561
62.470642,15,3.432428
-6.2892265,16,3.436076
17.397245,7,3.463104
-18.543182,23,3.463137
99.48122,99,3.468213
29.652864,13,3.478494
2.3589501,22,3.482209
45.364506,9,3.502174
77.75735,21,3.512541
18.712471,8,3.512576
212.98338,70,3.512581
63.546726,16,3.569657
138.37917,34,3.60394
255.41823,38,3.603977
343.15338,69,3.644354
145.26619,37,3.648144
-48.343765,28,3.673681
104.16935,58,3.678614
43.456505,21,3.68315
96.758255,19,3.719044
130.1277,32,3.723278
224.48428,60,3.734613
107.501274,28,3.748807
40.12688,21,3.754282
-1.5751852,12,3.767381
41.09158,24,3.770444
52.21438,25,3.780673
133.71635,19,3.803606
29.59104,14,3.812112
44.70358,12,3.821652
114.59113,31,3.868181
127.173294,95,3.873428
44.748165,21,3.873457
39.876617,21,3.890406
55.48813,24,3.917657
81.04811,18,3.937075
231.81453,44,3.937109
150.85767,42,3.944625
14.015015,26,3.970796
44.138153,12,3.982353
-27.422274,12,3.991491
-108.00096,46,3.995163
81.00185,42,4.055047
137.45354,47,4.05508
91.17296,19,4.07096
44.468678,20,4.131649
51.91192,39,4.142793
84.0564,45,4.147604
276.1489,58,4.162481
152.8693,64,4.166451
4.8390236,11,4.173562
36.474194,9,4.196573
-31.861933,15,4.203973
146.88803,37,4.210996
85.97498,61,4.218025
66.09999,15,4.221889
43.89686,21,4.22192
87.7827,48,4.235677
27.243607,14,4.253241
39.377617,11,4.257437
77.72115,17,4.273074
36.327156,10,4.297385
-116.38766,35,4.304751
44.118828,25,4.330542
119.170105,33,4.343539
249.67668,47,4.365192
-74.41544,22,4.370957
114.10588,32,4.384273
108.99323,51,4.403203
-3.6103365,9,4.403236
16.757305,8,4.41295
33.44271,46,4.416728
26.829794,33,4.443085
-136.24165,45,4.460929
330.61603,36,4.468871
62.769497,31,4.475385
58.719543,31,4.519013
62.246124,38,4.54802
58.008194,28,4.578224
-164.04114,44,4.588744
104.17362,23,4.610725
19.608292,10,4.624346
231.24298,54,4.648759
152.81502,48,4.66352
212.39044,35,4.683722
35.89134,30,4.697123
42.322636,20,4.7049
36.726524,14,4.708802
102.13237,83,4.733438
10.735235,7,4.73347
35.54238,17,4.75878
520.4664,79,4.766848
-90.34383,27,4.789491
2.5487409,13,4.81061
150.55827,23,4.822512
313.15518,57,4.830605
110.38775,47,4.847098
33.93487,31,4.854774
-17.501127,12,4.89432
114.20492,32,4.894356
-94.68717,27,4.894362
-159.34311,57,4.924682
18.62715,9,4.928186
50.625347,41,4.968906
54.046974,14,4.977227
40.045513,25,5.066455
-59.256668,38,5.07317
117.841995,48,5.076771
-140.27492,50,5.084628
211.98927,61,5.088001
-214.46718,70,5.091834
258.13684,71,5.10323
139.89645,38,5.123479
-41.96311,11,5.136833
-7.1567163,12,5.136873
40.901596,10,5.143111
71.59628,20,5.153628
52.465908,24,5.157584
49.886208,23,5.211403
45.09025,18,5.211439
136.96179,37,5.215295
45.879974,12,5.259933
-5.6218853,13,5.263544
74.57726,32,5.27833
304.90854,56,5.301231
52.167625,27,5.319858
45.791515,53,5.339738
140.31296,60,5.366928
14.978287,26,5.378832
53.80819,31,5.382625
-44.786854,20,5.398905
-4.7341866,9,5.402593
367.69067,68,5.421292
119.51836,23,5.428809
75.56314,35,5.436335
63.202755,15,5.440177
28.563057,28,5.504677
-28.706999,20,5.504712
119.633125,19,5.51136
47.19328,25,5.515915
4.150459,23,5.524629
-11.763937,8,5.545611
253.03952,40,5.556313
82.161896,48,5.563468
194.03769,85,5.58674
124.90754,22,5.601844
37.30292,19,5.61678
181.60143,39,5.656675
-52.762257,26,5.664354
-6.5781093,17,5.6683
131.64134,27,5.694435
101.37078,56,5.729693
9.687219,17,5.729748
0.3371579,9,5.736793
99.86847,28,5.736877
34.64034,17,5.74395
35.340702,62,5.815635
100.80488,17,5.847608
169.23343,42,5.892892
310.81793,80,5.932791
69.81801,37,5.932829
68.12687,36,5.93703
184.52858,42,5.953571
41.21604,17,5.966369
40.50319,38,5.982538
38.812973,11,5.997281
165.90044,39,6.011265
-83.91208,23,6.023194
44.16381,23,6.027386
63.14431,16,6.02742
59.118885,64,6.042455
97.61684,31,6.054824
38.684765,9,6.079726
-7.393179,10,6.094494
8.312414,22,6.098346
19.09651,28,6.105952
203.69142,33,6.110051
89.00683,21,6.110083
-36.32641,13,6.129767
-104.97048,32,6.15297
-35.138416,20,6.176111
28.399933,17,6.176169
92.42832,22,6.191744
56.789814,30,6.208997
110.07105,21,6.233553
135.80107,35,6.245806
77.8949,33,6.256583
-9.539566,18,6.26034
59.969723,14,6.264672
137.504,64,6.272717
-11.61738,14,6.300097
29.429638,8,6.304115
53.863216,11,6.308176
265.5936,36,6.315986
133.1168,37,6.321177
35.628963,16,6.325399
1.682965,22,6.344211
-27.17393,11,6.347764
17.109114,11,6.360765
8.521621,19,6.370978
62.60401,14,6.375405
25.71718,12,6.388563
54.882183,12,6.39396
-108.41909,42,6.397965
42.76905,10,6.402332
-0.46627635,8,6.421275
118.92553,29,6.429437
83.77862,20,6.452016
-57.88287,24,6.470881
99.057106,44,6.478169
106.25015,25,6.489232
65.93919,16,6.489272
104.44905,23,6.50698
84.70648,29,6.510674
37.280743,19,6.52424
-80.93089,18,6.540006
67.96559,19,6.551532
52.925987,15,6.566116
22.146622,7,6.577506
49.597435,17,6.577545
68.61701,16,6.602905
-36.31079,17,6.645339
-50.506687,24,6.663583
41.505505,20,6.68306
-118.59301,42,6.69027
117.56469,57,6.712057
240.79863,61,6.729089
-27.288897,10,6.729128
70.33714,29,6.759899
121.97179,21,6.764289
543.2502,95,6.769071
-19.336378,13,6.781339
59.01551,14,6.785508
63.794506,59,6.811044
-93.151215,39,6.815181
13.232044,14,6.819068
37.275753,7,6.841917
-76.55836,24,6.859069
-73.29618,26,6.859102
-66.52615,23,6.871222
59.27043,43,6.878574
90.25148,23,6.904137
28.777584,18,6.924008
