step,r_linvel,r_yaw,r_gait,r_posture,r_body_height,r_stillness,r_jump_phase,r_orientation,r_torque,r_smooth,r_joint_limit,r_lin_vel_z,r_dof_vel,survival_mult,r_total
10000,0.637761228326597,0.14818337803183285,0.9913303820742411,0.9188452396845136,-0.6357755682396936,0.048073936103052065,0.13324991908981193,-0.14094786130764328,-0.04082718595580228,-0.03709713253587484,-0.0007167380040981967,-0.06787827894508561,-0.16091502355777132,1.1870871812326282,2.128839990060011
20000,0.6059427617980795,0.12691890995716526,0.8628375484810159,1.075997177296267,-0.6912332558517669,0.05608330437263899,0.11807814763803023,-0.15116197360188874,-0.04069471874824177,-0.03800248697161675,-0.0005651932676340206,-0.07306453304017796,-0.16083007873375724,1.180918702414336,1.9767551115756086
30000,0.737526391941552,0.1394102088589287,0.9424062168081435,1.128543510700347,-0.6781105562335749,0.050382618978642886,0.10204310212349806,-0.145531596199816,-0.04077017083585757,-0.03970633997678757,-0.0006669120900710706,-0.06503504660230228,-0.16028561439314035,1.177761890780515,2.285433180969533
40000,0.5480615352083045,0.14779361125795024,0.9503101029557247,1.0142163695760416,-0.7197108729035255,0.04962583783687397,0.10483633295103831,-0.1378098059924264,-0.040994579734392404,-0.03788920725762844,-0.000669265668879083,-0.0793982898290495,-0.1617589938846792,1.1955620158239226,1.92814741371823
50000,0.5512703009030396,0.12758926537631812,0.7481789284640671,1.1306267035922268,-0.654002924839763,0.057179883341160115,0.15366551350944296,-0.13988590746725857,-0.040984723488145185,-0.03816184205204249,-0.0007483863263800666,-0.06832458052499975,-0.16189783647925746,1.201469933700517,1.9589629870525787
60000,0.5152111395749107,0.1510867676365097,0.9904981076589724,1.134859213653633,-0.5331574876785524,0.056406676027903384,0.07601529030565372,-0.13301486234558318,-0.040544516971402426,-0.03707595450356603,-0.000615853510121209,-0.07273609648786607,-0.15884474415850708,1.193046648223854,2.3007375446759695
70000,0.5746094074478415,0.13301815714534113,0.7468541538336348,1.0468607854949925,-0.718502763999876,0.05477636383160502,0.20378788169866457,-0.1363910294414486,-0.04086139469874203,-0.03908044023290277,-0.0007035133074467704,-0.0682047561761933,-0.16086917558203775,1.1908382874513352,1.884658286247821
80000,0.548107419522987,0.1280772632917518,0.789962411052152,1.0368551759510467,-0.6690663330661549,0.052165044896202654,0.19479304002485512,-0.1382618110179905,-0.041023553537137165,-0.0397006734739244,-0.000685349641011298,-0.05585405519472934,-0.16099982437693236,1.1959364550204412,1.9499106045360093
90000,0.5502199656399319,0.14170471003684823,0.9674974387326128,0.9416451751825432,-0.6185133363811036,0.043142730377707814,0.16035803024248416,-0.1380143463397417,-0.04082348244677066,-0.03778890200719238,-0.0007258443779364772,-0.06185303992312334,-0.1598874365145479,1.1874008884728071,2.0646702716700314
100000,0.7015159848483987,0.14352318426843644,0.9768355411138009,1.0436307808055463,-0.6639670976054521,0.054660171111791306,0.09127373241740923,-0.13745765840265609,-0.04095588676694264,-0.0385555311191082,-0.0008309379985339792,-0.07835148425687662,-0.15972967981730615,1.1943550046898923,2.267309780960244
