step,r_alive,r_linvel,r_yaw,r_feet_air_time,r_cmd_vel_error,r_orientation,r_lin_vel_z,r_ang_vel_xy,r_height,r_torque,r_smooth,r_joint_acc,r_joint_limit,r_crouch_penalty,r_power,r_stand_still,r_gait_phase,r_foot_clearance,r_posture,r_foot_strike_vel,r_body_acc,r_action_jerk,r_jump_phase,r_total
16384,2.0,0.27611112555464723,0.1448574130193378,-0.010759283497463912,-0.956544334116316,-0.08186394032647493,-0.4499717885625041,-0.3458200789759742,-0.0016872676308148252,-0.046356930590272835,-0.1711167141067563,-0.39372402813440954,-0.004395454000599249,-3.12850630774327e-09,-0.03732237649495276,0.0,0.0985107421875,0.2739773857581572,0.18796351300253217,-0.00836831123982636,-0.16313247644440723,-0.050007032108114816,0.0,0.7319589045714777
32768,2.0,0.34889650283384394,0.1434254375385441,-0.013535162004700396,-0.7987894224473493,-0.07845611151698018,-0.3512791630108375,-0.3629812265467213,-0.0014578201414673353,-0.0467582496734665,-0.17411216518085004,-0.4001539816597642,-0.004632971291621777,0.0,-0.037857803816232126,-0.0063468547708225125,0.0994873046875,0.2720378263681583,0.19000989707877697,-0.008426658035819845,-0.16554934982949626,-0.051112694450566785,0.0,0.9239945641936811
49152,2.0,0.34374040181016546,0.14912835980838543,-0.011975103365330142,-0.6976318623307318,-0.08132003301643198,-0.3620759857065601,-0.34737831142350173,-0.001444678421845382,-0.04681306795709662,-0.1739492833599798,-0.3964416583320172,-0.003956462111847588,-6.917474916989328e-10,-0.03754950061726461,0.0,0.0927734375,0.264867856478282,0.18982370864767406,-0.008110679105596734,-0.15554388882443887,-0.05105990597716304,0.0,0.9510880352686463
65536,2.0,0.29609693486867183,0.14136671010756183,-0.011462409125670092,-0.8355540013721736,-0.08042328818354294,-0.3776624258439653,-0.33653102548427005,-0.001411547740751975,-0.04643077538384377,-0.17268318325950557,-0.3922680524518982,-0.004751829025377055,-1.6929711842997922e-07,-0.03719754013085105,-0.004692290003621237,0.0960693359375,0.27359203720621844,0.1897778753311764,-0.00867963938003671,-0.16297938386040914,-0.05083860452607039,0.0,0.8583149191315209
81920,2.0,0.33706628529386695,0.133477944281509,-0.01006348275768687,-0.6557089090681458,-0.07590612321065482,-0.3784097695660794,-0.33813904701361985,-0.0015711000335868542,-0.046893452603462005,-0.1741158913006074,-0.40259402757972407,-0.005302488810255044,0.0,-0.037730757063069845,0.0,0.099853515625,0.2714236286224046,0.18890358251412503,-0.00870126502372397,-0.1590434727171959,-0.05132814660639267,0.0,0.9473942966471
98304,2.0,0.4117512920438221,0.1549085819865599,-0.008437506043264875,-0.6389070769510496,-0.07926515308171145,-0.4101191141702926,-0.3373539578298999,-0.0016226779288420943,-0.046567542558672716,-0.17308064839889958,-0.39591764844305616,-0.006029873013489321,-1.912419168500862e-07,-0.03768100127446676,0.0,0.103759765625,0.2777308882718342,0.18572224156298597,-0.008355175566893802,-0.15953287530795202,-0.05078073703276451,0.0,1.0497279348283268
114688,2.0,0.3450404295529274,0.13308872440854844,-0.01245850243321911,-0.865682742071229,-0.07645865302219224,-0.38072843901247727,-0.32755677345797324,-0.0014641505250887604,-0.04660222637977688,-0.17365938810107803,-0.39640458638232484,-0.003771153341321834,-5.5940814131430095e-11,-0.03701176494523669,0.0,0.09716796875,0.26693108590028314,0.18235804605234912,-0.008655271796362912,-0.16049813516956052,-0.051006960951053726,0.0,0.8774289984273899
131072,2.0,0.3249808225419793,0.1390143249229862,-0.009821783234656323,-0.8165255386012128,-0.07805298067917743,-0.3615295514744052,-0.35602451699427445,-0.0013414578740794444,-0.046792297658838855,-0.17690755013609283,-0.40744489166723546,-0.003618208972527501,-2.3242752333192876e-08,-0.037753371040869316,-0.009110123480387628,0.10546875,0.27618014139300034,0.18416155280798358,-0.008010345298449384,-0.15071139210119133,-0.05217768602669818,0.0,0.8714730362599339
147456,2.0,0.34769874160370273,0.1280498330518551,-0.012099615652914508,-0.7599889915912854,-0.07574717874225101,-0.39438570359401637,-0.3269323081690525,-0.0014212407400299595,-0.046585043249943905,-0.17397066934936428,-0.39839084798760876,-0.004334192467467705,-1.3994648507584051e-08,-0.03745585396182706,0.0,0.099609375,0.27519262491059915,0.1810785795016261,-0.008130738597816854,-0.15433975558192442,-0.051089964722923605,0.0,0.9146386854043304
