#{"t_start": 1775281305.7374666, "env_id": "None"}
r,l,t
24.991282,9,0.812108
9.779321,9,0.812144
45.61972,9,0.812149
45.310143,21,0.835133
63.063255,23,0.843605
37.956776,16,0.856414
49.631718,17,0.861699
26.564003,8,0.912645
44.22137,13,0.924277
80.46113,34,0.924334
91.36009,35,0.932744
18.763721,6,0.963857
24.122658,13,0.963874
86.12433,17,0.966588
-4.3429017,9,0.992778
0.68539363,11,1.010955
216.531,52,1.068599
24.557522,9,1.068653
-35.146824,16,1.097009
-13.926411,10,1.097072
70.2924,18,1.127165
31.824705,21,1.148488
-4.986937,9,1.157637
-60.993637,53,1.165396
13.233428,10,1.187623
46.97202,9,1.240813
60.464565,12,1.249321
54.04036,39,1.261516
119.090256,26,1.286121
51.01312,10,1.306273
9.59239,8,1.365685
-7.679643,15,1.365771
6.198023,6,1.407548
-13.1673,19,1.419783
137.32967,39,1.440317
152.94333,47,1.452693
29.862429,14,1.460653
39.657608,12,1.503999
133.21104,53,1.523289
18.931175,9,1.530212
72.20846,19,1.552604
34.34305,15,1.560981
72.56553,43,1.561028
29.496006,11,1.593188
68.40724,12,1.615183
-24.005781,23,1.623797
38.685074,15,1.663707
-9.032785,21,1.677443
13.855095,10,1.693593
31.522326,20,1.703557
9.783891,6,1.725477
14.403156,7,1.746332
126.957275,29,1.761691
78.58386,18,1.761742
113.47999,24,1.768455
350.5704,80,1.774744
75.23605,16,1.813068
37.080826,17,1.901787
82.41498,26,1.913047
-34.58875,23,1.941974
50.392216,25,1.9539
103.03129,34,2.01966
43.99406,32,2.019687
14.35,12,2.028786
185.72388,49,2.056138
38.160625,7,2.088771
87.57221,19,2.136117
32.925976,12,2.144796
15.369442,8,2.163998
37.823704,16,2.175552
57.54478,30,2.183226
2.6646948,9,2.224262
78.27298,21,2.253637
13.90954,10,2.268407
179.74086,53,2.284061
-33.073925,24,2.382636
106.101135,23,2.405712
36.98224,21,2.41958
87.79743,39,2.474439
100.40422,28,2.488633
118.024376,67,2.508371
219.55258,44,2.508422
83.99245,32,2.520688
21.55276,8,2.567702
73.95637,26,2.610118
23.434683,22,2.623119
-28.36994,30,2.623174
72.04312,15,2.639832
113.43535,46,2.731666
103.86255,33,2.747094
31.121038,32,2.759862
13.403583,15,2.759904
79.693474,20,2.767124
-19.54289,27,2.829136
65.21667,30,2.85399
53.95189,16,2.888068
172.85748,43,2.91028
-6.8984833,19,2.910363
1.151292,19,2.910384
68.64704,12,2.937177
78.745415,32,2.968218
-3.087332,6,2.981739
30.84122,14,3.00629
19.426655,16,3.047801
24.522516,7,3.072805
-11.352843,22,3.10156
37.577488,6,3.136081
53.750774,12,3.155015
-14.336329,28,3.155058
102.5298,51,3.161878
116.82397,37,3.180102
30.285854,18,3.25105
25.644602,13,3.266928
76.834274,20,3.318528
6.309623,9,3.353067
15.825268,10,3.402648
136.96161,28,3.40971
149.80528,51,3.414942
180.82854,54,3.424381
145.36685,37,3.424434
52.85496,38,3.452403
113.295975,28,3.468429
39.33522,10,3.468505
41.664898,18,3.478621
15.189216,14,3.519539
57.08709,14,3.608451
