#{"t_start": 1775283387.7014844, "env_id": "None"}
r,l,t
5.190781,7,0.59319
9.258995,8,0.599537
-6.467283,8,0.599583
17.725048,8,0.599594
15.402362,9,0.606421
4.2362213,9,0.606465
22.299065,9,0.606476
-14.674543,10,0.614009
22.365116,10,0.614056
25.257698,11,0.621537
26.784052,11,0.621579
5.4046087,13,0.634362
7.9874673,13,0.634408
48.238297,13,0.634418
-22.07871,14,0.640837
10.513429,7,0.647567
8.960917,15,0.647609
26.306768,15,0.647619
-64.64935,16,0.656871
-63.299793,16,0.656916
-20.541168,17,0.664282
-13.523663,10,0.671031
-50.666508,20,0.685817
12.913296,20,0.685864
9.695691,20,0.685874
38.422684,14,0.703857
20.480251,9,0.7039
6.863465,12,0.703907
0.78974706,10,0.703912
25.596708,14,0.703918
-32.072,11,0.710253
73.08753,24,0.710293
17.0072,24,0.710304
35.12761,18,0.716981
-10.26325,9,0.717021
-24.547516,15,0.722635
4.8374925,11,0.735879
5.155204,8,0.754173
16.021044,8,0.754217
1.6925672,8,0.760485
-96.71489,32,0.760526
16.554703,9,0.760537
-11.279817,18,0.766921
25.913,24,0.766965
-93.5337,33,0.766976
21.287794,26,0.773115
8.164175,9,0.773156
-65.740685,21,0.773168
28.834122,15,0.779226
44.285336,37,0.791331
-17.171236,14,0.791378
37.14283,14,0.802962
36.29726,22,0.820024
4.5459104,11,0.820065
-16.179888,11,0.825823
3.9631987,33,0.825867
1.8134521,9,0.825877
-62.72062,12,0.825885
102.54934,28,0.831603
-7.6894193,20,0.842292
2.3549976,24,0.854591
19.976587,12,0.860767
-87.77822,32,0.866375
-0.25517792,7,0.866419
16.365948,13,0.879541
3.4038777,20,0.879584
4.106962,9,0.879595
58.404236,19,0.88664
54.026157,25,0.886679
-30.492922,20,0.88669
-12.668321,10,0.886698
3.3257027,11,0.886705
141.637,55,0.898001
59.56876,40,0.898053
-3.0524812,12,0.898063
-58.715824,21,0.90369
2.870787,42,0.90898
5.8575435,9,0.909022
40.78794,20,0.909033
17.022947,40,0.928501
5.1740026,27,0.928548
-32.03609,21,0.945551
-30.700628,13,0.959184
88.28174,32,0.959228
-6.003544,8,0.959239
40.51502,11,0.965037
23.482594,9,0.965076
5.7358403,17,0.970889
-13.125738,14,0.970929
-12.679768,44,0.976574
7.1675835,8,0.976607
49.147312,23,0.981846
160.20761,70,0.989735
-21.458609,38,0.989779
19.001541,20,1.00967
41.426064,17,1.015957
47.986523,22,1.021575
-28.85979,27,1.026952
64.90916,27,1.033576
40.855064,12,1.033617
3.5645235,9,1.033627
4.4912457,11,1.033635
-32.70397,44,1.040624
-11.807781,14,1.046583
-7.5056615,11,1.052377
43.085625,25,1.052418
83.779724,36,1.052429
2.9937005,7,1.065815
31.971983,15,1.072667
150.11627,73,1.072706
31.28893,20,1.072716
47.955128,31,1.072725
22.607422,8,1.078567
29.955664,33,1.083916
87.704544,62,1.083958
3.932116,6,1.08397
7.927187,26,1.089345
9.102366,19,1.089382
30.39109,10,1.094909
11.342802,8,1.10071
-154.05388,36,1.107383
73.09059,34,1.113632
-1.157413,25,1.119378
35.679115,14,1.12563
4.319934,12,1.1449
-25.580265,21,1.144951
-108.535065,25,1.144964
39.622272,15,1.15714
-66.98516,20,1.157184
22.318592,45,1.164383
-30.60522,17,1.175534
-9.66414,12,1.182526
8.25659,16,1.182561
-29.99358,19,1.188163
-34.05326,15,1.19565
7.723981,19,1.209774
8.622278,16,1.215686
21.222273,36,1.215728
79.16214,40,1.222177
7.0207467,11,1.22803
133.2124,54,1.233973
71.57473,25,1.239677
-89.89544,25,1.239719
6.4523,12,1.25183
50.673977,16,1.259411
42.092056,22,1.259451
1.2990806,12,1.273083
31.892742,17,1.273129
-121.41733,36,1.279438
21.880919,10,1.285929
-3.4368823,22,1.285977
-31.706417,22,1.285987
33.63613,11,1.285995
35.814804,40,1.286002
-31.757343,33,1.303916
7.094332,29,1.309615
-16.83872,11,1.309655
29.28925,12,1.309665
10.841965,18,1.322513
-144.80214,40,1.328391
186.63907,52,1.334586
4.5994844,10,1.341065
-16.553684,14,1.347695
67.00197,32,1.347733
118.009705,63,1.354068
28.131117,20,1.354107
22.741615,17,1.361366
22.034729,13,1.367711
41.522404,16,1.373481
25.525316,11,1.380334
46.015614,31,1.386657
12.030774,28,1.394126
61.520348,34,1.400285
43.733006,19,1.406984
34.904163,10,1.412726
-27.528257,11,1.412768
40.825947,25,1.419996
49.94641,23,1.420037
160.34956,62,1.426593
-178.36514,53,1.426643
12.386304,12,1.433295
32.869804,39,1.433333
59.913113,14,1.45736
6.6759777,23,1.457407
20.132372,21,1.457419
-35.182518,9,1.470355
22.15779,27,1.508375
-12.7495575,14,1.508417
-31.03044,17,1.514002
-25.238398,12,1.52075
11.471984,9,1.520791
-12.551626,12,1.527687
12.4793,27,1.533369
50.235962,16,1.538161
8.016022,12,1.538201
5.481745,36,1.54343
-60.115334,19,1.566925
30.213896,13,1.566973
-6.161178,11,1.566985
48.612167,31,1.577549
26.673565,13,1.583906
80.64152,36,1.58958
-48.786476,22,1.589621
-47.89078,18,1.596962
