step,r_linvel,r_yaw,r_gait,r_posture,r_body_height,r_stillness,r_jump_phase,r_orientation,r_torque,r_smooth,r_joint_limit,r_lin_vel_z,r_dof_vel,survival_mult,r_total
10020,0.4478213826236767,0.1305527727632506,0.38862001725687245,0.7400425120841544,-0.6301872526517673,0.03126623753997837,0.1613944826573596,-0.15632553676188862,-0.0465789581343693,-0.13191848592058336,-0.002052627487737594,-0.07201708170284539,-0.37163134018235916,1.1556730307579093,0.5584535425040539
20040,0.41918566107055916,0.12579969450783118,0.36801357656402645,0.7346802084106094,-0.6965862409910689,0.029040665338223446,0.16644214791213405,-0.15497815166441284,-0.046646482463704404,-0.13677539635155983,-0.0020695310096474693,-0.07133681876214512,-0.37467555543267794,1.159531635811622,0.40603935886881254
30060,0.4478925513157738,0.11753205013354186,0.3521635855163305,0.7674555909715628,-0.7147879339159381,0.03216693273474837,0.1634416243998658,-0.15361081628836984,-0.046669594559431,-0.13947950094275677,-0.002012376825220315,-0.0707288064820036,-0.3745214005882617,1.1605262405696195,0.4237342391007836
40080,0.4503397663554867,0.11677357876781014,0.3357274033418467,0.7331993556979309,-0.7481171927936568,0.03156607141512016,0.17880126575697156,-0.15615323727251054,-0.046722088417089296,-0.1363145642282586,-0.0018382615275596137,-0.07394260415881795,-0.3754261586713812,1.1605621573566276,0.3357857876320277
50100,0.4558403490944457,0.12611078926924627,0.3571063517968071,0.7391586818438457,-0.7332789612402215,0.03250289501215552,0.12693671220119024,-0.1562782563633143,-0.04674552180209187,-0.13279553908956054,-0.001870228011825639,-0.08239583053856302,-0.37513785908969094,1.1590748335322716,0.32698439563679454
60120,0.5107788045627449,0.12664222547184112,0.3724291116116867,0.7914019316187304,-0.6881628949742801,0.034905397303231785,0.12215717733889324,-0.15556513901364954,-0.046722395520190835,-0.14338765893528255,-0.001886171480105164,-0.07654961225100812,-0.3748391155341664,1.1593872778213214,0.5265419487182846
70140,0.49672459411781883,0.1322847565458908,0.3916323110383983,0.7805837952004032,-0.6364004193300502,0.03179276333112116,0.1388299943181223,-0.15735365728414638,-0.04660516122296479,-0.13712982532469822,-0.002089682395184378,-0.07597471404539578,-0.37230538650507866,1.1636197774542394,0.6212761743316783
80160,0.45874752731118923,0.13298270888400798,0.40023191354744064,0.7245681660530702,-0.675619965050963,0.029450746608627915,0.14672543751576378,-0.15574057566021915,-0.046675451912045814,-0.1386327777333895,-0.0021354648288406143,-0.07855764865815261,-0.37256633717589666,1.1637529389039094,0.4807346642139506
90180,0.4530349814271994,0.12971287206818138,0.40844986128530436,0.7590285566972327,-0.6385043993712666,0.031294782837846855,0.10453061775528319,-0.15492150277809733,-0.0465938636891282,-0.13567710416146905,-0.0019633810041014815,-0.08012047381649039,-0.372972650577658,1.158030541526529,0.508803294834791
100200,0.45526986282375287,0.1298322758723088,0.4023220573813002,0.7622477928906602,-0.6468905293596913,0.030321370842789155,0.11220089113798025,-0.1545539082527581,-0.046735567986518844,-0.1341305919277708,-0.001898203654734772,-0.082826265824263,-0.3747088453299075,1.161319155777974,0.5029241854970102
110220,0.470876711818255,0.13071547142152337,0.36655700583584155,0.7898933464361468,-0.7061070784466202,0.035165475780183225,0.1189004376884953,-0.15483238057314322,-0.04675599702598102,-0.1349648591996601,-0.001908493026286806,-0.08230257463414715,-0.37519022037328986,1.160961245053179,0.4557185013126535
120240,0.4885975340379079,0.13509039775147116,0.39242249736776735,0.7492575309576479,-0.6807982621056489,0.033482854718267244,0.12319866555944786,-0.15670811078840782,-0.04660633733476746,-0.1303523971038738,-0.0018731804112758056,-0.07878594578575739,-0.37338562684575033,1.1556804728755568,0.49979833642969723
130260,0.48330949439327786,0.1344955316241533,0.41081391717570837,0.7512297099092597,-0.6573830625169169,0.03224953275060616,0.13312833566431814,-0.1569097277498077,-0.04674429827145964,-0.13390979932071978,-0.0020029034729752227,-0.07423543343953379,-0.3741266980902451,1.1546830929748182,0.5559995346094196
140280,0.4918651445067056,0.12213919252163533,0.36994393550739935,0.7561793469369803,-0.7005702809944442,0.03211613069848541,0.14230374815855856,-0.15525910950208688,-0.046816571674494996,-0.1377486577233652,-0.0019437239750028407,-0.07445628936688023,-0.37354079130068185,1.1556347613388191,0.4713462458115261
150300,0.4819724925808881,0.12594135410731724,0.36610447860356266,0.7259674084923713,-0.7402514355249684,0.03152526911467321,0.1311926763267681,-0.1547282115560274,-0.046871674467256035,-0.14019109895500534,-0.0019986445621975307,-0.0759147334061931,-0.3739945899726454,1.1564115865125915,0.3636251051545702
