#{"t_start": 1775292611.8890388, "env_id": "None"}
r,l,t
31.92947,8,0.586226
10.648396,8,0.58627
48.4271,9,0.590944
-3.1310894,13,0.613616
-51.77,13,0.613667
-28.079987,15,0.625907
36.104137,15,0.625956
63.965183,16,0.632409
75.14037,18,0.644948
-29.886522,18,0.644992
45.08339,22,0.667784
98.79243,23,0.672788
8.485516,18,0.691295
107.684845,27,0.698524
-38.000015,15,0.704603
-18.558691,14,0.710581
26.921724,31,0.721922
150.67015,31,0.721966
-9.253355,17,0.727008
-7.119182,10,0.730755
56.164433,10,0.759929
54.199245,26,0.78399
77.38394,42,0.78403
51.041344,13,0.793698
165.80774,44,0.793734
0.4052595,9,0.799886
88.46919,18,0.799927
87.97008,12,0.799945
105.25568,46,0.805074
66.243576,39,0.813841
60.203186,18,0.819782
113.52686,19,0.828731
168.83884,32,0.840295
56.100483,8,0.851583
95.98065,28,0.851619
-38.68257,16,0.874504
34.827076,20,0.904785
76.275604,38,0.913831
138.67284,23,0.918346
29.750956,51,0.930161
55.40995,27,0.930203
100.86084,28,0.934762
255.08214,62,0.934798
52.490704,12,0.952246
227.85985,61,0.952285
360.72583,75,0.95768
28.143187,25,0.962433
-77.34125,32,0.967748
45.155228,21,0.973602
10.150366,36,0.990228
89.51951,39,1.004416
53.590675,15,1.009285
-57.63363,22,1.015473
43.205032,69,1.020562
123.33806,36,1.033451
41.9074,23,1.043252
78.009544,24,1.054176
28.53401,9,1.054224
72.032616,19,1.054235
113.390236,23,1.069738
-1.601206,10,1.083098
-75.95534,18,1.093114
15.945874,22,1.098121
69.76706,30,1.102814
216.65616,105,1.108687
80.945656,57,1.108721
129.4983,22,1.124343
-102.727394,32,1.129955
70.1224,40,1.129992
29.759579,15,1.130002
46.230232,14,1.138821
34.928596,25,1.144332
78.22414,39,1.158127
-91.64955,37,1.158169
192.65637,49,1.158176
22.35464,12,1.186207
-147.23729,55,1.190776
8.293954,21,1.195657
56.612785,31,1.195691
51.81339,21,1.200413
29.382425,14,1.209382
56.864956,32,1.209425
-27.800615,16,1.214081
131.54216,34,1.21899
122.65893,30,1.26537
145.72173,33,1.26542
68.03913,35,1.271623
23.010406,12,1.276248
26.97638,25,1.276278
182.49313,83,1.276284
85.62244,19,1.285566
-5.082161,28,1.291033
-4.9846253,23,1.301503
52.20026,31,1.305787
22.905201,13,1.333495
20.810423,12,1.343259
111.1361,30,1.343299
63.789154,15,1.348333
215.4865,46,1.348374
31.608213,18,1.353283
51.505116,17,1.357949
79.243256,54,1.369016
24.25264,13,1.369061
113.10171,60,1.373961
15.150675,20,1.399929
81.36329,24,1.410784
-46.50382,41,1.415768
-23.62845,17,1.419948
140.72072,43,1.419982
-90.86872,33,1.428382
23.508701,32,1.432675
50.609055,11,1.450433
-55.56181,19,1.460846
84.67011,26,1.471022
54.92677,26,1.471061
35.475796,21,1.475828
47.132275,25,1.479921
27.58141,15,1.484937
25.55021,13,1.489814
96.50932,58,1.489841
-8.702377,10,1.500466
59.781853,17,1.50051
126.55134,24,1.524139
246.0399,72,1.536491
85.75178,38,1.536535
-106.28799,39,1.576998
70.68862,15,1.587181
-82.33256,28,1.587221
59.71686,14,1.587228
5.6154475,26,1.592091
294.51572,77,1.602417
32.717552,17,1.607727
-4.20716,11,1.6218
86.17873,25,1.626897
197.18764,52,1.636886
135.73563,31,1.647172
-161.30116,50,1.647217
254.68385,100,1.647228
57.096653,29,1.65189
17.843658,25,1.656664
29.41138,16,1.665962
130.94846,29,1.666005
223.30875,39,1.694788
38.41992,7,1.699033
40.32777,9,1.710105
164.95622,30,1.714078
70.37657,15,1.719381
117.16379,38,1.719423
57.78448,28,1.729213
191.11958,24,1.744525
101.02458,20,1.744568
86.47854,22,1.744578
118.80794,31,1.754769
93.738434,22,1.76599
22.213543,14,1.766037
89.23938,39,1.779986
31.80357,9,1.790556
13.230369,8,1.794439
117.71775,30,1.799575
54.84707,20,1.811123
79.14676,22,1.811161
-28.551321,9,1.811168
75.56948,42,1.817386
136.68187,59,1.853994
115.25599,42,1.858771
0.7617055,11,1.870569
42.67332,21,1.891953
171.67676,55,1.901037
-197.79956,65,1.905989
112.225655,19,1.915182
43.18413,24,1.915224
25.554182,13,1.921858
117.94122,33,1.937663
-9.713959,9,1.948694
162.59,44,1.948738
-29.458546,12,1.954028
-23.833363,41,1.958339
62.391357,76,1.973427
8.926294,14,1.977326
58.94453,13,1.983735
11.908029,14,1.994785
26.872234,35,1.994828
36.660107,9,1.994838
-130.16577,39,2.000242
29.177868,18,2.015269
6.5698514,12,2.025463
101.07196,55,2.035334
132.1839,34,2.052982
149.27817,48,2.057967
55.420307,66,2.062674
18.745636,24,2.092979
6.4161677,15,2.097919
38.088535,10,2.102907
202.92833,53,2.109254
134.95543,71,2.10929
74.969574,27,2.114126
76.5258,18,2.133779
41.36478,9,2.13896
44.446945,26,2.149093
139.85287,29,2.180497
-30.866499,22,2.180539
63.151894,45,2.188827
129.17497,39,2.199634
206.66281,63,2.204237
72.45257,15,2.210468
17.686907,12,2.210505
-7.765372,21,2.210513
13.174031,23,2.224716
35.40729,17,2.224753
-79.88209,26,2.229975
-18.022388,11,2.235156
-57.063843,30,2.262661
-23.857386,9,2.276393
131.85591,40,2.276438
458.24075,103,2.276448
53.44577,52,2.276457
22.231787,14,2.276465
293.8457,58,2.286043
5.0804524,20,2.29535
26.212551,20,2.305354
378.88217,61,2.311426
83.14775,19,2.320834
38.162758,20,2.320875
90.27006,52,2.330797
39.315567,12,2.335291
47.16436,13,2.339144
45.39873,13,2.349108
158.13177,33,2.349151
102.59871,29,2.349162
0.0032050242,10,2.358483
96.17495,51,2.358518
77.00577,39,2.365757
95.39497,19,2.36579
-12.213128,35,2.371081
-0.5277997,15,2.392523
-3.9246142,26,2.403992
5.6149163,16,2.41355
18.150393,8,2.432931
-107.31922,35,2.432975
-82.297646,25,2.442219
-54.474274,21,2.451244
45.564888,33,2.463266
78.059204,40,2.467577
100.35638,25,2.467614
95.206955,35,2.495201
-49.413807,31,2.504566
32.919056,9,2.508956
7.9145465,17,2.508988
217.79832,101,2.508993
36.352905,10,2.508997
101.528725,37,2.514067
41.537567,46,2.514102
151.19098,35,2.514113
69.619995,39,2.543638
67.42118,16,2.543678
89.498116,24,2.554957
51.919155,9,2.555
178.76862,42,2.571147
52.86719,74,2.580943
72.09011,15,2.585411
-5.291737,9,2.591264
6.9189677,16,2.596531
-38.43149,48,2.601516
196.62746,32,2.606237
168.9555,36,2.606269
44.335682,12,2.606281
158.23015,42,2.616796
85.97622,21,2.616837
21.799965,14,2.626597
233.09982,46,2.626639
31.182165,11,2.640606
-57.0637,28,2.644417
218.39113,57,2.649234
-2.0171168,9,2.649269
-8.433504,10,2.653779
34.49292,8,2.662217
71.19077,18,2.666841
30.691198,18,2.677796
20.216644,7,2.68281
41.17018,19,2.686778
-87.59533,36,2.692357
42.664116,20,2.700985
-59.697094,21,2.715609
19.29546,45,2.734474
251.87953,48,2.743149
-13.676177,28,2.747452
32.424435,15,2.759473
44.758934,10,2.765218
60.98587,26,2.770735
102.51284,24,2.770765
-123.69878,38,2.787438
36.860287,22,2.79569
41.220398,10,2.801163
11.5453415,8,2.807051
78.77737,22,2.807085
14.573645,30,2.822945
69.917755,51,2.828261
116.660324,55,2.833502
171.38397,44,2.875877
-11.992254,20,2.875925
80.879395,14,2.880975
179.0129,43,2.88544
42.434338,21,2.885469
239.43324,50,2.894457
113.95512,38,2.898869
239.79175,80,2.89891
2.1073442,21,2.898921
-10.574277,34,2.915072
-161.93053,58,2.918865
143.05338,27,2.947256
-20.397415,33,2.947304
23.69294,38,2.953153
67.24257,17,2.964247
69.9598,16,2.969827
226.4115,57,2.975066
118.32609,33,2.975095
37.185272,12,2.982942
98.93308,23,2.998976
6.5178623,16,2.999013
-71.5359,20,3.003477
83.06346,22,3.014793
146.37143,43,3.018997
-29.30137,14,3.019042
-10.670453,9,3.019052
67.9464,37,3.02436
30.315397,11,3.03079
48.338604,26,3.037265
66.57862,16,3.048619
18.234198,11,3.059196
-160.76375,46,3.064301
136.72787,35,3.070107
71.5429,10,3.07014
38.17583,35,3.08234
62.966194,18,3.08238
-5.99397,21,3.082395
31.921902,9,3.088498
-81.68725,28,3.101223
81.5493,18,3.124036
-1.071132,15,3.135407
70.01541,20,3.135449
-3.7128263,25,3.181487
53.019444,14,3.181532
121.17852,25,3.186724
-47.874973,15,3.186756
-140.50105,55,3.190655
-4.2178216,20,3.203718
66.04814,18,3.203753
10.876908,6,3.223946
188.76135,45,3.227712
69.90874,70,3.23397
28.058296,14,3.26676
54.685707,27,3.266807
-44.796196,14,3.271876
77.882835,20,3.27191
-70.84241,26,3.271916
62.873848,9,3.27642
95.64939,14,3.287764
109.75761,26,3.294063
166.45596,48,3.294101
57.29365,36,3.294122
134.9289,39,3.305114
97.48198,21,3.31631
-146.80664,51,3.31635
29.912304,17,3.327588
18.035717,11,3.332667
49.144062,14,3.341612
44.889755,27,3.341647
4.677349,46,3.350911
119.48373,18,3.381309
40.96322,25,3.394408
85.12528,22,3.405215
54.48018,26,3.405249
30.190855,17,3.425223
61.917534,20,3.431635
17.22592,9,3.442959
26.79777,7,3.443004
105.61802,26,3.460466
95.85412,48,3.46625
64.644066,31,3.47703
103.73726,39,3.498525
91.56594,30,3.509665
82.72495,39,3.509703
-60.700104,26,3.521957
0.67090535,11,3.522001
90.61769,45,3.533826
111.631454,50,3.540715
48.0549,15,3.544808
-10.179025,7,3.553626
234.00827,56,3.564241
-153.25708,45,3.574635
63.106663,29,3.580666
284.05917,72,3.599837
12.014699,31,3.605983
59.345085,16,3.611954
41.643166,20,3.621569
55.55256,14,3.626013
48.165718,24,3.62984
82.07882,37,3.633778
62.312996,9,3.644423
111.66656,31,3.654696
153.6793,44,3.661839
277.67862,67,3.661877
65.93694,21,3.674549
184.2274,51,3.674592
14.956209,7,3.674603
-349.4716,117,3.685027
-1.5573515,22,3.691728
-40.5165,13,3.691768
212.21515,39,3.712925
71.12561,14,3.73057
-285.6279,108,3.730607
91.03996,21,3.735013
25.429497,13,3.740318
-166.36739,53,3.75138
-33.934364,17,3.751426
5.967819,13,3.75644
24.45512,16,3.756475
51.671673,14,3.761857
136.67094,36,3.767707
64.00342,31,3.767741
41.794205,7,3.807476
49.748196,13,3.813976
115.87762,28,3.814013
81.339355,20,3.817942
82.65862,29,3.828426
300.65063,42,3.834031
41.959614,18,3.853328
40.6401,9,3.860849
-228.1616,61,3.860887
70.74936,21,3.866706
54.59226,11,3.877795
49.16226,28,3.886518
67.20298,29,3.886559
-25.105047,23,3.891943
-1.8724382,7,3.899875
58.48429,27,3.899913
76.16858,18,3.904871
11.790073,8,3.9049
-136.89328,45,3.927227
220.61719,73,3.932611
15.222087,6,3.932642
28.843819,8,3.932647
32.938873,9,3.936994
-2.1820831,9,3.942853
51.23189,14,3.952239
-4.3040648,8,3.97049
170.79742,40,3.980767
49.85557,15,3.984834
-37.740005,16,3.99093
48.862144,12,3.996765
28.161207,13,4.001727
155.54172,69,4.001756
169.38289,51,4.007779
-28.677021,14,4.013217
216.46547,68,4.01325
31.390615,7,4.02157
37.601784,11,4.025039
26.019361,8,4.030781
85.8813,42,4.035061
32.506077,17,4.039578
-18.483133,12,4.039614
291.46057,55,4.050803
60.218266,30,4.057326
18.417532,11,4.074343
94.14768,41,4.079455
169.10884,48,4.079492
-15.1188,15,4.083861
-1.6121703,10,4.089905
73.71875,19,4.089938
-5.1612597,11,4.089949
74.723274,18,4.095504
30.138332,20,4.101978
196.88239,35,4.123202
-13.171381,18,4.13149
-134.56004,58,4.138087
-12.676881,7,4.138125
73.0302,17,4.138135
60.958576,13,4.149451
65.62066,12,4.160066
234.1898,59,4.165519
46.371037,11,4.182404
66.23571,35,4.182449
10.511246,30,4.187607
83.17652,20,4.194086
-5.3919435,20,4.199541
114.93056,51,4.199573
82.64961,22,4.209168
105.265366,39,4.232756
46.492855,15,4.2328
-2.3432808,13,4.237027
79.22115,13,4.249025
30.955154,10,4.24906
44.642765,22,4.249066
39.123344,33,4.264735
73.02347,35,4.264772
162.96783,25,4.269987
69.69409,51,4.277573
181.31015,42,4.277609
91.9059,28,4.289181
-7.26866,18,4.305894
-1.7299341,23,4.317513
36.938652,9,4.317552
61.878452,9,4.324483
109.57084,47,4.330257
51.887672,18,4.330292
33.35762,18,4.330302
63.30624,14,4.33031
77.839935,36,4.335731
52.14895,11,4.339674
36.791042,28,4.350214
25.909256,21,4.350258
155.91054,22,4.370668
60.469112,16,4.375873
82.89427,41,4.379556
-4.4992433,15,4.395838
59.373802,13,4.395882
151.38004,42,4.407088
81.67385,19,4.419029
102.53073,21,4.41907
64.54941,17,4.425178
-4.832326,17,4.430537
-32.52562,14,4.446813
159.48878,48,4.44685
51.17121,12,4.446856
154.2374,39,4.458061
48.227425,13,4.471246
2.6545675,30,4.479565
60.751644,15,4.490137
23.483225,11,4.496136
-135.84422,44,4.496177
-45.662453,30,4.502926
105.61528,35,4.531115
96.35491,22,4.542902
8.406797,29,4.547805
47.0344,20,4.547836
77.04453,18,4.5528
-54.065987,26,4.559142
26.095219,8,4.576014
-1.4610878,14,4.576058
359.20813,49,4.585377
40.918034,9,4.589566
1.3136448,20,4.589607
37.503433,60,4.595469
132.52917,35,4.602001
45.89914,21,4.607404
44.035492,22,4.624288
133.47095,35,4.629672
83.64122,60,4.639266
68.20396,31,4.6393
94.43947,17,4.645294
46.7672,12,4.650917
245.93051,54,4.66009
64.27903,15,4.674851
133.93533,35,4.68599
-12.822231,17,4.690135
-83.41708,30,4.703811
100.64834,25,4.703847
79.74954,13,4.703852
47.969948,25,4.703856
255.80663,75,4.719767
5.853732,15,4.725505
111.23633,23,4.739826
20.91367,13,4.750925
135.89044,70,4.762368
65.47286,38,4.783201
20.157885,10,4.787487
-71.84708,22,4.796304
113.41554,48,4.80056
112.32252,34,4.80492
57.034386,23,4.814378
26.200802,12,4.814423
198.7629,55,4.825628
126.38381,26,4.830538
-10.494927,8,4.839169
-44.948483,13,4.847619
-3.9047554,28,4.852039
73.78444,28,4.856813
90.83467,45,4.878155
196.65613,42,4.8782
-1.6402317,9,4.883993
131.59589,37,4.884029
238.75124,60,4.889466
109.78547,17,4.901144
220.45187,57,4.911677
-43.88537,15,4.928106
-18.882072,14,4.928147
-10.485282,24,4.928157
265.57523,65,4.933765
85.23547,37,4.933801
-51.319332,24,4.938809
47.960175,11,4.943415
63.330414,13,4.959682
131.72643,36,4.96382
55.081978,16,4.963859
53.409546,8,4.975178
58.294174,11,4.984402
235.63065,70,4.995635
102.23617,21,4.995677
35.838326,20,5.00517
162.66383,38,5.026763
69.36559,17,5.026805
