#{"t_start": 1775296083.1209822, "env_id": "None"}
r,l,t
19.528429,8,0.591535
33.847507,8,0.591573
30.936771,8,0.591578
12.614301,8,0.591582
-16.373556,10,0.599321
16.892057,10,0.599368
37.74043,17,0.668477
55.720272,17,0.668529
8.937887,22,0.69439
-6.7655625,22,0.694435
57.966618,17,0.712317
87.03586,26,0.71902
126.18172,26,0.719064
101.09868,26,0.719074
-79.1594,29,0.73572
37.443798,19,0.735765
50.953663,8,0.767177
-5.5275507,8,0.767226
112.009094,29,0.783687
69.41348,37,0.783734
26.66221,16,0.788713
12.641214,30,0.788747
56.000237,16,0.788753
60.171925,42,0.807317
-50.94457,26,0.812531
-53.1291,18,0.812567
34.70208,17,0.812578
64.748245,34,0.818108
190.58038,45,0.824243
-15.233158,12,0.849038
-109.89313,51,0.856394
76.64657,47,0.878885
212.97368,55,0.87894
52.885517,10,0.878952
78.79038,22,0.885498
-32.918213,15,0.900739
215.05305,60,0.906312
-76.21272,23,0.90635
20.114279,11,0.912609
55.587723,27,0.912646
36.25412,20,0.923057
-2.7408736,10,0.932752
-67.33231,23,0.937649
115.88298,30,0.948623
99.4074,53,0.960831
44.401333,11,0.970716
69.13188,39,0.990362
83.49521,16,0.997335
174.51099,48,0.997386
28.248362,17,0.997396
16.347147,10,1.00289
-27.904264,14,1.007934
-92.58199,36,1.007963
124.97923,24,1.013073
70.80808,17,1.013108
94.29909,21,1.018135
-26.016869,11,1.043873
-73.109985,28,1.043915
109.62799,59,1.04909
15.009423,9,1.055873
72.36763,19,1.055911
41.316727,23,1.055924
20.89893,11,1.066855
174.25885,36,1.066895
-2.2480137,15,1.070875
54.27939,14,1.086332
37.97425,58,1.091681
10.641296,45,1.091714
58.900337,19,1.101609
-196.5309,57,1.106998
120.46221,16,1.135516
-0.22254007,10,1.140516
58.26556,19,1.140552
67.51866,10,1.150555
-42.577065,20,1.150595
72.41326,17,1.150606
123.5547,32,1.160903
36.202984,9,1.188119
47.532776,38,1.188165
-68.52111,28,1.198881
-18.320232,13,1.204074
78.35957,11,1.210423
117.74725,31,1.215755
102.02336,48,1.215784
33.967876,24,1.215789
251.42645,66,1.220798
119.913216,29,1.220834
109.155754,16,1.226035
48.22989,7,1.235908
18.989906,37,1.235947
39.004616,13,1.254557
39.774036,20,1.254603
52.13221,12,1.266106
35.949528,54,1.271945
-141.62442,54,1.281597
44.749775,26,1.286293
24.438847,6,1.286327
74.43016,36,1.291757
89.92597,43,1.305939
-5.65549,11,1.310344
138.99608,21,1.320744
33.00921,20,1.320784
251.56865,50,1.320796
37.93625,11,1.341151
94.63094,21,1.341201
