#{"t_start": 1775282634.8532472, "env_id": "None"}
r,l,t
11.320237,7,2.261785
2.063538,13,2.53292
36.061455,8,2.633156
11.141534,18,2.741419
-10.696927,23,2.997919
-32.64556,10,3.066621
36.576725,26,3.119174
67.48373,27,3.15472
9.654443,11,3.2569
29.659296,17,3.301078
67.104675,31,3.34612
-27.5207,31,3.346153
31.457436,10,3.56632
31.134727,12,3.911093
38.92538,20,3.977134
-61.041588,17,4.005791
25.602196,13,4.005827
-19.653776,18,4.166998
-20.992567,18,4.778476
69.96319,35,4.778508
39.495037,14,4.778514
55.316116,29,4.9274
5.559805,10,5.223721
-25.7821,8,5.266234
-40.373592,17,5.527848
22.649885,39,5.68543
10.01396,18,6.116321
-16.587069,9,6.116366
54.0771,46,6.116378
0.895492,13,6.145262
-251.45612,65,6.403407
6.047551,31,6.723753
-38.599636,12,6.767218
14.176567,10,6.895678
11.201741,11,7.289072
3.1243143,8,7.289119
36.81566,25,7.338149
38.71876,74,7.456334
-4.067101,7,7.586589
22.710016,9,7.843466
22.964243,41,8.045743
-284.08624,70,8.045786
78.21696,30,8.104092
7.1509295,44,8.181277
30.243444,9,8.276118
-56.262383,23,8.323797
46.37816,23,8.371631
1.5767357,10,8.515101
-37.540745,9,8.68265
5.6749997,18,8.915251
27.93918,14,9.013797
-97.528915,32,9.108374
-48.365116,19,9.10841
8.353267,8,9.299436
12.188868,21,9.407067
16.983791,28,9.466091
-11.980782,9,9.466128
26.668201,10,9.609896
12.088813,28,9.92708
39.702583,14,10.093751
-38.524223,14,10.113322
82.92994,32,10.693495
55.945175,18,10.781197
-130.34856,43,10.84405
-15.662759,20,11.104093
2.2607403,32,11.167775
31.495687,10,11.296076
-170.75418,42,11.351669
-32.969154,14,11.463616
3.571056,30,11.632547
-1.0089545,11,11.837742
-21.604578,21,12.134754
69.74856,29,12.361091
50.23026,22,12.400876
-41.839092,17,12.807259
47.47141,35,12.859321
60.160423,17,13.103607
20.936527,18,13.175266
19.423294,10,13.326306
0.8014089,59,13.326351
21.946264,7,13.442623
-157.50711,42,13.44266
51.758736,41,13.64309
34.63736,11,13.846648
-0.34715235,11,13.922341
-4.388516,9,14.022053
13.324553,16,14.05504
22.16839,31,14.236402
6.233918,10,14.347152
28.594696,22,14.390556
66.05435,109,14.458409
43.63579,33,14.662594
-29.095446,10,14.662639
6.8519616,12,14.904726
7.1389484,22,15.031401
-58.679493,12,15.031443
42.121758,18,15.222935
18.226015,31,15.222979
18.155006,11,15.542905
53.183594,18,15.542946
27.006243,17,15.722398
-32.219967,12,16.063393
89.287,37,16.420714
-30.578224,15,16.420761
121.18128,53,16.520963
7.466574,33,16.584378
17.254696,9,16.835485
-47.520645,10,16.878092
61.65579,35,16.878136
2.4369607,21,17.074194
76.158844,35,17.182223
13.9310875,8,17.226776
53.84198,43,17.280157
