#{"t_start": 1775245382.956098, "env_id": "None"}
r,l,t
14.392417,6,0.596035
4.709965,7,0.602253
9.047297,8,0.609353
1.1365554,8,0.60939
4.7130327,10,0.621373
11.4178095,11,0.626902
1.3057722,7,0.636528
25.675087,13,0.636567
8.485864,16,0.651817
8.131122,16,0.651862
0.549392,10,0.657111
7.712656,17,0.65715
1.571372,17,0.657157
3.6500251,20,0.674406
0.0886678,6,0.684199
2.8992035,5,0.684238
31.88254,23,0.688886
1.4701468,23,0.688923
18.176973,24,0.695164
0.98724276,11,0.6952
32.594707,16,0.69521
24.911753,25,0.700805
2.2864091,25,0.700834
4.5366282,16,0.709064
1.9094837,19,0.717355
19.065207,21,0.717392
16.308367,12,0.717398
1.8317385,30,0.721807
3.055892,15,0.725812
2.3296342,11,0.736901
9.538515,20,0.736946
2.3126082,11,0.748083
12.279555,13,0.752249
26.326794,21,0.763897
0.0,16,0.763941
51.24027,39,0.770869
33.05112,15,0.775581
19.078714,10,0.77561
0.5446523,18,0.784651
2.9978235,10,0.789054
9.820933,9,0.793038
53.268665,44,0.793067
10.592848,8,0.814257
0.8971463,19,0.814294
0.1128972,13,0.819745
7.2121778,19,0.825159
4.889817,27,0.825186
2.0326037,13,0.833872
4.0918713,24,0.840984
0.0,12,0.845994
13.974387,11,0.84603
21.571531,7,0.890007
19.252195,20,0.895888
2.874582,32,0.901405
1.8583475,21,0.90144
42.96971,32,0.912527
3.6526723,12,0.918008
0.0,9,0.924115
2.0565248,20,0.929961
24.263023,40,0.929996
0.0,12,0.937342
5.306307,26,0.942019
0.8448586,8,0.947306
3.771466,43,0.95362
3.4544828,9,0.953654
4.8082857,20,0.958961
8.329734,18,0.964008
19.259262,22,0.964044
0.90075904,23,0.972111
0.0,8,0.972147
5.4918613,53,0.982969
9.633043,30,0.986652
13.90562,11,0.989918
0.0,20,0.998251
2.191144,25,1.01026
2.877962,10,1.010305
5.1641965,11,1.010316
39.336185,14,1.015997
7.231894,9,1.016036
12.868596,19,1.016047
13.616394,7,1.02591
0.20574361,16,1.031347
25.565302,18,1.031385
2.561161,51,1.037971
2.9245703,22,1.046384
11.812373,7,1.046425
22.848372,9,1.058015
1.9532032,10,1.076961
12.574574,24,1.077005
20.579048,12,1.077015
1.8934567,9,1.077023
23.161152,23,1.082639
1.7657759,20,1.082677
1.02149,37,1.093205
10.124356,25,1.093249
9.279928,17,1.105313
40.06374,27,1.110666
0.0,16,1.114755
24.866783,38,1.121403
0.9195672,10,1.133743
3.5491042,10,1.133787
30.923096,10,1.1338
34.87008,28,1.147624
31.998632,12,1.159164
1.0074351,14,1.15921
27.71901,18,1.18111
5.9633994,27,1.1902
5.8547873,40,1.194948
3.735191,13,1.201924
11.420266,13,1.201958
2.160841,16,1.207042
35.09941,30,1.207074
3.0099392,12,1.212893
10.093999,21,1.221857
50.216988,25,1.22673
40.330704,18,1.226767
10.320507,22,1.232731
1.8071729,25,1.238225
1.5166996,11,1.238253
6.0562077,9,1.248772
0.30218133,9,1.248816
0.99542016,13,1.266025
25.200802,36,1.271209
3.8895383,46,1.282716
38.380455,17,1.282749
1.9309042,11,1.286757
13.322455,24,1.286795
9.9455805,9,1.286806
0.0,17,1.296633
1.2671688,19,1.310623
0.0,8,1.325161
16.02708,15,1.325204
54.00256,60,1.330737
0.026742013,9,1.330775
41.250595,33,1.330787
3.43406,27,1.375532
0.64234984,14,1.381404
17.900444,17,1.386908
1.4774884,10,1.390833
11.445684,8,1.394393
24.984297,27,1.39887
22.031233,9,1.398895
9.488951,15,1.398899
0.05860109,7,1.407659
25.1468,10,1.407701
10.22337,71,1.407712
12.911544,12,1.418698
2.6653605,25,1.41873
4.770992,31,1.422504
14.708265,22,1.422536
65.75638,27,1.44324
5.9101286,13,1.44329
20.528069,12,1.45383
8.465671,36,1.459549
2.5924401,15,1.474183
0.5050336,6,1.474228
1.3993995,15,1.486792
14.052113,12,1.486832
45.27622,78,1.492391
10.354833,46,1.492431
4.425852,27,1.498221
4.3637986,15,1.498256
14.89968,19,1.508781
4.0848308,9,1.524321
20.737888,27,1.529027
0.9425051,27,1.539274
0.37616384,8,1.539307
4.0881233,12,1.539313
1.015841,28,1.544926
1.2136492,20,1.549881
1.6778748,28,1.556173
0.24295919,12,1.556208
0.7119454,27,1.56161
38.902172,26,1.561639
26.349602,15,1.56545
17.81178,15,1.571821
75.77765,62,1.571872
1.7723328,8,1.584097
2.1457813,7,1.589276
3.7185154,17,1.589313
2.3776314,20,1.594834
29.135185,15,1.607942
6.3262153,13,1.607988
0.36135393,7,1.628192
1.6675454,9,1.628238
5.896213,35,1.642709
1.3333808,27,1.647162
95.23345,53,1.656883
20.18078,14,1.656927
0.124922045,23,1.656939
50.2028,19,1.667823
3.8805547,13,1.672825
0.42637855,8,1.690245
54.53745,33,1.696109
6.6175814,26,1.696145
3.4042277,29,1.7063
15.667225,21,1.716665
3.4177504,31,1.721514
14.348054,20,1.731974
0.0,8,1.737036
0.8827525,15,1.737072
17.09922,14,1.741509
0.7020299,10,1.745964
3.7933805,23,1.746
48.96292,58,1.756296
9.57833,38,1.763888
26.579514,22,1.769021
1.3770608,14,1.774789
46.818596,27,1.780714
8.51941,19,1.785802
4.161118,13,1.785835
80.37905,47,1.79789
19.739836,14,1.808871
5.2315893,45,1.819251
16.019508,7,1.824288
1.7173144,15,1.824328
6.433415,55,1.82992
22.199795,19,1.83495
4.1154017,14,1.839816
1.1866099,7,1.843765
10.628391,19,1.882297
77.75094,39,1.888053
4.653612,29,1.893319
14.160228,26,1.893362
1.005847,15,1.90514
75.80035,62,1.915843
8.022204,27,1.915879
64.47498,42,1.920665
1.4813176,20,1.920706
10.723364,30,1.926557
0.45440027,10,1.939551
2.2279172,18,1.945125
0.8852823,12,1.956114
40.060387,25,1.974976
56.98296,33,1.980134
2.0387504,14,1.99152
1.1208227,14,1.991561
0.54411215,17,1.991571
89.745255,27,1.996037
2.0871756,26,2.000078
8.709155,15,2.000115
0.32511473,5,2.009825
31.556425,41,2.015099
2.4019089,33,2.024911
3.8355808,27,2.02495
16.881876,31,2.035922
8.899697,13,2.046557
0.0,6,2.046594
3.6497772,8,2.0466
21.736835,47,2.052021
28.81986,22,2.098003
3.843149,30,2.098048
2.268742,16,2.107026
3.384944,15,2.113084
2.249195,18,2.118795
5.604614,16,2.12359
15.359459,10,2.150453
0.8320089,13,2.156114
1.6895453,22,2.161467
2.341687,9,2.171948
0.36374316,15,2.176567
33.96397,16,2.188839
38.332996,46,2.188878
4.882478,42,2.188888
2.3017812,14,2.202011
19.283495,12,2.212716
17.741714,57,2.212754
1.4482963,12,2.223066
38.31534,35,2.231731
9.007772,10,2.236254
7.98841,21,2.241161
4.2556973,7,2.247567
10.512874,24,2.247603
2.7696965,22,2.257955
20.252346,19,2.274041
37.031296,39,2.2804
2.0879705,7,2.28044
3.8884566,42,2.297418
0.0,22,2.3031
3.8279543,59,2.313087
1.5735667,18,2.313124
23.84337,23,2.313134
5.1648073,12,2.318976
1.370226,14,2.31901
2.3747997,12,2.31902
30.13018,32,2.331357
1.8965852,37,2.342926
13.905934,22,2.349175
0.0,8,2.354172
2.4302084,17,2.358778
22.094818,23,2.364041
1.0994343,8,2.364078
12.9649,16,2.369323
32.40297,32,2.381925
13.164093,9,2.381968
9.632884,18,2.387076
3.6998796,39,2.387112
19.469688,15,2.403187
0.0,8,2.408145
2.0703695,6,2.414814
10.250598,11,2.424963
15.14894,13,2.425007
6.1715107,9,2.435748
6.7674747,63,2.440779
12.510958,15,2.440819
0.51632255,18,2.44083
9.634548,25,2.440839
21.023916,21,2.460598
2.3017354,18,2.475421
2.855968,20,2.475468
8.267482,13,2.491093
1.6109228,7,2.497505
8.990485,17,2.503202
8.837082,40,2.503238
9.38293,36,2.547449
44.27862,16,2.558752
10.6363535,17,2.558794
3.5295372,21,2.568116
139.50697,102,2.57285
32.773293,20,2.57749
18.27942,20,2.577526
20.742867,10,2.601207
0.62259954,12,2.601247
25.007923,13,2.607849
1.7670254,11,2.618832
0.0,17,2.61887
9.302259,12,2.636023
30.784086,37,2.640922
31.425108,54,2.640958
38.737556,14,2.65566
14.91849,16,2.666553
18.753277,18,2.671041
9.542367,30,2.671073
22.725235,61,2.676475
14.167998,22,2.676514
54.452377,41,2.690744
25.9752,18,2.702759
53.603027,34,2.713114
12.121801,53,2.719112
17.05169,56,2.719151
4.981226,23,2.724643
1.3731546,11,2.728548
37.62491,41,2.728579
2.5733736,13,2.734151
29.06971,21,2.744267
2.2685559,13,2.744302
12.52892,8,2.764824
0.2665899,24,2.764863
66.71852,79,2.770641
1.6040936,10,2.770678
19.080397,30,2.775745
13.909352,31,2.781627
1.4472271,23,2.792719
14.890814,17,2.79276
1.9387069,13,2.799253
0.78003365,11,2.825374
8.159855,18,2.831068
1.0788648,37,2.836863
2.8217287,13,2.841982
47.48988,24,2.847113
43.961178,16,2.851864
34.86621,47,2.851901
10.657792,23,2.8666
5.2859826,26,2.866637
37.06693,23,2.866643
4.6417246,17,2.873215
28.403032,34,2.873257
13.359334,21,2.891134
24.863438,18,2.891181
55.154964,20,2.911384
12.104941,9,2.911428
0.3340342,12,2.911438
33.88031,43,2.91842
16.448011,12,2.924404
18.978962,37,2.92444
1.25962,10,2.936154
2.135012,14,2.955059
20.994064,19,2.965882
27.53884,10,2.965925
4.6030946,32,2.980867
17.350687,18,2.980912
0.0,13,2.980923
22.230076,20,2.985976
11.166909,17,2.990712
3.0104744,16,2.995435
0.49647447,15,2.995462
18.563276,15,2.998926
0.8397664,32,3.008382
2.306295,10,3.013654
32.041813,26,3.018395
0.66466844,14,3.049088
0.084111996,14,3.054825
38.283993,52,3.054862
3.17007,27,3.060627
18.217243,15,3.066012
9.097358,14,3.066046
1.352834,14,3.073177
3.8857098,11,3.073216
31.658602,46,3.079322
9.907975,23,3.085222
3.938402,17,3.085259
74.35102,79,3.085269
4.531395,45,3.090589
3.9240277,6,3.102926
0.514442,8,3.102971
12.0639925,25,3.11461
19.340725,25,3.114649
1.3376007,12,3.131183
8.728674,23,3.136098
8.361032,9,3.136138
1.588826,45,3.142461
13.221399,11,3.148
46.69515,41,3.153965
2.267771,24,3.154001
2.1171641,20,3.167482
39.49763,21,3.167523
0.60240597,11,3.172055
17.99579,17,3.178112
2.5691473,43,3.183608
1.3770928,10,3.183639
16.440016,9,3.187956
2.4411077,10,3.187986
26.136522,21,3.19221
18.104986,21,3.200459
3.9951138,19,3.21084
16.524817,13,3.217619
8.997206,10,3.242247
0.23570962,9,3.248524
1.9960195,34,3.255226
8.56257,18,3.260319
3.4534009,24,3.260351
0.949752,9,3.260356
18.127602,36,3.264304
32.405838,38,3.270297
8.982569,19,3.270329
17.924126,17,3.276032
6.069449,18,3.276067
0.0,24,3.276077
15.800177,27,3.287894
1.3931968,6,3.293399
1.4306538,23,3.309457
10.880628,6,3.309503
2.8346128,18,3.315307
1.8747548,40,3.315346
0.37604094,7,3.315357
3.1795433,14,3.32813
26.23387,10,3.333148
8.882032,12,3.336712
43.797634,15,3.342391
4.689535,31,3.347651
2.5860534,12,3.376812
20.255877,23,3.376849
11.887918,13,3.376855
7.805931,12,3.376859
69.69609,43,3.395288
1.0416336,9,3.395328
28.739153,42,3.402299
2.2100198,27,3.415481
0.0,23,3.415522
87.88668,58,3.415532
4.651753,29,3.421754
4.045334,7,3.421787
2.8274295,10,3.441224
25.331923,21,3.446928
26.050867,19,3.446966
43.43146,36,3.446977
9.108378,10,3.456807
12.929979,10,3.4628
35.73718,24,3.467559
15.78504,6,3.477831
1.7759297,11,3.482806
2.470106,19,3.489621
7.494192,9,3.489657
42.14745,26,3.489667
31.208376,17,3.495273
2.8557003,14,3.495308
0.0,41,3.523003
2.4131086,19,3.528234
0.0,9,3.534693
20.62707,16,3.534726
46.71183,47,3.534737
13.323293,41,3.53989
17.658373,11,3.549831
1.6285183,11,3.554411
1.4189715,18,3.5606
50.600307,19,3.560636
9.637942,15,3.573629
8.058783,8,3.578934
10.204835,10,3.584164
42.199223,17,3.590015
7.9014697,19,3.59542
0.18980181,7,3.595448
0.0,24,3.600539
14.540017,29,3.605435
25.257803,25,3.617692
35.051968,44,3.627314
1.1186715,13,3.631737
4.475285,20,3.641191
3.0291085,42,3.645527
5.5622597,43,3.650389
41.520905,20,3.655434
14.260664,19,3.661403
1.9040323,15,3.66144
0.8407399,16,3.674123
17.343723,69,3.693675
5.264281,7,3.699389
12.082463,10,3.704638
10.228996,6,3.704674
12.575234,23,3.713571
49.399982,34,3.713616
20.326857,18,3.718388
8.756831,11,3.718426
39.421173,27,3.718436
17.57982,18,3.7234
24.935184,38,3.739406
1.0250391,21,3.749302
60.205647,36,3.759762
33.174038,12,3.765755
20.111933,32,3.765795
3.8664615,33,3.765805
1.4675809,10,3.771785
0.64891034,12,3.776894
21.996853,15,3.776923
16.014091,14,3.794837
1.4149778,19,3.806079
0.88261145,13,3.813053
4.9226403,22,3.813091
10.648389,32,3.83293
7.1644135,12,3.838989
14.562043,8,3.844986
34.365227,12,3.849637
3.4408264,22,3.849667
3.3911018,24,3.849673
0.7145743,12,3.849677
5.708895,46,3.853864
15.196412,25,3.857683
41.47939,18,3.863354
41.401,18,3.8748
3.7646942,13,3.880418
3.0337505,46,3.896267
3.9411302,16,3.901627
5.3315573,28,3.906794
8.264628,13,3.911768
16.863207,12,3.917805
8.7625475,56,3.91784
1.9136969,9,3.927904
0.5370639,32,3.946675
14.985862,34,3.95808
0.0,18,3.958126
0.0,9,3.970496
1.8344768,25,3.975848
27.111122,29,3.975891
4.039316,24,3.97995
12.921488,24,3.979989
12.23943,14,3.99896
1.6043774,27,3.999004
19.267714,31,4.019459
10.41749,94,4.0364
1.2492859,15,4.052029
5.5831494,32,4.052068
15.738796,24,4.060843
16.391806,13,4.065485
13.90351,21,4.070512
1.8474437,33,4.076109
11.358462,31,4.080934
10.480528,21,4.086032
7.5245605,48,4.092858
12.410034,5,4.097942
8.0621195,36,4.103353
8.304754,38,4.109189
4.4117336,9,4.122388
8.449796,14,4.141046
2.7725992,32,4.146037
0.9191829,10,4.146077
6.2357345,31,4.146087
8.316631,13,4.157933
8.434672,9,4.157968
2.5056555,7,4.161811
11.223719,31,4.161842
15.726853,35,4.165907
0.6955523,24,4.176239
16.953957,58,4.176281
4.1341133,29,4.189313
13.042213,10,4.194397
27.521902,23,4.206393
2.5276806,29,4.206434
1.7602898,12,4.212968
1.1995492,10,4.213009
26.344019,21,4.213019
64.98175,37,4.219921
29.054068,15,4.230377
13.294629,13,4.230416
0.90316963,10,4.23571
6.140794,9,4.242208
4.762457,25,4.242247
12.132659,15,4.25369
10.6883,5,4.264287
8.126396,14,4.275882
0.78447205,12,4.281258
2.7897527,9,4.281296
1.4040108,12,4.287673
4.3832507,41,4.287709
32.71152,64,4.298997
0.0,12,4.311194
26.830383,19,4.316989
5.712846,28,4.322795
15.596062,7,4.327866
2.095132,20,4.327901
4.271157,13,4.327911
1.6580305,32,4.356851
16.367393,23,4.35689
5.152248,14,4.356896
23.259884,22,4.381964
19.158096,14,4.385719
15.215376,13,4.390424
1.8440754,29,4.395085
3.5216649,11,4.410678
10.43024,47,4.416627
23.76058,21,4.416663
58.77055,23,4.41667
