#{"t_start": 1775210016.4066606, "env_id": "None"}
r,l,t
12.458099,11,0.657876
1.1836265,11,0.657928
2.1445181,11,0.657939
14.369538,12,0.663178
13.8237505,13,0.66806
33.67499,14,0.675249
41.600517,17,0.689434
5.8427377,19,0.697258
39.116276,20,0.701192
11.911983,21,0.706183
1.1245657,22,0.710232
46.92455,22,0.710261
24.743795,26,0.726767
70.83597,27,0.730609
2.9120686,14,0.730642
14.344964,28,0.7346
10.9266815,6,0.753294
13.714859,15,0.753342
18.536835,23,0.764723
9.073804,8,0.778024
3.8205943,27,0.788137
11.693997,7,0.791786
60.276684,40,0.796107
1.6986809,7,0.799693
3.0629735,14,0.799721
7.3857546,20,0.803444
1.1958547,6,0.803471
16.425398,44,0.811049
21.008842,33,0.815125
3.2049942,47,0.824279
22.529081,15,0.824314
59.30514,47,0.82432
56.737675,41,0.844116
75.88571,38,0.844157
28.93866,33,0.848546
34.119595,34,0.848577
25.996918,13,0.853715
3.3540812,29,0.863201
13.394979,35,0.863235
4.038359,15,0.863241
12.897251,18,0.870487
118.54257,58,0.870522
39.176205,19,0.870527
24.73353,16,0.890624
8.393579,12,0.894521
0.44452468,12,0.894554
10.232091,7,0.89871
38.119278,21,0.902527
13.747608,13,0.907362
17.150475,12,0.911422
50.32094,27,0.915301
0.20518205,14,0.919227
7.0122833,29,0.923187
19.975,13,0.923214
39.07778,17,0.939676
21.387987,9,0.943486
0.0,6,0.943518
53.51452,24,0.947019
23.357748,11,0.94705
0.7679559,55,0.947056
4.2508903,14,0.951353
4.976796,7,0.95138
68.53996,27,0.959085
15.892013,18,0.971024
7.846366,21,0.97595
61.8759,39,0.989902
21.397743,31,0.9965
3.3424668,41,1.001947
3.234464,45,1.006197
43.30469,14,1.018086
0.42954043,15,1.018116
45.058132,24,1.018121
19.59001,15,1.022093
48.88669,30,1.026224
31.992386,21,1.041059
0.8344635,23,1.044745
5.102024,15,1.04478
6.731804,30,1.048748
15.908552,8,1.052836
14.204515,9,1.057458
12.559584,4,1.061245
15.772447,25,1.061273
65.88529,26,1.065034
59.38224,23,1.065063
3.5140386,35,1.077077
13.266755,19,1.080654
0.5568638,15,1.080686
9.039097,13,1.095885
1.2885716,20,1.108803
17.425182,26,1.112486
143.63885,79,1.120071
8.7544365,12,1.124262
0.0,42,1.124293
3.2999837,9,1.132333
68.26759,34,1.132367
1.5865077,13,1.132372
0.0,7,1.139624
23.831577,23,1.143126
19.651949,21,1.147043
5.165115,27,1.147072
44.696846,23,1.147077
25.819887,12,1.155281
20.353218,8,1.163845
6.9273114,9,1.167387
73.98907,38,1.175332
52.757744,29,1.175367
10.908885,28,1.175373
1.6744711,9,1.179698
13.580434,8,1.179728
70.67313,33,1.191812
2.3819785,13,1.262454
4.7850018,54,1.266424
3.6122026,15,1.272177
0.74595535,10,1.342777
28.87727,19,1.342825
2.475797,12,1.342835
28.472717,24,1.342844
3.0094872,55,1.356469
6.8520966,11,1.419104
3.4989686,26,1.434004
14.534425,20,1.446159
11.520688,48,1.494214
30.96604,28,1.50204
0.026390543,16,1.502075
10.633209,7,1.50874
3.4150918,13,1.51395
20.777721,9,1.518728
0.44420686,23,1.526116
38.50719,44,1.526147
11.278533,13,1.531621
6.5738792,10,1.538575
31.566133,40,1.56063
0.200999,6,1.564382
24.237484,11,1.564412
10.236047,9,1.568382
4.6371922,15,1.572579
4.55206,11,1.57261
1.0069054,12,1.577155
6.8316703,16,1.581453
10.397719,16,1.585847
10.256353,30,1.590196
43.603916,28,1.665511
15.40149,19,1.676278
53.291046,33,1.676317
53.008984,32,1.686129
13.558666,12,1.68618
35.546486,42,1.686189
29.048418,11,1.724961
6.8536706,12,1.794198
1.5261409,33,1.794242
3.7012787,18,1.804459
87.08309,51,1.818574
54.8443,24,1.823661
12.518481,12,1.823695
2.271658,11,1.827775
21.14808,21,1.827807
9.697054,10,1.841706
74.146454,31,1.870639
11.138926,14,1.886076
50.225792,26,1.894419
54.991817,26,1.903287
3.5696993,37,1.90332
38.426064,25,1.907729
43.362698,21,1.907758
41.664185,41,1.913416
8.335198,12,1.91345
0.0,17,1.922858
80.15568,50,1.92289
105.545494,52,1.922897
12.054678,20,1.93471
5.018154,14,1.940003
34.310448,29,1.940053
41.404846,21,1.94006
15.046164,23,1.945102
14.303686,9,1.953865
1.8469387,9,1.96814
44.350914,27,1.973149
96.391136,50,1.977964
2.0374973,6,1.984744
7.4223304,73,1.990488
35.54333,21,2.061932
31.650862,17,2.074615
10.162761,7,2.079974
0.0,3,2.080009
35.807682,20,2.080013
4.729209,20,2.080017
1.5489155,16,2.085924
0.0,10,2.150999
9.6111965,20,2.151051
0.8425961,28,2.255956
23.782457,34,2.306351
35.74826,29,2.306399
7.520068,26,2.322432
46.446857,27,2.335825
40.14188,59,2.342542
10.741159,13,2.348651
11.918061,14,2.348685
45.868774,25,2.360287
21.249266,22,2.360327
21.952272,16,2.369484
29.834568,40,2.369519
50.807217,20,2.373572
0.40743783,4,2.389171
9.593549,15,2.394821
4.090055,10,2.400453
0.45365897,13,2.414902
17.410202,19,2.414948
2.6867256,7,2.427338
57.22484,28,2.432629
13.394076,36,2.437791
57.576748,33,2.449269
35.61198,18,2.455272
21.90455,34,2.45531
26.412802,18,2.465712
18.538631,28,2.4773
53.61249,28,2.486071
1.4205105,11,2.495488
40.305153,17,2.503714
11.8112755,26,2.507706
99.95459,59,2.50774
3.457104,15,2.507745
49.34944,33,2.511656
0.5878485,50,2.527311
6.8441787,26,2.527348
8.726717,24,2.531449
0.72215044,7,2.531481
33.39345,17,2.531486
28.931122,20,2.60156
36.300842,39,2.666218
6.984292,18,2.785602
30.338406,37,2.785649
15.747925,17,2.797857
8.240775,29,2.803611
0.404213,17,2.80365
33.88748,19,2.810736
7.013245,19,2.810777
34.580616,80,2.8173
25.545765,10,2.817332
6.8705916,36,2.817342
2.6379166,30,2.82421
22.977139,16,2.824242
32.52218,61,2.831586
51.75347,29,2.831619
1.1535095,4,2.837094
4.535644,8,2.837121
11.468737,18,2.842026
8.695338,8,2.850827
4.776958,21,2.85086
18.586115,7,2.854683
0.35810128,6,2.854712
27.194763,33,2.858737
6.866111,8,2.872236
0.64495564,10,2.879193
0.74658173,11,2.893136
8.863711,17,2.957375
20.242691,21,2.964846
1.3735094,17,2.9649
9.190737,12,2.964911
8.136923,17,2.971936
7.790127,19,3.033164
17.761583,18,3.033205
29.710653,27,3.162901
24.451153,23,3.170158
12.805109,39,3.170204
18.69706,15,3.176444
8.880021,20,3.176495
3.4341776,39,3.18303
6.110362,10,3.183067
1.0325838,19,3.183076
21.298569,12,3.19024
18.859644,10,3.196362
42.826942,26,3.21642
0.4724235,8,3.22035
0.41920614,21,3.223815
0.012360477,9,3.231396
16.15282,10,3.231429
37.0919,18,3.23144
0.0,13,3.236371
15.750508,10,3.240475
16.804686,35,3.252383
0.44200066,7,3.25242
86.46237,58,3.321307
54.23768,18,3.386619
9.477182,11,3.386665
13.523262,24,3.405626
20.16493,32,3.405671
28.852541,13,3.415711
72.39227,36,3.42949
8.299823,12,3.501395
25.534124,16,3.506712
51.563217,31,3.511482
36.63967,14,3.522582
18.10625,14,3.528191
24.172794,15,3.534169
8.935544,45,3.534205
28.747498,14,3.543834
54.293743,36,3.543872
0.66616654,23,3.5582
1.1131612,29,3.562827
15.093687,10,3.578828
3.6110072,14,3.578872
18.706417,37,3.591967
29.34768,33,3.598834
14.9687,22,3.607441
29.947075,26,3.62061
1.0789738,15,3.62563
29.06086,16,3.638561
21.985662,66,3.6386
27.178034,8,3.647541
30.24036,15,3.655492
1.2605532,12,3.655533
11.061422,75,3.662941
5.330823,27,3.668478
0.0,10,3.685726
1.2402108,7,3.685774
67.20192,58,3.68579
11.803853,26,3.690858
0.0,9,3.706274
8.153942,35,3.715833
10.148954,11,3.715874
12.528237,55,3.720596
27.795992,12,3.725734
1.8865272,28,3.730996
6.368058,26,3.731029
9.547696,25,3.73567
35.101845,37,3.741519
28.090971,34,3.741557
13.732308,12,3.746945
2.8610756,45,3.746974
48.83599,26,3.751488
14.979519,10,3.756052
26.43518,16,3.766451
11.967391,10,3.76649
47.200424,23,3.766498
2.121846,10,3.774151
36.232403,24,3.783023
18.364311,11,3.789382
6.692362,30,3.78942
8.808668,8,3.79666
17.599844,7,3.815474
0.0,23,3.821175
11.48058,15,3.825712
