#{"t_start": 1775304198.0324364, "env_id": "None"}
r,l,t
183.65173,51,2.816113
59.448643,51,2.816196
125.22148,51,2.816221
56.922615,51,2.81624
87.66655,51,2.816257
-54.150852,51,2.816272
88.184456,65,2.903597
150.53114,69,2.930043
79.58633,51,3.139114
-103.35427,51,3.139177
121.17422,51,3.139189
-61.199898,51,3.139197
51.599403,51,3.139204
45.972813,51,3.13921
-132.4152,52,3.238198
-122.509964,52,3.26255
90.78337,51,3.472452
72.91781,51,3.472507
81.272354,51,3.472519
66.302185,51,3.472527
92.882416,57,3.512444
146.55678,69,3.592921
154.41652,62,3.671538
32.484577,69,3.688435
85.65316,51,3.808417
-130.5607,51,3.808472
177.24373,51,3.808484
291.00385,51,3.808492
200.06053,51,3.852187
78.366806,51,3.927285
244.56058,65,4.096874
125.85601,51,4.141811
107.370094,51,4.141893
172.49724,51,4.141924
-88.31632,51,4.141945
283.07495,74,4.17387
-42.990734,51,4.180531
-71.09547,51,4.258936
-122.006454,51,4.461413
161.20692,51,4.461467
173.90167,51,4.461481
-5.54107,51,4.461492
170.27113,51,4.492849
239.45569,51,4.499739
-181.809,65,4.508324
-32.59978,51,4.582686
83.75181,51,4.794068
-63.447506,51,4.79412
197.24985,51,4.79413
85.40671,51,4.794138
-111.88493,51,4.825822
49.058468,51,4.832415
-57.692425,51,4.841131
-36.78627,51,4.909294
166.11821,51,5.126735
99.18841,51,5.126791
70.42209,51,5.126804
-88.91233,51,5.126813
156.56448,51,5.155028
152.91216,51,5.160918
133.95363,51,5.169289
105.563446,51,5.243281
143.47743,51,5.475078
182.66818,51,5.475131
129.92815,51,5.475142
-115.007355,51,5.512742
83.07842,51,5.51957
296.29575,67,5.578192
-137.27374,51,5.591341
314.9358,65,5.598439
123.126785,51,5.809116
83.07214,51,5.809171
244.2691,51,5.809182
203.40546,51,5.847226
-136.90642,51,5.855995
76.899086,51,5.918188
109.02521,51,5.935929
386.50537,56,5.960435
233.20677,51,6.14294
-5.810669,51,6.143
-180.32346,54,6.1609
52.685375,51,6.181328
138.34578,51,6.187854
77.59635,51,6.247573
48.71797,51,6.264501
135.60623,51,6.286442
-133.49207,51,6.465411
-157.97389,53,6.477046
63.689274,51,6.500675
138.06303,60,6.563129
56.23774,51,6.609831
148.06093,72,6.616903
-169.65358,56,6.616961
-184.04471,51,6.795214
-97.44005,51,6.808033
-226.31715,89,6.814112
133.06018,51,6.834243
49.455757,51,6.901553
132.04198,51,6.94364
-124.05403,51,6.952209
85.359085,56,6.98461
-190.4784,51,7.1667
-45.07585,51,7.172538
225.47643,59,7.204474
225.77235,62,7.268032
46.94422,57,7.301504
97.04606,51,7.308773
-132.81871,51,7.315067
184.82329,51,7.350458
69.01831,51,7.511624
